source,n,tau,observable,n_samples,negative_count,negative_probability
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,entropy_rate,1000064,7158,0.0071575419173172915
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,heat_current,1000064,7941,0.007940491808524254
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,action_current,1000064,19815,0.019813731921157048
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,entropy_rate,499968,54,0.00010800691244239632
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,heat_current,499968,80,0.00016001024065540195
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,action_current,499968,509,0.001018065156169995
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,entropy_rate,333312,1,3.0001920122887865e-06
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,heat_current,333312,1,3.0001920122887865e-06
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,action_current,333312,16,4.8003072196620584e-05
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,80.0,entropy_rate,249984,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,80.0,heat_current,249984,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,80.0,action_current,249984,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,100.0,entropy_rate,199936,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,100.0,heat_current,199936,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,100.0,action_current,199936,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,120.0,entropy_rate,166656,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,120.0,heat_current,166656,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,120.0,action_current,166656,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,140.0,entropy_rate,142848,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,140.0,heat_current,142848,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,140.0,action_current,142848,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,160.0,entropy_rate,124928,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,160.0,heat_current,124928,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,160.0,action_current,124928,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,180.0,entropy_rate,111104,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,180.0,heat_current,111104,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,180.0,action_current,111104,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,200.0,entropy_rate,99968,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,200.0,heat_current,99968,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,200.0,action_current,99968,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,entropy_rate,1000064,107491,0.10748412101625496
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,heat_current,1000064,99933,0.09992660469729937
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,action_current,1000064,153016,0.15300620760271344
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,entropy_rate,499968,10195,0.020391305043522785
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,heat_current,499968,11174,0.02234943036354327
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,action_current,499968,23622,0.04724702380952381
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,entropy_rate,333312,1180,0.003540226574500768
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,heat_current,333312,1587,0.004761304723502304
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,60.0,action_current,333312,4832,0.014496927803379417
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,entropy_rate,249984,140,0.0005600358422939068
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,heat_current,249984,255,0.0010200652841781874
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,80.0,action_current,249984,1082,0.004328277009728623
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,entropy_rate,199936,25,0.0001250400128040973
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,heat_current,199936,44,0.00022007042253521127
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,100.0,action_current,199936,280,0.00140044814340589
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,entropy_rate,166656,3,1.800115207373272e-05
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,heat_current,166656,4,2.4001536098310292e-05
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,120.0,action_current,166656,54,0.00032402073732718895
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,entropy_rate,142848,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,heat_current,142848,1,7.000448028673835e-06
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,140.0,action_current,142848,17,0.0001190076164874552
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,entropy_rate,124928,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,heat_current,124928,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,160.0,action_current,124928,7,5.6032274590163936e-05
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,entropy_rate,111104,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,heat_current,111104,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,action_current,111104,1,9.00057603686636e-06
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,entropy_rate,99968,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,heat_current,99968,0,0.0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,action_current,99968,1,1.0003201024327785e-05
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,entropy_rate,1000064,214942,0.21492824459234608
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,heat_current,1000064,211630,0.21161645654678102
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,action_current,1000064,277240,0.27722225777550236
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,entropy_rate,499968,48561,0.09712821620583717
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,heat_current,499968,48779,0.09756424411162315
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,action_current,499968,78989,0.1579881112391193
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,entropy_rate,333312,13500,0.04050259216589862
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,heat_current,333312,14702,0.04410882296466974
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,action_current,333312,29100,0.08730558755760369
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,entropy_rate,249984,4009,0.01603702636968766
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,heat_current,249984,4959,0.019837269585253458
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,action_current,249984,11913,0.04765504992319509
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,entropy_rate,199936,1226,0.006131962227912932
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,heat_current,199936,1689,0.008447703265044815
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,action_current,199936,5162,0.025818261843790012
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,entropy_rate,166656,387,0.0023221486175115207
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,heat_current,166656,615,0.0036902361751152074
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,action_current,166656,2219,0.013314852150537635
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,entropy_rate,142848,137,0.0009590613799283155
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,heat_current,142848,205,0.0014350918458781363
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,action_current,142848,1042,0.007294466845878136
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,entropy_rate,124928,52,0.00041623975409836063
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,heat_current,124928,76,0.0006083504098360656
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,action_current,124928,452,0.0036180840163934427
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,entropy_rate,111104,16,0.00014400921658986175
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,heat_current,111104,35,0.00031502016129032257
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,action_current,111104,219,0.0019711261520737326
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,entropy_rate,99968,4,4.001280409731114e-05
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,heat_current,99968,15,0.00015004801536491676
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,action_current,99968,105,0.0010503361075544174
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,entropy_rate,1000064,276375,0.27635731313195955
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,heat_current,1000064,288969,0.2889505071675413
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,action_current,1000064,347224,0.3472017790861385
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,entropy_rate,499968,85778,0.17156698028673836
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,heat_current,499968,90933,0.18187764016897082
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,action_current,499968,125818,0.25165210573476704
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,60.0,entropy_rate,333312,35276,0.10583477342549923
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,60.0,heat_current,333312,37616,0.112855222734255
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,60.0,action_current,333312,60273,0.18083057315668202
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,80.0,entropy_rate,249984,15572,0.06229198668714798
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,80.0,heat_current,249984,17289,0.06916042626728111
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,80.0,action_current,249984,32159,0.12864423323092677
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,100.0,entropy_rate,199936,7193,0.03597651248399488
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,100.0,heat_current,199936,8435,0.042188500320102434
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,100.0,action_current,199936,17885,0.08945362516005122
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,120.0,entropy_rate,166656,3491,0.020947340629800307
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,120.0,heat_current,166656,4174,0.02504560291858679
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,120.0,action_current,166656,10362,0.06217597926267281
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,140.0,entropy_rate,142848,1629,0.011403729838709678
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,140.0,heat_current,142848,2143,0.015001960125448029
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,140.0,action_current,142848,6032,0.04222670250896057
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,160.0,entropy_rate,124928,781,0.006251600922131148
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,160.0,heat_current,124928,1068,0.008548924180327868
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,160.0,action_current,124928,3604,0.028848616803278687
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,180.0,entropy_rate,111104,412,0.00370823732718894
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,180.0,heat_current,111104,581,0.0052293346774193545
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,180.0,action_current,111104,2091,0.018820204493087557
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,200.0,entropy_rate,99968,195,0.001950624199743918
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,200.0,heat_current,99968,308,0.0030809859154929575
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,200.0,action_current,99968,1228,0.01228393085787452
