mode,n,clone_count,horizon,selection_time,dt,k,one_minus_k,gauge_shift,control_scale,resample_threshold,residual,residual_se,residual_ci_low,residual_ci_high,late_half_residual,late_half_residual_se,late_half_ci_low,late_half_ci_high,paired_support_gate,paired_gc_gate
controlled_exact,40,1024,20.0,1.0,0.0005,0.4,0.6,0.1,0.5,1.0,-0.007111429440007137,0.00506933061387604,-0.021103840912698048,0.006880982032683773,-0.0013864666098686099,0.0075090116779955255,-0.023133429309748318,0.020360496090011098,1,1
controlled_exact,40,1024,20.0,2.0,0.00025,0.4,0.6,0.1,0.5,1.0,-0.01175623215405715,0.0038850571303515147,-0.02176981704361514,-0.001742647264499162,-0.010125201124113768,0.0070125066107891085,-0.02756795032814126,0.007317548079913725,1,0
controlled_exact,40,1024,20.0,2.0,0.0005,0.4,0.6,0.1,0.5,1.0,-0.011927809956319247,0.004071691324932916,-0.022735087801565933,-0.001120532111072563,-0.004005180992495527,0.00449833442944057,-0.01569996422487536,0.007689602239884307,1,0
controlled_exact,40,1024,40.0,1.0,0.0005,0.4,0.6,0.1,0.5,1.0,-0.004503369919021696,0.0031454977831146787,-0.013084309529079855,0.004077569691036464,-0.001895310398036247,0.004561065306848995,-0.014535684073681296,0.010745063277608801,1,1
controlled_exact,40,1024,40.0,2.0,0.00025,0.4,0.6,0.1,0.5,1.0,-0.007880378690749448,0.002886104421908386,-0.0151247027966868,-0.0006360545848120959,-0.004004525227441748,0.005804542735762264,-0.02030344143256114,0.012294390977677646,1,0
controlled_exact,40,1024,40.0,2.0,0.0005,0.4,0.6,0.1,0.5,1.0,-0.0008007856955050061,0.005090716121821297,-0.01682740764875715,0.01522583625774714,0.010326238565309245,0.008074976888978883,-0.014930675247894445,0.035583152378512936,1,0
controlled_exact,40,1024,60.0,1.0,0.0005,0.4,0.6,0.1,0.5,1.0,-0.0032965016539174274,0.002356384406795598,-0.009068476656118577,0.002475473348283722,-0.003761640063864209,0.0019103111596260492,-0.009149691435699167,0.001626411307970749,1,1
controlled_exact,40,1024,60.0,2.0,0.00025,0.4,0.6,0.1,0.5,1.0,-0.0020049320590393785,0.0021755835829369292,-0.007551303644892443,0.003541439526813686,0.0041773123733165884,0.0037483665743182027,-0.005211591643280151,0.013566216389913328,1,1
controlled_exact,40,1024,60.0,2.0,0.0005,0.4,0.6,0.1,0.5,1.0,0.0010623147377941365,0.0038676212305857765,-0.010588666342193586,0.012713295817781859,0.005620761326997528,0.004925017113754794,-0.006584851373343182,0.01782637402733824,1,1
controlled_exact,40,1024,80.0,1.0,0.0005,0.4,0.6,0.1,0.5,1.0,-0.0008748825478662112,0.00323060403571539,-0.008975847537147889,0.007226082441415467,0.002753604823289263,0.0051764366162317,-0.010247555136179325,0.01575476478275785,1,1
controlled_exact,40,1024,80.0,2.0,0.00025,0.4,0.6,0.1,0.5,1.0,-0.0020207375454766724,0.0034183610470974,-0.011074871090555244,0.007033395999601899,0.0038389035997961063,0.005886684188465414,-0.010994352473610197,0.01867215967320241,1,1
controlled_exact,40,1024,80.0,2.0,0.0005,0.4,0.6,0.1,0.5,1.0,0.003002897457048209,0.0020664959541831407,-0.0021655839608331687,0.008171378874929587,0.0068065806096014175,0.005679453068279875,-0.007367588167636101,0.020980749386838936,1,1
controlled_exact,40,1024,100.0,1.0,0.0005,0.4,0.6,0.1,0.5,1.0,-0.0020176114766835215,0.0031570738083537904,-0.010026958166387332,0.005991735213020289,-0.0011851400515172084,0.00527898853973593,-0.014102495552853025,0.011732215449818608,1,1
controlled_exact,40,1024,100.0,2.0,0.00025,0.4,0.6,0.1,0.5,1.0,0.001891505365186591,0.002865585284452196,-0.005539207142319738,0.009322217872692919,0.0097549247617124,0.004174026310566362,-0.0006494286570444523,0.020159278180469253,1,1
controlled_exact,40,1024,100.0,2.0,0.0005,0.4,0.6,0.1,0.5,1.0,0.003880860171148269,0.0030923018379948645,-0.003800058816686983,0.011561779158983522,0.006756020944649922,0.0060430484184374345,-0.008030865082147875,0.02154290697144772,1,1
controlled_exact,40,1024,120.0,1.0,0.0005,0.4,0.6,0.1,0.5,1.0,-0.001178741730064825,0.0027546798463638426,-0.007985848909978516,0.005628365449848865,0.0009390181937877842,0.003736301437690766,-0.008203639436456703,0.010081675824032271,1,1
controlled_exact,40,1024,120.0,2.0,0.00025,0.4,0.6,0.1,0.5,1.0,0.0027140003783849287,0.002663351440820148,-0.004162206095491366,0.009590206852261224,0.007432932815809215,0.0038546696966719417,-0.0022563638234887277,0.017122229455107156,1,1
controlled_exact,40,1024,120.0,2.0,0.0005,0.4,0.6,0.1,0.5,1.0,0.00449846307142842,0.0026292951476537996,-0.0023428723086612443,0.011339798451518085,0.007934611405062686,0.005661726483681346,-0.005986059618429018,0.02185528242855439,1,1
