event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,0.051134200727486423,0.051134200727486423,0.025567100363743211,0.1316856076385276,-0.9172423468817883,0.22337933953836231,-0.61526883531804299,0.13759954222270712,0,-0.58258245054735658,367.94702568947679,0.008989431016480651,1,525,349.05992010652466,525,349.05992010652466,349.05992010652466
2,4,-0.23524824813457101,-0.18411404740708459,-0.046028511851771148,0.62221127410998622,-0.56766791237305259,0.58147811149490236,-0.42522094442807318,0.14368450045870187,0,-0.67252174050240909,333.30646621095127,0.012015163980524981,1,502,318.71610942249242,341,200.7228177641654,200.7228177641654
3,6,-0.22217945228942959,-0.40629349969651418,-0.067715583282752359,0.43470289655352856,-0.68725008322745296,0.43542789775065283,-0.42676440924934173,0.10897714412243022,0,-0.61293407076190054,342.82623663706823,0.015744748068545332,1,511,325.64472049689442,254,146.77715565509519,146.77715565509519
4,8,-0.20531567408856333,-0.61160917378507751,-0.076451146723134689,0.4244194869938302,-0.61591685655468886,0.42033365558872926,-0.47320748645840216,0.092969605881270539,0,-0.65222598863869463,356.49374143270865,0.010082193204427468,1,514,342.22454308093995,202,112.58063130770883,112.58063130770883
5,10,-0.20934996419893981,-0.82095913798401732,-0.082095913798401726,0.48484998225403519,-0.68939777700132265,0.49846536945807429,-0.53141968754437452,0.09485896640386815,0,-0.57972877724731031,328.90940002837146,0.012923778783353821,1,496,311.15014836795251,156,92.745091102069694,92.745091102069694
6,12,-0.20798526440786613,-1.0289444023918835,-0.085745366865990283,0.49767335419652298,-0.61280561018781976,0.56614036577214655,-0.38691191753495685,0.10212984445412224,0,-0.61407003838409735,347.41478867222651,0.0091588363184212755,1,511,336.72960822093768,127,73.450266181003087,73.450266181003087
7,14,-0.11470519458231809,-1.1436495969742015,-0.081689256926728682,0.38456398367553346,-0.63318752074589546,0.37708119718645877,-0.49069359429273762,0.13279579755574766,0,-0.63909923930145263,327.92035464275136,0.012562335923028594,1,500,315.64599638771824,109,58.221876735147141,58.221876735147141
8,16,-0.17883341130803743,-1.322483008282239,-0.082655188017639936,0.45534463949984599,-0.65304640271535386,0.48495240537885442,-0.46762325472305666,0.11107013283643256,0,-0.63970996295341676,322.20132201137829,0.013947973564920479,1,518,312.82100238663486,95,51.255059145566527,51.255059145566527
9,18,-0.19996323726585308,-1.522446245548092,-0.084580346974894,0.68010884966385576,-0.80046554215430876,0.68871137403753946,-0.46247986806245628,0.1190716309220439,0,-0.62927159579586256,298.88973147395154,0.022205723410722362,1,490,288.54595487066592,83,42.033833079451618,42.033833079451618
10,20,-0.10902985597185921,-1.6314761015199513,-0.081573805075997569,0.57222488092822277,-0.60181619269596165,0.52306661262175225,-0.48713868202260346,0.033020778196536184,0,-0.6512025522594983,305.30839717278752,0.014948341246373047,1,497,301.48821161587119,75,37.457169393441454,37.457169393441454
