event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,-0.0014254353464364655,-0.0014254353464364655,-0.00071271767321823276,0.10446498093925445,-0.40761065406070063,0.17204113783453032,-0.25916678291557327,0.050406768907243792,0,-0.23964371562189035,2344.4896871409233,0.0013244944057262784,1,2680,2147.0714102892243,2680,2147.0714102892243,2147.0714102892243
2,4,-0.077363377466572736,-0.078788812813009201,-0.0196972032032523,0.35909906717809792,-0.27539283429936229,0.33288310168484098,-0.18894172948409288,0.053091440116847723,0,-0.2365869969917069,2252.0664939368917,0.0014011763693942446,1,2645,2081.5404466501241,1980,1403.481345156433,1403.4813451564328
3,6,-0.10643661742308463,-0.18522543023609384,-0.030870905039348973,0.32636659187543465,-0.30386602275490271,0.33133033661362821,-0.19129194357913862,0.046872589986655333,0,-0.26079643714427264,2197.5508878265628,0.001649631400089234,1,2610,2022.8136001929106,1583,1062.3870314083081,1062.3870314083078
4,8,-0.080363755626823519,-0.26558918586291735,-0.033198648232864669,0.38476090369634963,-0.2652632610011868,0.37273703045522472,-0.16072677943197183,0.039461159140854782,0,-0.23138020033834769,2202.845958275198,0.001808975624756528,1,2628,2042.0175267770205,1302,827.27889546351082,827.27889546351071
5,10,-0.069390668341704931,-0.33497985420462228,-0.033497985420462228,0.29294685250921099,-0.26516400339555296,0.28929019510409298,-0.17214648041160374,0.067274886080890398,0,-0.23561995289745929,2257.6377356049802,0.002021692765440404,1,2649,2074.8473905515707,1109,665.86823305286555,665.86823305286543
6,12,-0.086961076772111845,-0.42194093097673413,-0.035161744248061177,0.32705622415305008,-0.25409193894158205,0.30833283954191054,-0.17242850653850997,0.077202872620964952,0,-0.23812816369899681,2285.1048148239574,0.001637003141602988,1,2640,2090.8793619142571,980,590.45597240796792,590.45597240796781
7,14,-0.10058014676475935,-0.52252107774149348,-0.037322934124392394,0.30463907867652351,-0.28008329026682593,0.31136704965198353,-0.18214785857292809,0.076165737425432214,0,-0.25694623474127531,2203.7311804092724,0.0017486023132270872,1,2602,2009.2474251497006,864,505.94740651387212,505.94740651387201
8,16,-0.10045572704099026,-0.62297680478248374,-0.038936050298905234,0.32072644888226998,-0.28655978231473261,0.31262643424992326,-0.18230728887018241,0.043840867224075646,0,-0.25478960468900475,2169.6270094231277,0.0016194473818041978,1,2615,2023.7896260554885,770,423.11146978714817,423.11146978714811
9,18,-0.1049065242865197,-0.72788332906900344,-0.040437962726055744,0.36274724291010385,-0.22690455851570407,0.33836768557522967,-0.1758145876598334,0.053311877901153361,0,-0.25309307965616856,2202.1630536685848,0.0016038221827715104,1,2611,2042.0175267770205,692,386.0558700354365,386.05587003543644
10,20,-0.11083796995597872,-0.83872129902498216,-0.041936064951249109,0.36369247407518795,-0.25039616304794482,0.34790570088270989,-0.17097307041486626,0.044999445078133603,0,-0.25023235144772776,2198.7497754420997,0.0017783071127942499,1,2605,2014.5552353506243,637,349.27792813423827,349.27792813423821
11,22,-0.12497042800685243,-0.96369172703183459,-0.043804169410537934,0.40233137612569869,-0.22098624862749464,0.37699028321395167,-0.15041441065705932,0.073377579968306322,0,-0.24511616271793144,2183.977758805855,0.0018417933307223599,1,2597,2010.2104001917087,585,313.41707453764246,313.41707453764241
12,24,-0.091105842675852422,-1.054797569707687,-0.043949898737820292,0.3494672719058971,-0.26661881169705115,0.34120668588497677,-0.17243949546409909,0.053390079926340352,0,-0.24929728915540195,2195.9105517186413,0.0020723684918079444,1,2608,2029.1746492501209,547,288.09011607940107,288.09011607940101
13,26,-0.11437134925307468,-1.1691689189607617,-0.044968035344644677,0.43710893089653369,-0.23677565674228052,0.38932831995858452,-0.17355537928261847,0.068352136525958312,0,-0.25553584678505387,2152.7485380945454,0.0016814082736329177,1,2588,2003.0105062082139,500,254.74833733183516,254.7483373318351
14,28,-0.10394801257155795,-1.2731169315323196,-0.04546846184043999,0.35144619840832952,-0.25398786628366182,0.34471377332615227,-0.16509424606900039,0.046402914441026344,0,-0.24657443269688747,2178.3266829035852,0.0017023823807987347,1,2601,2004.925430210325,462,226.65175218178379,226.65175218178376
15,30,-0.14281016216430942,-1.4159270936966291,-0.047197569789887636,0.48613030182918737,-0.21256573393107553,0.45183507860618971,-0.13658068494512093,0.058855836226157122,0,-0.2574394946561096,2157.5722175438373,0.0016162794004852758,1,2581,1999.6681764004768,435,226.68850155384408,226.68850155384402
16,32,-0.11526953136321616,-1.5311966250598452,-0.047849894533120163,0.41886650312256363,-0.2656561558115888,0.3805821478501073,-0.19032909823421468,0.072645829847288165,0,-0.25721630991153704,2198.2438284010796,0.0017774355812867544,1,2617,2041.0238442822385,409,210.61558161138868,210.61558161138865
