event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,1,0.058164179301334329,0.058164179301334329,0.058164179301334329,-0.038548135673193984,-0.66622178293589274,-0.037950469641742979,-0.56361152573748874,0.030617536821494561,0,-0.29402554595446773,755.55465496528871,0.0030293145611796244,1,765,667.03307888040717,765,667.03307888040717,667.03307888040717
2,2,-0.030112680383119539,0.02805149891821479,0.014025749459107395,0.25945057681216666,-0.51145680509241098,0.25677992876833627,-0.3902323638263609,0.019623003510920261,0,-0.24833895798429073,726.73878461115692,0.0038167318161452858,1,758,653.72568578553614,615,478.80182648401825,478.80182648401825
3,3,-0.052245078517986876,-0.024193579599772086,-0.0080645265332573626,0.14720303958842768,-0.50900071015090265,0.20054147963927413,-0.36356721938616826,0.008189426259910676,0,-0.31772190140383988,727.56286950576134,0.0031613423791161423,1,764,660.3123425692695,526,392.72509363295882,392.72509363295882
4,4,-0.077729881271574541,-0.10192346087134663,-0.025480865217836657,0.43939550008549988,-0.35582484886988336,0.36617258208841985,-0.26491506149220412,-0.0087626145020065927,0,-0.2889183643819771,715.56641154834483,0.0040820845167540819,1,736,638.59683313032883,439,323.43491671807527,323.43491671807527
5,5,0.025206047424848776,-0.076717413446497851,-0.015343482689299571,0.010967260916316007,-0.65544462114075497,0.11972656550710534,-0.42645444494193674,0.0020489522963307344,0,-0.23308267531635629,740.88748601431416,0.0031073815280462818,1,765,657.82685069008778,391,275.50604308985811,275.50604308985811
6,6,-0.042460216245319593,-0.11917762969181744,-0.019862938281969573,0.29826894586582103,-0.44319747686377814,0.30272374881963426,-0.31337814453776525,0.027104030316533554,0,-0.24784846888931553,726.07750554319432,0.003219688301179083,1,751,648.06922126081577,343,242.83835108846688,242.83835108846688
7,7,-0.021667882962247198,-0.14084551265406464,-0.020120787522009236,0.2501460822978816,-0.43298565591372645,0.195974378227117,-0.37978924245408269,0.035380731746638611,0,-0.25023136584794453,750.01851700962629,0.0030566000424748622,1,766,667.03307888040717,314,215.75637860082304,215.75637860082304
8,8,-0.023665926783106528,-0.16451143943717117,-0.020563929929646396,0.3097041759398998,-0.37703785315483945,0.33730585180721084,-0.29872643667807258,0.0095204982930992676,0,-0.23940770133210371,730.61597766780017,0.0029401752638443589,1,752,652.09950248756218,290,195.26554934823091,195.26554934823091
9,9,-0.0094425283731132126,-0.17395396781028438,-0.019328218645587154,0.077065876851020593,-0.6570881927955291,0.23272463526048356,-0.36968389511305899,0.070647984042206999,0,-0.24630087134703227,735.73284067983388,0.0034092200624580853,1,763,655.36000000000001,259,166.28227085315572,166.28227085315572
10,10,-0.039231555642305516,-0.2131855234525899,-0.021318552345258989,0.30968012832078079,-0.42636564538345906,0.19818887681472824,-0.38896611137746395,0.074781604836716753,0,-0.30400004782104856,715.12309312583375,0.0038108385829726458,1,753,648.87128712871288,244,154.42945508100146,154.42945508100146
11,11,-0.034525640119605683,-0.24771116357219558,-0.022519196688381416,0.24227438996449682,-0.43164891710125602,0.19511627587360825,-0.32857780413486942,0.010907806952635475,0,-0.25090330495511998,739.13998684233411,0.0031193762827202961,1,769,661.97979797979804,220,137.21224810259093,137.21224810259093
12,12,-0.039013967799794713,-0.28672513137199029,-0.023893760947665859,0.20517077447834206,-0.51083669667850795,0.23103833624176093,-0.36585795753950806,0.059049062935664087,0,-0.30672299579916734,716.64072778246793,0.0039544887696590196,1,750,639.37560975609756,212,129.51778656126481,129.51778656126481
13,13,-0.040696917611314554,-0.32742204898330485,-0.02518631146025422,0.20779655678326051,-0.52308861921458105,0.17768286600463332,-0.39171703819340392,0.011927649737447789,0,-0.2839688540341514,722.56992231701906,0.0042168459945127633,1,757,652.91158156911581,202,121.11064911064911,121.11064911064911
14,14,-0.037139445361733969,-0.36456149434503882,-0.026040106738931344,0.11185055478722748,-0.5661350011791304,0.15160689711863851,-0.41810294011118787,0.02706696245303843,0,-0.31878739770309517,708.61221661149682,0.003392103194658061,1,754,638.59683313032883,189,107.87818930041152,107.87818930041152
15,15,-0.056882426484870408,-0.42144392082990922,-0.028096261388660615,0.11397137854219748,-0.50842994887712034,0.17425034951236645,-0.32917759170932515,0.031697180480698556,0,-0.27102899805802999,744.2260216805854,0.003572250808066463,1,757,655.36000000000001,173,99.807348181991244,99.807348181991244
16,16,-0.05391339082312907,-0.47535731165303829,-0.029709831978314893,0.19874823441717646,-0.44022667849609326,0.20367190602315297,-0.35723203367602935,0.10010714474891781,0,-0.29241811417899033,730.55279976068607,0.0030127421088272642,1,761,657.00250626566412,168,92.695898161244699,92.695898161244699
17,17,-0.024479613144811729,-0.49983692479785002,-0.029402172046932355,0.12489423472382902,-0.51272300393223624,0.20271527581011359,-0.31003828384915472,-0.10135892991667624,0,-0.23014455162641467,744.41223589540323,0.0031509287091564808,1,763,665.34010152284259,159,85.878460278460281,85.878460278460281
18,18,-0.0024799319002442033,-0.50231685669809423,-0.027906492038783013,0.14690406195338376,-0.41495824716324275,0.15504776144638591,-0.36578300562158045,0.048793953168908985,0,-0.23670740105170046,749.55319016975886,0.0032301624038348457,1,758,655.36000000000001,156,85.977041653000981,85.977041653000981
19,19,-0.041358283128788642,-0.54367513982688287,-0.02861448104352015,0.098613125889226938,-0.50309278026270676,0.13770948466680991,-0.33831161263313952,0.083485768868234458,0,-0.28978641126591331,726.90510873579603,0.0040394649393077067,1,757,644.08845208845207,151,84.209444265981375,84.209444265981375
20,20,-0.0024859070396141547,-0.54616104686649702,-0.027308052343324851,0.20533345396808192,-0.43968326341271236,0.18837957167079727,-0.38244431067060131,0.054863114447044017,0,-0.25112133655616103,727.58460743244439,0.0040072696246599964,1,759,652.91158156911581,144,79.970713849908478,79.970713849908478
21,21,-0.028904945972936247,-0.57506599283943327,-0.027384094897115869,0.25841967737961852,-0.53943854406349556,0.28200527475458015,-0.40738683059933345,0.11410807600628176,0,-0.28866720957343112,717.57564227799469,0.0041462824299158905,1,750,646.47102342786684,138,80.65969230769231,80.65969230769231
22,22,-0.044425038986649845,-0.61949103182608312,-0.02815868326482196,0.050093661562508808,-0.60080418482243336,0.086006366793486569,-0.42877583036362105,-0.075247417910650441,0,-0.32066329637829416,736.304238666576,0.0032595385259801871,1,763,658.6532663316583,134,76.571929312107486,76.571929312107486
23,23,-0.040770538077981477,-0.66026156990406459,-0.02870702477843759,0.24497936175778123,-0.42682705377057811,0.20548778913613788,-0.34474394643154599,0.018482753393323229,0,-0.27340030672062954,728.10935981540661,0.0043424167325920192,1,765,655.36000000000001,129,74.599886169607288,74.599886169607288
24,24,-0.052379755144478679,-0.71264132504854327,-0.029693388543689303,0.37544471197820051,-0.27403396669459901,0.26768804910466837,-0.2709368335229923,0.038920822022683522,0,-0.25788440612502006,728.75420392524779,0.0040835227653008939,1,755,653.72568578553614,124,73.081683858377474,73.081683858377474
25,25,-0.00060686028298739814,-0.71324818533153067,-0.028529927413261227,-0.067003421522423404,-0.62561053248348975,0.059304801629034669,-0.37960022410696692,0.037428578217363589,0,-0.24282512305999232,748.92609613853131,0.0033784902845952415,1,766,659.48176100628928,122,72.275709953129308,72.275709953129308
26,26,-0.0359418154511566,-0.74919000078268727,-0.028815000030103358,0.28217949238965345,-0.39792143302340338,0.21205519065661518,-0.3023799321299977,0.077429301789637556,0,-0.2662683801279912,722.45461238847872,0.0035382781855759185,1,759,649.67534076827758,117,66.856414180056106,66.856414180056106
27,27,-0.030444113143770934,-0.77963411392645821,-0.028875337552831785,0.10171676325016993,-0.58398571097508833,0.096015666403891822,-0.46333934486117551,-0.050040399291835569,0,-0.30599793111095769,719.39417574660126,0.0045500129645478816,1,746,633.96372430471581,114,62.992670911930794,62.992670911930794
28,28,-0.051063936567802948,-0.83069805049426115,-0.029667787517652183,0.50888824699549196,-0.28000043590396312,0.37913353243725068,-0.22863940756158535,0.082202546673954921,0,-0.21060758053775178,736.81680645259632,0.0034935330026227844,1,767,661.97979797979804,113,64.830963274390996,64.830963274390996
29,29,-0.042027299217640035,-0.87272534971190119,-0.030093977576272454,0.060029949738691114,-0.54413804584212311,0.10796443474944434,-0.39535488917015649,0.055916591401366914,0,-0.28210949330617785,742.93521419085903,0.0028191377558738156,1,773,671.30345710627398,109,62.676389719067544,62.676389719067544
30,30,-0.079579795641945061,-0.95230514535384625,-0.031743504845128209,0.33655807418721267,-0.47512254405485388,0.31923525464568719,-0.33701023239086059,0.01811904318789408,0,-0.31033590049863602,715.13288598140605,0.0041035851875140718,1,744,636.27184466019412,104,60.152363469481415,60.152363469481415
31,31,-0.0019085885156595594,-0.95421373386950581,-0.030781088189338897,0.18762558464803544,-0.60236670271198312,0.19932917190578381,-0.38774083262719239,0.00065954072577926873,0,-0.23641662840205943,739.08389586177566,0.0033284017026498887,1,767,664.49683143219261,104,57.84927728125345,57.84927728125345
32,32,-0.063122947943694108,-1.0173366818131999,-0.031791771306662497,0.60262941402561088,-0.2049934175362926,0.41264989257509849,-0.28552423345258249,0.036635448713686063,0,-0.27419493016833896,718.96718785716473,0.0034424844266550325,1,749,648.87128712871288,100,54.567860116569527,54.567860116569527
33,33,-0.027387397718891648,-1.0447240795320916,-0.031658305440366408,0.22889845983020532,-0.53238908645718475,0.31575308424219672,-0.29750218613099078,-0.018196737998096669,0,-0.2204518804698323,729.06016175537627,0.0034055040739755719,1,760,651.28944099378884,95,49.596821492763219,49.596821492763219
34,34,0.011878984174687801,-1.0328450953574038,-0.03037779692227658,0.11963434705511938,-0.55165629000941274,0.13364260964848496,-0.45908440762721847,0.031780521691613869,0,-0.24463568143098957,735.87487447813646,0.003643488990778283,1,765,654.54182272159801,92,45.901593416214325,45.901593416214325
35,35,-0.06139982474576744,-1.0942449201031712,-0.03126414057437632,0.26347056504924887,-0.48366663603141757,0.23416467376118039,-0.37365758365521518,0.023384194233966364,0,-0.28966318937578495,716.14021108494967,0.0032195029674979164,1,752,646.47102342786684,90,46.209060461836771,46.209060461836771
36,36,-0.020486775419925607,-1.1147316955230968,-0.030964769320086023,0.18436481020272369,-0.56073599488866532,0.21074921706704969,-0.3692419129495611,0.092275989297890021,0,-0.24533547630551802,729.23245710316735,0.0039894673810598634,1,748,644.88068880688809,87,46.315194346289751,46.315194346289751
37,37,-0.063713870133258688,-1.1784455656563555,-0.031849880152874474,0.14490217344499609,-0.44574159013483494,0.19372234761137005,-0.30827456072940135,0.027544941900288687,0,-0.28754756601540454,719.53301887567261,0.0045069755074976956,1,756,647.26913580246912,86,43.928613322161709,43.928613322161709
