dataset,observable,first_quarter_mean,last_quarter_mean,last_minus_first,stream_standard_error,z_score,streams
equilibrium,log_action_1,0.27743354494214023,0.2763376666698498,-0.0010958782722904651,0.008161618421560757,-0.13427217687553922,64
equilibrium,log_action_2,0.2724226059464261,0.27215685251285404,-0.0002657534335719844,0.008028921779060682,-0.03309951708149227,64
equilibrium,cos_theta,-0.2626559691796786,-0.2615175473002845,0.0011384218793941132,0.004078223976166705,0.27914648289233096,64
equilibrium,sin_theta,6.199504692720238e-05,-0.0008996380806315768,-0.0009616331275587793,0.0018989936935199468,-0.5063909010547109,64
equilibrium,energy,6.015210952603595,5.994958773890039,-0.020252178713555932,0.047597069725282236,-0.4254921328234318,64
driven,log_action_1,0.3233446515758356,0.31992608771057274,-0.003418563865262887,0.008331497794475442,-0.410318042396856,64
driven,log_action_2,0.22251960709646573,0.2189022041230178,-0.003617402973447966,0.008779722039993436,-0.41201793826387134,64
driven,cos_theta,-0.2655093634066761,-0.2690543594101003,-0.003544996003424254,0.004288457507079026,-0.8266366164459998,64
driven,sin_theta,0.04137837882078564,0.04140878771584143,3.0408895055790332e-05,0.001561241238755046,0.01947738395639535,64
driven,energy,6.034497133124545,5.9907481676564345,-0.04374896546811201,0.05129278422603298,-0.8529263156260447,64
