stage,bc_label,bc_id,temp_label,T1,Tn,n,replicate,batches,burnin,measure,seed
gate,BC1,0,T10_T2,10,2,25,0,16,2000,2000,2026090750
gate,BC1,0,T10_T2,10,2,25,1,16,2000,2000,2026090751
gate,BC1,0,T10_T2,10,2,50,0,16,8000,2000,2026091000
gate,BC1,0,T10_T2,10,2,50,1,16,8000,2000,2026091001
gate,BC1,0,T10_T2,10,2,100,0,16,32000,2000,2026091500
gate,BC1,0,T10_T2,10,2,100,1,16,32000,2000,2026091501
production,BC1,0,T4_T6,4,6,25,0,16,2000,2000,2026100750
production,BC1,0,T4_T6,4,6,25,1,16,2000,2000,2026100751
production,BC1,0,T4_T6,4,6,50,0,16,8000,2000,2026101000
production,BC1,0,T4_T6,4,6,50,1,16,8000,2000,2026101001
production,BC1,0,T4_T6,4,6,100,0,16,32000,2000,2026101500
production,BC1,0,T4_T6,4,6,100,1,16,32000,2000,2026101501
production,BC1,0,T6_T6,6,6,25,0,16,2000,2000,2026110750
production,BC1,0,T6_T6,6,6,25,1,16,2000,2000,2026110751
production,BC1,0,T6_T6,6,6,50,0,16,8000,2000,2026111000
production,BC1,0,T6_T6,6,6,50,1,16,8000,2000,2026111001
production,BC1,0,T6_T6,6,6,100,0,16,32000,2000,2026111500
production,BC1,0,T6_T6,6,6,100,1,16,32000,2000,2026111501
production,BC2,1,T10_T2,10,2,25,0,16,2000,2000,2026190750
production,BC2,1,T10_T2,10,2,25,1,16,2000,2000,2026190751
production,BC2,1,T10_T2,10,2,50,0,16,8000,2000,2026191000
production,BC2,1,T10_T2,10,2,50,1,16,8000,2000,2026191001
production,BC2,1,T10_T2,10,2,100,0,16,32000,2000,2026191500
production,BC2,1,T10_T2,10,2,100,1,16,32000,2000,2026191501
production,BC2,1,T4_T6,4,6,25,0,16,2000,2000,2026200750
production,BC2,1,T4_T6,4,6,25,1,16,2000,2000,2026200751
production,BC2,1,T4_T6,4,6,50,0,16,8000,2000,2026201000
production,BC2,1,T4_T6,4,6,50,1,16,8000,2000,2026201001
production,BC2,1,T4_T6,4,6,100,0,16,32000,2000,2026201500
production,BC2,1,T4_T6,4,6,100,1,16,32000,2000,2026201501
production,BC2,1,T6_T6,6,6,25,0,16,2000,2000,2026210750
production,BC2,1,T6_T6,6,6,25,1,16,2000,2000,2026210751
production,BC2,1,T6_T6,6,6,50,0,16,8000,2000,2026211000
production,BC2,1,T6_T6,6,6,50,1,16,8000,2000,2026211001
production,BC2,1,T6_T6,6,6,100,0,16,32000,2000,2026211500
production,BC2,1,T6_T6,6,6,100,1,16,32000,2000,2026211501
production,BC3,3,T10_T2,10,2,25,0,16,2000,2000,2026290750
production,BC3,3,T10_T2,10,2,25,1,16,2000,2000,2026290751
production,BC3,3,T10_T2,10,2,50,0,16,8000,2000,2026291000
production,BC3,3,T10_T2,10,2,50,1,16,8000,2000,2026291001
production,BC3,3,T10_T2,10,2,100,0,16,32000,2000,2026291500
production,BC3,3,T10_T2,10,2,100,1,16,32000,2000,2026291501
production,BC3,3,T4_T6,4,6,25,0,16,2000,2000,2026300750
production,BC3,3,T4_T6,4,6,25,1,16,2000,2000,2026300751
production,BC3,3,T4_T6,4,6,50,0,16,8000,2000,2026301000
production,BC3,3,T4_T6,4,6,50,1,16,8000,2000,2026301001
production,BC3,3,T4_T6,4,6,100,0,16,32000,2000,2026301500
production,BC3,3,T4_T6,4,6,100,1,16,32000,2000,2026301501
production,BC3,3,T6_T6,6,6,25,0,16,2000,2000,2026310750
production,BC3,3,T6_T6,6,6,25,1,16,2000,2000,2026310751
production,BC3,3,T6_T6,6,6,50,0,16,8000,2000,2026311000
production,BC3,3,T6_T6,6,6,50,1,16,8000,2000,2026311001
production,BC3,3,T6_T6,6,6,100,0,16,32000,2000,2026311500
production,BC3,3,T6_T6,6,6,100,1,16,32000,2000,2026311501
production,BC3b,2,T10_T2,10,2,25,0,16,2000,2000,2026390750
production,BC3b,2,T10_T2,10,2,25,1,16,2000,2000,2026390751
production,BC3b,2,T10_T2,10,2,50,0,16,8000,2000,2026391000
production,BC3b,2,T10_T2,10,2,50,1,16,8000,2000,2026391001
production,BC3b,2,T10_T2,10,2,100,0,16,32000,2000,2026391500
production,BC3b,2,T10_T2,10,2,100,1,16,32000,2000,2026391501
production,BC3b,2,T4_T6,4,6,25,0,16,2000,2000,2026400750
production,BC3b,2,T4_T6,4,6,25,1,16,2000,2000,2026400751
production,BC3b,2,T4_T6,4,6,50,0,16,8000,2000,2026401000
production,BC3b,2,T4_T6,4,6,50,1,16,8000,2000,2026401001
production,BC3b,2,T4_T6,4,6,100,0,16,32000,2000,2026401500
production,BC3b,2,T4_T6,4,6,100,1,16,32000,2000,2026401501
production,BC3b,2,T6_T6,6,6,25,0,16,2000,2000,2026410750
production,BC3b,2,T6_T6,6,6,25,1,16,2000,2000,2026410751
production,BC3b,2,T6_T6,6,6,50,0,16,8000,2000,2026411000
production,BC3b,2,T6_T6,6,6,50,1,16,8000,2000,2026411001
production,BC3b,2,T6_T6,6,6,100,0,16,32000,2000,2026411500
production,BC3b,2,T6_T6,6,6,100,1,16,32000,2000,2026411501
