bc_label,temp_label,n_values,midpoint_values,normalized_midpoint_values,loglog_slope
BC1,T10_T2,25;50;100,0.5707564147245776;0.4080060900005466;0.2971123050836545,1;0.7148515189223633;0.5205588538624275,-0.47093340624284846
BC2,T10_T2,25;50;100,0.5678280438374768;0.4043721511081997;0.2984629292107903,1;0.7121383938267388;0.5256220302078214,-0.4639511753997919
BC3,T10_T2,25;50;100,2.471247624778929;2.679356895895061;2.726036031650213,1;1.084212229090053;1.10310112362539,0.07078252595676662
BC3b,T10_T2,25;50;100,2.442607742002401;2.54471561332835;2.553522053039736,1;1.041802811630427;1.045408155034508,0.03203315932496226
BC1,T4_T6,25;50;100,0.4595982885930664;0.3236610878340118;0.2346179928522198,1;0.7042260510255839;0.5104849140549199,-0.48502988397318425
BC2,T4_T6,25;50;100,0.4584874891423337;0.3248022107405945;0.2365950239518133,1;0.7084210985738855;0.5160337622175863,-0.4772313179232593
BC3,T4_T6,25;50;100,2.221069033006308;2.420242958937306;2.493496764643881,1;1.089674802075561;1.122656129813683,0.08345804856089759
BC3b,T4_T6,25;50;100,2.213014281135564;2.308725155634678;2.355035959126866,1;1.043249099346075;1.064175671708014,0.044868163663027046
BC1,T6_T6,25;50;100,0.4942713075180065;0.3489364731639409;0.256624869996433,1;0.7059614180643674;0.5191983958872305,-0.47282108444340665
BC2,T6_T6,25;50;100,0.495119447241124;0.3489106649972478;0.2547184727763767,1;0.7046999808660873;0.5144586305298737,-0.4794365127023431
BC3,T6_T6,25;50;100,2.444747251885478;2.661637413895502;2.712556942931362,1;1.088716803687068;1.109544940009377,0.0749840511697353
BC3b,T6_T6,25;50;100,2.42321415764495;2.520035353344184;2.581146039666392,1;1.039955690830616;1.065174545767317,0.04554492915970638
