bc_label,temp_label,n_values,mid_I_values,loglog_slope_mid_I,slope_se_three_point,R2_mid_I,reference_slope,mid_sin_values,loglog_slope_abs_mid_sin,sine_slope_se,R2_abs_mid_sin
BC1,T10_T2,25;50;100,0.57075641472457761;0.40800609000054661;0.29711230508365449,-0.47093340624284874,0.0077082475232690285,0.9997321596712099,-0.5,0.031765281420492605;0.015712499833237543;0.0069917544557319793,-1.0918621879549413,0.04406574933357048,0.9983738527646792
BC1,T4_T6,25;50;100,0.4595982885930664;0.32366108783401182;0.23461799285221979,-0.4850298839731847,0.012043303726717735,0.9993838497764632,-0.5,-0.012729162205085355;-0.0074432286676621986;-0.0049840331721288994,-0.6763759464609062,0.056442373431776036,0.993084549905437
BC1,T6_T6,25;50;100,0.49427130751800652;0.34893647316394089;0.25662486999643297,-0.4728210844434069,0.01704203496005778,0.9987025656260402,-0.5,0.00075554666153677193;7.6521589388191106e-05;0.00085233016582505084,0.08694576812443496,1.9575221845679087,0.001968917771656975
BC2,T10_T2,25;50;100,0.56782804383747676;0.40437215110819974;0.29846292921079032,-0.4639511753997922,0.014906770610610897,0.9989687250465501,-0.5,0.032533665659315425;0.015697677964985911;0.0078237208245146121,-1.028003293851605,0.013497826853230442,0.9998276291484727
BC2,T4_T6,25;50;100,0.45848748914233373;0.32480221074059445;0.23659502395181325,-0.4772313179232598,0.011598734307173408,0.9994096536694734,-0.5,-0.013287384995089016;-0.0074865954920279075;-0.0037079003655298547,-0.9206914109310934,0.05370276494432824,0.9966092947190004
BC2,T6_T6,25;50;100,0.495119447241124;0.34891066499724782;0.25471847277637671,-0.47943651270234344,0.014712274705941561,0.9990592187117809,-0.5,7.6061044605428227e-05;-4.2742257632434068e-05;0.00032851654877197041,nan,nan,nan
BC3,T10_T2,25;50;100,2.471247624778929;2.6793568958950607;2.7260360316502132,0.07078252595676668,0.026479973032342334,0.8772289627222944,0.0,0.019639314633970412;0.010333503165354047;0.0046213880150959789,-1.0436732272153029,0.06769897778816578,0.9958100230888411
BC3,T4_T6,25;50;100,2.2210690330063083;2.4202429589373065;2.493496764643881,0.08345804856089777,0.023347813303851987,0.9274176028818347,0.0,-0.0056949642159764662;-0.0033230780660850655;-0.0011990789499336494,-1.1238800624198708,0.20017511577066097,0.9692519947646225
BC3,T6_T6,25;50;100,2.4447472518854778;2.6616374138955017;2.7125569429313616,0.07498405116973526,0.027507668119525354,0.8813860127188342,0.0,4.7636660730172712e-05;-0.00012536784634711818;6.8488031731537427e-05,nan,nan,nan
BC3b,T10_T2,25;50;100,2.4426077420024015;2.5447156133283504;2.5535220530397358,0.03203315932496212,0.015616791566806627,0.8079663438149353,0.0,0.01972858353287104;0.010258826222120692;0.0053297576804387566,-0.9440727653484461,0.0003758897795043818,0.9999998414705228
BC3b,T4_T6,25;50;100,2.213014281135564;2.3087251556346784;2.3550359591268659,0.04486816366302715,0.009362029893033055,0.9582789339101782,0.0,-0.005638077194842531;-0.0025038697707141016;-0.0018316853062581438,-0.8110157846543198,0.2078622156149318,0.9383600869614965
BC3b,T6_T6,25;50;100,2.4232141576449502;2.5200353533441842;2.5811460396663919,0.04554492915970629,0.006337650067498729,0.9810046407295329,0.0,8.1648624244279452e-07;-6.1229896363681108e-05;0.00028646894923059366,nan,nan,nan
