# bc_label=BC1
# b_I=2*gamma*(2*T-F)
# b_phi=gamma*P
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=100 T1=4 Tn=6 gamma=0.1 dt_max=0.0005 burnin=32000 measure=2000 seeds=2026101500;2026101501 samples=512 nonfinite_trajectories=0 discarded_trajectories=0 projection_count=113653924
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,0.17671086638840938,0.0003796848855294027,-0.0007314049123625123,0.00022236353725447222
2,0.18201273787302064,0.0007025729690783786,0.001656928478325626,0.0007410162776908228
3,0.18573201120702953,0.0007375787015938804,0.0021007044688807516,0.0007660308420629881
4,0.18759313277608786,0.0008212410959301294,0.0014429978132279161,0.0007928018921999489
5,0.1884512716200742,0.000812700780120542,0.0007160201048310294,0.0007337164604286009
6,0.19010912806726205,0.0008737623363267315,0.0017233021441163694,0.0007407402638589605
7,0.19204329528591707,0.0009270404365763645,0.000519871398999661,0.0007384668759414774
8,0.19387885631183488,0.0009831920171039987,-0.00013765426321711422,0.0007539949338725096
9,0.19494207882055525,0.00105222480183641,0.0014654354047965393,0.000751019302636107
10,0.19664246655529216,0.0010394231752511903,0.001228793215550157,0.0007504278734076069
11,0.19787864611043005,0.0010878579290033834,0.0012478235061053724,0.0007504791710493543
12,0.19913972324330098,0.0011978034133372,0.000967024393497505,0.0007151540906099118
13,0.2009909881551053,0.0012374179664294165,0.00019566586351538488,0.0007827199630047585
14,0.2015330974120818,0.0012459784869930902,-0.0002961347166027656,0.0007683770921236555
15,0.20267066485949423,0.0012405725124729958,-5.754981106014228e-05,0.0007733744491790426
16,0.20412461869155393,0.0012963384015508765,-0.00032221390845421,0.0007510060635615171
17,0.2053419709892712,0.0013398780433157577,-0.0002856470314310068,0.0007411097516982964
18,0.2058262555203128,0.0013414762219103554,-0.0006745716211955704,0.0007324346632423173
19,0.20720683973272971,0.0013835449068851507,-0.00022162806542846622,0.0007884303666543458
20,0.20943457987960593,0.0014781938956010532,-0.0003371317394648752,0.0007374202854105169
21,0.2107772847353082,0.0015324813618182384,-0.000717541898542347,0.0007190911493420419
22,0.212597059227028,0.0015134846102644903,-0.0020052750974792564,0.0007306159802854804
23,0.21384824138848318,0.0015032156411298003,-0.000730735315276544,0.000746917042582417
24,0.21475453756157312,0.001504764917443991,-0.0017977477324627859,0.0007293880981116453
25,0.2158746754162012,0.0014953795213342906,-0.002548936906579975,0.000749705962430249
26,0.2165229516797904,0.001463791425169852,-0.0014248012115226354,0.0008012951900540897
27,0.21719473995552918,0.00149938796141881,-0.0020401723919267734,0.0008131102304664903
28,0.21794235855860505,0.0015110023665859972,-0.0018103814445087183,0.0007211869761439287
29,0.2197587202912598,0.00152344294503122,-0.0015761549297981423,0.0007579559739547144
30,0.2209027949086627,0.0015168604769687268,-0.002017066212820109,0.0007384490131214104
31,0.22088042235108196,0.001539927806295026,-0.002749951879598472,0.0007381535779625986
32,0.22206956375274595,0.0015867769732148096,-0.003465981119894106,0.0007655578926454437
33,0.22309389688709377,0.0016031831104492394,-0.003045017003901458,0.0007631964312720291
34,0.22364988773698702,0.00155038489828028,-0.0024860327748495665,0.0007439832315731126
35,0.22350458410479696,0.0015223261961527363,-0.0014365445842535634,0.0007136997392559082
36,0.22427373530638034,0.0014867294929768432,-0.0014842131792443427,0.0007278043443359597
37,0.22538349637561914,0.0015704670698761176,-0.001953011369135746,0.0007591133516474702
38,0.22596358016892615,0.0015811281490159762,-0.003442871740216619,0.000728290683970605
39,0.2267369570927201,0.0015177952008770853,-0.0018544820881062087,0.0007277417453618523
40,0.22797017035345685,0.0015102422709552111,-0.0025372609237960544,0.0007320189824028533
41,0.22785156660195682,0.0015276230968518096,-0.0032064722044702646,0.0007106820694082221
42,0.2298352047205306,0.0015409292927115708,-0.0026618308628177647,0.0007203522189477076
43,0.231111010056359,0.0015878358357203925,-0.0028011575540607264,0.0007087362977515799
44,0.23196791277557585,0.0016285148649042773,-0.004062436392101401,0.0007322677060777412
45,0.2324023704307665,0.0016269823787360173,-0.0034100787406295113,0.0006943155049177955
46,0.233158804005709,0.0016726634009005643,-0.003428172037578954,0.0007503176746298503
47,0.23337162146134757,0.0016777636368074807,-0.003117458555838057,0.0007251303520110143
48,0.23423843329825442,0.0016534871863788845,-0.003532076743739298,0.0007259741821372295
49,0.2349590798969573,0.0016821779968915925,-0.004184224838780409,0.0007516504514237973
50,0.23478216342383215,0.0016656126574465684,-0.004984033172128899,0.0007190258128020538
51,0.23445382228060746,0.001619106351981172,-0.004943556359035413,0.0007181397970889356
52,0.23484983209571242,0.0015541650603436926,-0.005109568008084304,0.000754835755430996
53,0.2343102430853092,0.0015206841913317638,-0.0032695618735191366,0.0007066402478123327
54,0.23562489276128173,0.001517905349024761,-0.004192621478347893,0.0007338562980647576
55,0.2369226446705873,0.001506001513195553,-0.004410033481577821,0.0007242325424102476
56,0.23718843336165518,0.001457572627336466,-0.00383465675463137,0.0007267569446581238
57,0.2373439726788133,0.0014394587355776114,-0.005187236145292882,0.000710275357079883
58,0.23817307280391542,0.0014554043219011043,-0.003723849284496373,0.0007459232189092007
59,0.23931314551677013,0.0014839988113180419,-0.003960202067110626,0.0007222833771499886
60,0.23921775370933712,0.0014687306073879072,-0.00494446221106086,0.0007123102577439431
61,0.23946715898975848,0.0014805463989705225,-0.00415842613859062,0.0006879717228489331
62,0.23860242273809568,0.001384353752141042,-0.004580544079448775,0.0006969611377538811
63,0.23962605239321766,0.0013181709434231749,-0.0047633838858134984,0.0006706798046326475
64,0.23989643815220363,0.0013623947108757034,-0.004950808227199476,0.0006916107168968436
65,0.2408629916464514,0.0013328832460562962,-0.005151394233771905,0.0006525642732952931
66,0.2409666624093512,0.001309659903311642,-0.004582563801989804,0.0007394681847411571
67,0.24301695936355666,0.0012841015045628177,-0.006136400883317429,0.0007307798834251159
68,0.242417575503051,0.0012564393228335264,-0.006195065844054095,0.0007328188428885265
69,0.24256330743155347,0.001311789598630487,-0.005880050831515602,0.0007251111959462306
70,0.24402019071587533,0.0013482424053778972,-0.005568523989495544,0.0006812071810999953
71,0.2441249759643156,0.001335435801370803,-0.0055436250606785645,0.0006994537105625069
72,0.24447630642363125,0.0013213708160522114,-0.004474864521204228,0.0007084086787562136
73,0.24476674413977917,0.0013445789556146537,-0.005471991579510829,0.0006861053559635327
74,0.24447770599040958,0.0013449917189371293,-0.005863630658709941,0.0007111687581846584
75,0.24511058277204054,0.0013314751157445447,-0.0066439708296953046,0.0007231158133319265
76,0.24517508326711057,0.00126852615917667,-0.007036380029434769,0.0006898641939970037
77,0.24514291032690083,0.0012317548873448682,-0.007062745124287322,0.0007232438317462139
78,0.24620550999697688,0.00124168262367728,-0.00773552946447133,0.0007083778120044047
79,0.2460338996405106,0.0012645973516598988,-0.007317080451281765,0.0007425945481234612
80,0.2465116956905679,0.0013141469257101123,-0.005865051638599192,0.0006960800250713623
81,0.24710521617163853,0.0012976866113332368,-0.006962634062078078,0.0006968999229096077
82,0.24597764235261885,0.0011992996169624404,-0.0070128556150435275,0.0006848687888733754
83,0.24663182162216066,0.0012072710385902896,-0.00646962926496265,0.0006513854399563988
84,0.24741063610777514,0.0011639249420814575,-0.0061373902374614805,0.0006785642388400123
85,0.24809171056116436,0.0011340570153708,-0.007178073420595229,0.000685300022071976
86,0.2483996180734156,0.0011254220206316594,-0.007884281676766053,0.0006654831289460306
87,0.24805817129644048,0.0010900449798449375,-0.007885121901286422,0.000674901546369381
88,0.24787179792744882,0.0010687705862779467,-0.007746757143051262,0.0006736721019778315
89,0.2477406962491259,0.0010246510945067047,-0.00804414846288572,0.0006428210512453518
90,0.24790143046097302,0.0009630507410115909,-0.0076875751968271105,0.0006871657645751671
91,0.2479386221784622,0.0009620038037652421,-0.006598229175600443,0.0006451783854093582
92,0.24810257174516218,0.0009144806890084408,-0.006337527176858664,0.0006610051597767713
93,0.2479244281839626,0.0009167570722928987,-0.007038393267409871,0.0007127863315872408
94,0.24937853634886314,0.0009102059868588001,-0.007088139130656788,0.0006950116766239736
95,0.24890854924574854,0.000863974163691656,-0.007915292957216328,0.000650135991917539
96,0.24904991653495195,0.0009104664657844102,-0.0078596933840271,0.0006183211584386467
97,0.24930788133809756,0.0008659232664203318,-0.007561584602231672,0.0006452131918352993
98,0.2494177453805823,0.0008744956291690672,-0.006945596346699294,0.0006512418780161497
99,0.2471334172528437,0.0008482764718738769,-0.004182811876604017,0.00019744301248644498
100,0.2646188046733938,0.0005706996504576618,nan,nan
