# bc_label=BC3
# b_I=2*gamma*(2*T-I^2)
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=50 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 burnin=8000 measure=2000 seeds=2026291000;2026291001 samples=512 nonfinite_trajectories=0 discarded_trajectories=0 projection_count=2961403
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,2.9674258488646474,0.0019869716434463927,0.04893442610351758,0.00016983659436705411
2,2.913920670117959,0.0025274704739832008,0.038621190064613904,0.00019800660358724868
3,2.899151472797511,0.0027787282161302372,0.03516604039091322,0.0001934085795609413
4,2.8960907905295787,0.003198837643813136,0.03273071851438687,0.0001863684246185037
5,2.8950909489825216,0.003426745188089309,0.030549413139056965,0.00020013393743873497
6,2.8918450540068656,0.003674383171926573,0.02884460780911277,0.00021028055193682591
7,2.8895424515211556,0.0038138279613167737,0.026965373266032117,0.00021437340246631444
8,2.884729730405566,0.004095766372347434,0.02545783252474091,0.0002015252952744885
9,2.883818806500863,0.0043448523007530125,0.02370069859365958,0.00020904322240074613
10,2.887127032849653,0.00467871311074976,0.022399093866312315,0.00022188712189219798
11,2.879301538227652,0.0047511303208150136,0.02091730348761734,0.0002159201473892851
12,2.8740217713395606,0.004893547680397582,0.019753817642227417,0.00022087752939067677
13,2.868263401135236,0.0051471587805505155,0.019143387422292275,0.00022270326008881467
14,2.8597454308627763,0.005357028404830746,0.017651992879800394,0.00022118051788441533
15,2.852853499582352,0.005319361728030354,0.016521721839564935,0.0002182464549693848
16,2.841591693772015,0.005521200746959241,0.01601718879487602,0.00022069507983593913
17,2.8345201584369732,0.0055599840124243155,0.015268657954952556,0.00020958381611325364
18,2.8186437799817075,0.0057595598164359215,0.014366818518717711,0.00022363002963141063
19,2.804820798605294,0.005950612746751233,0.013563566324308319,0.00021592450854143597
20,2.7915153062806026,0.005855739498762602,0.013201866033624178,0.00022166783456042716
21,2.7744631871180534,0.006041872244525822,0.012784278485688588,0.00022750591374601695
22,2.7551627860890133,0.006077163724009864,0.012099763299620349,0.00022939643516775877
23,2.731108085669443,0.006129249740695249,0.01140433415390461,0.00024039175228998083
24,2.7116617249015054,0.006204349785032188,0.01076093630505133,0.00023877178463089865
25,2.6896864620804295,0.006269803546026107,0.010333503165354047,0.0002391522849094857
26,2.6690273297096914,0.0061908983609031765,0.009883675666757064,0.0002435401755304657
27,2.645399539478137,0.006136232335225539,0.009908652885148542,0.00023882611860521105
28,2.6155400382210967,0.006159192586214487,0.009200446166506074,0.0002501655770950533
29,2.5887060408638938,0.006205655176456122,0.008850709547547679,0.00025366859887570215
30,2.5554497174713484,0.006203961093727986,0.008332793056434553,0.0002480558946985016
31,2.524179271073264,0.006158993128148468,0.0076477714087293015,0.0002501802835226476
32,2.495990652745502,0.006129151149131474,0.007290828613979691,0.00024274441376363182
33,2.4675177319164114,0.005937603825581474,0.006834151910732488,0.00024484603775157997
34,2.435317286333837,0.0058921836169387115,0.006272257667868424,0.00023811142663679
35,2.3986252844709415,0.005804478075047507,0.005351641664524544,0.00024251244999785187
36,2.363573316606931,0.005736471851966599,0.004587757922746955,0.0002314606074693843
37,2.328868171696537,0.005666278220981916,0.004056698821844718,0.00024085505125769627
38,2.290557722331153,0.005415522554627208,0.0036599030470387817,0.0002580057864875518
39,2.2527584463723063,0.0054563071761858555,0.0027947219018856534,0.0002506423317227004
40,2.218465375555162,0.005302260679590227,0.0018356318218159151,0.00026070807515486894
41,2.1760520521378135,0.005028153989454501,0.0003472089499041689,0.00025352622881375696
42,2.1314076157002266,0.00467136812648959,-0.0010778506815048035,0.0002614470240251768
43,2.087526547833246,0.004534441531539715,-0.002478148457977353,0.00025875065207994535
44,2.0447104735931276,0.004220331142650876,-0.004161627466891839,0.000262511593491211
45,1.9964893783342967,0.003983896417177226,-0.005692724065097095,0.00025632058772337234
46,1.95219244673275,0.0036827687874590874,-0.007908810835626383,0.00025035244174961087
47,1.9076841362287313,0.003464233802106558,-0.010785336475240742,0.00024326313475410655
48,1.85742472958937,0.003051550787938781,-0.013947374104475385,0.0002574949221570068
49,1.8021218285429699,0.0026283735301991834,-0.02461594455630612,0.00023229952992649813
50,1.7123787290467563,0.0017377648623314642,nan,nan
