# bc_label=BC3b
# b_I=2*gamma*(2*T-I^2)
# b_phi=gamma*P
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=100 T1=4 Tn=6 gamma=0.1 dt_max=0.0005 burnin=32000 measure=2000 seeds=2026401500;2026401501 samples=512 nonfinite_trajectories=0 discarded_trajectories=0 projection_count=10580352
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,2.001810566838975,0.0017153020425238717,0.044449276771212534,0.000197761568982712
2,2.2185352868182737,0.0029288516233210806,0.028006512119625994,0.00022737783097623857
3,2.083637232025351,0.0030172884180111556,0.019521585373901904,0.00025566252792119193
4,2.0373909140566315,0.003095016739980765,0.01665261278123032,0.00023469853203117767
5,2.025224486123527,0.0033662873025423106,0.014617265438750082,0.00024875539215064586
6,2.0235297987839402,0.003495606146257347,0.012452020019263111,0.00027027783567546543
7,2.0265696695757,0.0036219002445219413,0.01110538306928302,0.0002532185733898919
8,2.035256312475222,0.003925623116018142,0.010054496374739591,0.00026525591319165364
9,2.0475349728522074,0.004250565034054338,0.009097309427853612,0.00025059320069724487
10,2.059360965086384,0.0045327779748577076,0.008240951560450762,0.00027095363194434396
11,2.0702705153943843,0.004652332136657814,0.007246166162099556,0.0002644566444557716
12,2.0795929087601017,0.004863682911754017,0.006232431374722105,0.0002663225675347166
13,2.0918996320332246,0.005080880827990139,0.006314826054144394,0.00027485373033429817
14,2.1058083368397122,0.0051815852904696915,0.00485516200428808,0.0002637475802919285
15,2.1170079330717537,0.005479657628326607,0.004445171639675758,0.00027709070297489235
16,2.129625230001201,0.005446235919494811,0.0037442969178109386,0.00026427786554653315
17,2.142184650090494,0.0056131778195718995,0.0035477707311729074,0.0002658776446145553
18,2.1539742404009905,0.005908097548387519,0.002485178839575444,0.00027479690028951194
19,2.1637998707732757,0.006139774263140086,0.0018233737215906298,0.00027123718597346706
20,2.1751443287048438,0.006212882571267784,0.001968581782118861,0.00027800229962361293
