trajectory_id,j,mean_I,mean_sin_theta
0,1,1.6181378422978117,-0.19096299367716532
0,2,1.3921527391718016,0.28999458696374908
0,3,1.2580276477164114,
1,1,1.6132793970949646,0.1352326878588605
1,2,1.4473749234218416,-0.26030281397515442
1,3,1.304779695843826,
2,1,1.6473956054682322,0.3541881327092023
2,2,1.429103221158631,0.22275282114760683
2,3,1.4121528502640244,
3,1,1.0285788998017784,0.15202842058786217
3,2,1.4170963767843834,-0.014158530149196095
3,3,1.5931301898487391,
4,1,1.4845228512701503,0.15050166877601076
4,2,1.4128400111926382,0.035503861645701781
4,3,1.4973551354683192,
5,1,1.8060407763087718,-0.076971113493233143
5,2,1.4053759554980831,-0.06736778974255507
5,3,1.3383804394579595,
6,1,1.3632103180694128,0.033811498168281766
6,2,1.4255691485631026,-0.20338700747483174
6,3,1.5920104647106095,
7,1,1.8247977377938751,-0.24875638650172868
7,2,1.3812727439939643,0.059854724325485782
7,3,1.3487768573734731,
8,1,0.70330329365296118,0.411536624976787
8,2,1.4202762795827639,0.074558105330473592
8,3,1.048878109141093,
9,1,1.1659811337454369,0.062625167320803116
9,2,1.4082673502393854,0.079132941989381769
9,3,1.1656181511647914,
10,1,1.088521126583589,-0.12701127231317341
10,2,1.3781711959866192,0.3563306856203064
10,3,0.96220937617075286,
11,1,1.370759417425307,-0.081378752596098503
11,2,1.4027260851463956,0.22257704751993046
11,3,1.0042984228753629,
12,1,1.1746483552573095,0.015018335889675622
12,2,1.4245194930894325,-0.25849995769621298
12,3,1.2424231316858403,
13,1,1.6835802867406584,0.099388003246743684
13,2,1.410001947995025,0.3384608371996935
13,3,1.2330264027715871,
14,1,2.0844325376358075,0.036578508802903649
14,2,1.4040576411634422,-0.014522544582324886
14,3,1.0865115488716404,
15,1,2.0854667173378432,-0.070481920302292042
15,2,1.4466724011957242,-0.35642688380664322
15,3,1.5014796035641125,
