j,controlled_mean_I,controlled_se_mean_I,simd_mean_I,simd_se_mean_I,difference
1,0.4948508735625569,0.0003985597071358626,0.4977233816581878,0.000385702750436162,-0.002872508095630888
2,0.49745113534076496,0.0006887045846800065,0.49390791512413335,0.0006766457836519363,0.003543220216631615
3,0.49628883351209124,0.000662097692986083,0.4936960905478983,0.0007710487076228032,0.002592742964192929
4,0.4963723567662731,0.0007082273674137998,0.49370980686319654,0.0008012699813228855,0.002662549903076572
5,0.4965547553074969,0.000694966135302487,0.4941812037588102,0.000784705545461598,0.002373551548686681
6,0.49703396561055213,0.0007347849740953385,0.49354536524024833,0.0007698500170678393,0.003488600370303796
7,0.49591041150699783,0.0007234524659172043,0.4945589546797762,0.0007914122571172496,0.0013514568272216532
8,0.49675665460517504,0.0007393026071710454,0.49394019365358227,0.0007861446023793294,0.0028164609515927697
9,0.49746057003110083,0.0007712846266291948,0.49459325293631007,0.0007456147704277927,0.0028673170947907667
10,0.49798616651650746,0.0007722386902351121,0.49377503480420176,0.0007790222028121122,0.0042111317123056935
11,0.49735588082824206,0.0007676631472206099,0.49457426413405836,0.0008030531262584777,0.0027816166941836973
12,0.4969600799482317,0.0007518409234695673,0.49485826229632923,0.0008428781292697542,0.0021018176519024823
13,0.49681537126725317,0.000769919012443134,0.4942713075180065,0.0008331124965801086,0.00254406374924665
14,0.4971498645858249,0.0007623122425274436,0.49418633894155223,0.0007588706339776013,0.0029635256442726576
15,0.49702386124229725,0.0007885794191832507,0.4933028969778803,0.0008046617854204573,0.003720964264416926
16,0.49616414046569646,0.0007785761394036166,0.4937351412685479,0.0008436692355410657,0.0024289991971485625
17,0.49714979762141026,0.0007682229197528716,0.49446693136943387,0.0007944660219639004,0.00268286625197639
18,0.49682357797269083,0.0007416470570845442,0.4949406265250678,0.0007891974663490189,0.0018829514476230158
19,0.4979273768511961,0.0007137044950197873,0.49527902435040727,0.000769403130954488,0.00264835250078882
20,0.4967078637193395,0.0007275659012511318,0.4954214572180774,0.000765068929579085,0.001286406501262105
21,0.4969483399429219,0.0007386839819108924,0.49540764048014385,0.0007771037906944619,0.0015406994627780723
22,0.4964559741179188,0.0006960385843626238,0.4953590052218478,0.0007079799700075611,0.0010969688960710267
23,0.4960985978796669,0.0006907129200431001,0.4947557825050738,0.0007236268709146767,0.0013428153745931315
24,0.49636967251573333,0.0006857633434181473,0.49494902480699715,0.000683412755967136,0.001420647708736178
25,0.49447716966399385,0.00037781606543324254,0.49761523829737625,0.0003838057114146865,-0.003138068633382396
