# bc_label=BC1
# b_I=2*gamma*(2*T-F)
# b_phi=gamma*P
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=25 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 burnin=2000 measure=2000 seeds=2026090750;2026090751 samples=512 nonfinite_trajectories=0 discarded_trajectories=0 projection_count=7879211
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,0.7372700269467471,0.0005985162473502014,0.018112470713952104,0.00019413238291197753
2,0.6838836791739883,0.0008077735446435393,0.023279377323428926,0.00038861691580344935
3,0.6787848428074854,0.0008498265186145625,0.025555949375838473,0.00041127044237244427
4,0.6704025935787405,0.0008901063791895203,0.02621125626735141,0.0004173626128612941
5,0.6599138212992156,0.000872811639204177,0.026741326945695792,0.00042709648766740626
6,0.651031108712649,0.0008479473248410898,0.027488272893717726,0.0003987475906799473
7,0.638413171539437,0.0008525453082560846,0.02782051436877002,0.0004226974247073672
8,0.6287680561540361,0.0009285581885518568,0.029159649195449902,0.0004294852337684987
9,0.6171817069126775,0.0009524293602913183,0.029299562909102784,0.00042628004009036377
10,0.6044248152922624,0.0010098647933436905,0.03013138415284039,0.0004581072498375342
11,0.5926390858398242,0.0010478247931485435,0.03076433707195901,0.0004411776932676173
12,0.5824084736948394,0.0010802557444299144,0.031253845460954305,0.00044060807183172676
13,0.5707564147245776,0.0010631832148761857,0.032276717380030906,0.00047379292511405004
14,0.5578198400883532,0.0011003057106349287,0.03333517391220063,0.0004470665302744163
15,0.5432442530119961,0.0011081206237327527,0.03392537834811046,0.00047271784548842487
16,0.5278094978139011,0.0010542773306287962,0.034736288894294615,0.0004603424099445371
17,0.5135660406617295,0.0010568605247842555,0.036136956706879636,0.0004855031631862138
18,0.49801703806318676,0.0010619762867267774,0.03574266544559653,0.0005034058570224782
19,0.4827074000354321,0.0010761297314933846,0.03680209921181588,0.00047995410904231103
20,0.46648326465948986,0.001042461502592618,0.03763627540937463,0.0005317114456318668
21,0.45013358526353703,0.0009979802376422697,0.03729809351716701,0.0005022940833408202
22,0.4330342499620237,0.0009786905768659957,0.03825356988277718,0.0004979605078833946
23,0.4156547463368484,0.0009217350411458612,0.03009521950156304,0.0004910092595991403
24,0.3935373325025122,0.0007594207531918924,0.07246644167805139,0.0002986757508870988
25,0.16529411384508366,0.00016795799597525837,nan,nan
