# bc_label=BC2
# b_I=2*gamma*(2*T-F)
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=25 T1=4 Tn=6 gamma=0.1 dt_max=0.0005 burnin=2000 measure=2000 seeds=2026200750;2026200751 samples=512 nonfinite_trajectories=0 discarded_trajectories=0 projection_count=6616632
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,0.3650804562195037,0.00031982918289472296,-0.012837957891863993,0.0002757482989688742
2,0.3986709913272124,0.0006128027304289285,-0.010804320994030073,0.000555516742434176
3,0.40216932212343676,0.0006170401584492034,-0.011559967063527382,0.0004995504657006044
4,0.41026429302519213,0.0006892284310164384,-0.01217664253764228,0.0004855511656247878
5,0.4153147662359129,0.0006860939033322106,-0.01225400229777541,0.0005289949425252326
6,0.42176383020368313,0.000724278001890697,-0.011795002827240025,0.0004864393719031918
7,0.42665826232739235,0.0007215720306213322,-0.012863915666830459,0.000526445542913782
8,0.43225542416206614,0.000743466825215574,-0.012958109421471705,0.0005133374754940597
9,0.4377456986318481,0.0007452532673691778,-0.01193275236052301,0.0005040378993027654
10,0.4434034199348291,0.0007828171120806603,-0.012187447670164614,0.0005142336615032666
11,0.4484433728716895,0.0007949869681829439,-0.012830694008748526,0.0005205277110335176
12,0.4539451967923663,0.0007909571838000207,-0.01334538761371313,0.0005049948704444255
13,0.4584874891423337,0.0007985526138449952,-0.013229382376464902,0.000518127915436868
14,0.46360139120403865,0.0008020669422300604,-0.013732022478295303,0.0004953004681230099
15,0.4684882886224916,0.0008008855387106141,-0.014178572573349289,0.000474780272865782
16,0.4742740319924787,0.0008063430242403062,-0.013640624047947868,0.0004996917534319114
17,0.47903225153086826,0.0007889391523545097,-0.013756104615536936,0.0005074412436700185
18,0.48361111358695064,0.0007876165681346271,-0.014509560450526792,0.00047383954477162857
19,0.4869727163912443,0.0007503227956598412,-0.01389675183431037,0.0004965085846621977
20,0.49237499605090684,0.0007296141409143521,-0.01318317470620305,0.0004867454894486802
21,0.4966394984836017,0.0007344268835093819,-0.013472603078082599,0.0004661985167689315
22,0.4997835876636386,0.0007601036956109572,-0.013979051239873986,0.0004937462436900323
23,0.5043824225036838,0.0007355973905699171,-0.012467069357619725,0.0004579063945158332
24,0.507609372610946,0.0007073430631266047,-0.009911347908024193,0.00023245568182939447
25,0.5332313930357081,0.00042602799608282624,nan,nan
