checkpoint_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
500,1,0.516199221028387,0.02292152440997848,-0.007667871759622358,0.032020306577319725
500,2,0.5302719077749316,0.024349493136352634,0.048054925105589064,0.03164709599232764
500,3,0.4914011988469156,0.022830151184150976,0.01724323800476668,0.030871856632757884
500,4,0.49979477279237017,0.020927856219627797,-0.03861118354870996,0.03101117339806982
500,5,0.4505583538751239,0.020969789568413062,-0.016600402116182522,0.03151941575510608
500,6,0.4713495649932611,0.02208410667387279,0.05009507184189488,0.03132019683533656
500,7,0.45910066345322775,0.020126898033411004,-0.01856931148381591,0.03072443332926023
500,8,0.4975506433984265,0.02130208753135236,-0.034065745877342124,0.03028649730301924
500,9,0.46355163032086466,0.024352502350060305,0.0028650076320957396,0.030489799934720396
500,10,0.47302829271188784,0.022884052854032458,-0.04003408683274756,0.030893505525013347
500,11,0.5125393494708703,0.02296247101528044,0.020188370569485414,0.03098787521861985
500,12,0.500734487997363,0.022549861672788676,-0.0654432010688879,0.030373461716654216
500,13,0.5523604386235093,0.02514033888030556,0.038698010394455196,0.030650741063785958
500,14,0.4787708816002123,0.022309756132083178,0.008915259696095745,0.03146354890051392
500,15,0.5071026373893801,0.02232028294544342,-0.014121374284755461,0.030979767535914256
500,16,0.4590715970856536,0.021230296363883246,-0.016666729835378646,0.03101670430592735
500,17,0.4695193974529559,0.020799367610542338,0.0025267221353715286,0.03146958255252755
500,18,0.51892574427319,0.022930547969959785,-0.051829623258527135,0.03166591448799718
500,19,0.49453141822387536,0.023639113115404294,-0.03968647710894402,0.03030923107368806
500,20,0.4999149764576032,0.02190606146975677,-0.06427286174448454,0.030493233848706724
500,21,0.514516694328222,0.02191086871790892,-0.021036523412476527,0.031013969892805675
500,22,0.4726681924169611,0.020565771444235208,0.016278838840207754,0.031404345706013144
500,23,0.536183995727697,0.02364742368819095,-0.004356144013854646,0.03093311814860246
500,24,0.5037626970840847,0.02382272602136494,0.04962976990964307,0.031247069719024443
500,25,0.5183849228538975,0.022271513844644937,nan,nan
1000,1,0.4939198317788396,0.02209569314273288,-0.01302942162897125,0.030643308948511028
1000,2,0.48157039589995065,0.02095978477640916,-0.014439249584029312,0.03125365104662949
1000,3,0.49358456630761793,0.020492312815575876,0.005272316833725199,0.0311881979511232
1000,4,0.48578574507030226,0.020674462567230795,0.012528014101008011,0.031703400375492394
1000,5,0.4592894642282488,0.01949661952637095,0.017624949712626403,0.032130005558675206
1000,6,0.5048926472877611,0.022668826737237663,-0.009449804306939313,0.031163881075886093
1000,7,0.50830952052317,0.023940415642929477,0.021852661806406104,0.03158411534141232
1000,8,0.4954938286882111,0.022479232196933673,-0.003336257078899507,0.031643610359704914
1000,9,0.5272449173594964,0.024972986088735372,0.01881057512036932,0.031205240774852528
1000,10,0.5154385843811014,0.021205106306746938,0.017334263448674392,0.031531392816998384
1000,11,0.4693976019766808,0.021762080294899847,-0.003303243490790919,0.031835550576132444
1000,12,0.47479923527748724,0.022270531247961745,-0.012493228739003825,0.032004977271387146
1000,13,0.48669189982365424,0.021252302936311473,-0.008551963638183224,0.03147546103579424
1000,14,0.487285038316017,0.023044725609742252,0.013650192786371917,0.031230781312987885
1000,15,0.5063383633926151,0.0246427899738128,0.025004223241467116,0.03054557926671978
1000,16,0.49725623290402154,0.022881753960111533,0.019287381433059636,0.0308777886898197
1000,17,0.5319968559606991,0.024376727896516615,-0.04005380598755437,0.03148997932371403
1000,18,0.4919032713580691,0.02190293860583037,0.004376170132218249,0.03213646326866158
1000,19,0.5034409516490541,0.02144306963201769,0.09357626191717827,0.03128899676704664
1000,20,0.46234874991500874,0.020528806495062946,-0.026587131639644213,0.030911091674712763
1000,21,0.4603779614490122,0.022520024891604973,-0.045742743349592274,0.03063794381349786
1000,22,0.5222440034476676,0.023079484580711587,0.041104414871369954,0.03138285307377848
1000,23,0.48873897251633025,0.021938612062772155,-0.01642979820741175,0.031305834055786005
1000,24,0.5201907900086553,0.023405396234079258,-0.03408635325558862,0.030874402591190675
1000,25,0.48062490277220604,0.022628304821028455,nan,nan
1500,1,0.49303841575169827,0.022139845874827434,-0.06821828424813248,0.031195553290145166
1500,2,0.47621027361208235,0.021824551639325403,0.08872244772828708,0.03115866690237506
1500,3,0.4867595904213715,0.021386544688429605,-0.006447992574976524,0.031048925369519
1500,4,0.47356113294777913,0.02188500222184748,-0.051233125237104105,0.030454476227528234
1500,5,0.5255854005672518,0.024140057149060465,-0.05848987220207391,0.03137763163910533
1500,6,0.4730509307837565,0.02149718263879338,0.04220988458291686,0.031604223667583635
1500,7,0.46508489662289776,0.019894607187949876,-0.008583492031448259,0.0312330631562813
1500,8,0.5002216164064066,0.021779346909658177,-0.00613430202474774,0.030637518331479558
1500,9,0.46484443809174536,0.02142548555036,-0.047561469916445276,0.030657293634877732
1500,10,0.48706465179543557,0.020396074972185443,-0.0030822837944413095,0.03133052373236054
1500,11,0.49264311846388864,0.02138183431452606,0.07000631082519249,0.03075983805816237
1500,12,0.4606555238216288,0.02038249915003082,-0.03454755929988096,0.03095152751228713
1500,13,0.46697550512311636,0.02137534418949671,-0.011021491261089977,0.03164763722491694
1500,14,0.486849396881297,0.021924234643992815,-0.036676266749054776,0.03154404417998497
