# bc_id=0
# bc_label=BC1_canonical
# b_I=2*gamma*(2*T-(2*M*I-I^2+2*I*I_neighbor*cos(delta)))
# b_phi=gamma*(2*I_neighbor*sin(delta))
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=25 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026090750 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,0.73749040532794374,0.00083166462668408676,0.018275136652297425,0.00027400422179587447
2,0.68372556830064823,0.0010909739313138835,0.024070422134883741,0.00056323038398524048
3,0.67806910013339206,0.0011901731522498547,0.025971389686119315,0.00059007574802141089
4,0.66994543735975254,0.0012315023929942454,0.026507784132291906,0.00057585146548079546
5,0.65942339463691513,0.0012564229220502693,0.026220887338927766,0.00060945714037460386
6,0.65062620554564732,0.0012263442500249787,0.027269707015799293,0.00056495536142689374
7,0.63762140473915674,0.0011952297293323381,0.027707062399051945,0.00056150971824202268
8,0.6279837593261699,0.0012973309092292413,0.029091703495779896,0.00059559169580358372
9,0.61670640115343289,0.0013620922550908366,0.029604769714267291,0.00058443658017474497
10,0.60431458546015171,0.0014337564026944906,0.03102913324291056,0.00065181879881944091
11,0.59204449563137462,0.0014394540717176884,0.031168644490212071,0.00063127951520102344
12,0.58218039428008317,0.0015256052881568866,0.031170653411054693,0.00061837580738325194
13,0.57057569876318248,0.0015083900949606674,0.03141460681490215,0.00065313149924874905
14,0.55892837501952553,0.0015505431922251262,0.033465922657419489,0.00067318786619717638
15,0.54412404980795459,0.0015003014769383956,0.034134351172571263,0.00069691995066784387
16,0.52704711913097158,0.0014322981080374057,0.035196354682509222,0.00067977201217377591
17,0.51287190169608787,0.0014826257244758654,0.035590577114494898,0.00067899548367278178
18,0.49740546733555924,0.0014820108309481367,0.03533870128037208,0.00070225419356289014
19,0.48310577276611594,0.0015859053811646746,0.03744226543250908,0.00063052814146586506
20,0.46615167347976211,0.00147172175552023,0.038110411149760909,0.00074906264303890966
21,0.45104064357337698,0.0014015290413168287,0.03712581915808702,0.00069090584378608778
22,0.43322159964042584,0.0013801770713214576,0.03754153371076803,0.00071529279044478197
23,0.41500850887079715,0.0013225363762178787,0.029297776626047035,0.00069906713688351065
24,0.39324919881445569,0.001096558449448454,0.072328641801001653,0.00042787867573566976
25,0.1653222303163468,0.00022801091468650905,,
