# bc_id=1
# bc_label=BC2_no_phase_drift
# b_I=2*gamma*(2*T-(2*M*I-I^2+2*I*I_neighbor*cos(delta)))
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=25 T1=4 Tn=6 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026200751 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,0.36561582379790664,0.00043758596734067001,-0.012998497674043732,0.00038503370702555389
2,0.39872582718301158,0.00087379643866001817,-0.011799985234571464,0.00080805847473621535
3,0.40215016297090928,0.00087674978261932906,-0.012276097622242995,0.00071506978035546323
4,0.41022978336803667,0.00098086157925845866,-0.013156347802563995,0.00065913527714598654
5,0.41504328188680839,0.00098125142493231073,-0.012939837907764349,0.00074965039524694588
6,0.42047694008840647,0.0010459685824956602,-0.012305660212441547,0.00070066326666967118
7,0.42568087681842737,0.0010523378411955264,-0.013383218646517182,0.0007522789695387055
8,0.43067919366857327,0.0010554213523229611,-0.013735640064229546,0.00073566390308127513
9,0.43685840035233187,0.0010602978702745447,-0.012096326388878734,0.00075242834678806005
10,0.44206602225164487,0.001099791629702068,-0.012493871362153759,0.00072320844756005578
11,0.44705494517834971,0.0011000795556658099,-0.013713913622918463,0.00071711342486356394
12,0.45309685561222329,0.0010832544474189971,-0.013498790678369274,0.00072889896336756027
13,0.4587093719077836,0.0010944731609842016,-0.013714857384484592,0.00071119885739342201
14,0.46333281325709147,0.0010363322921981509,-0.014014833994363476,0.00069705185148131706
15,0.46744954962367324,0.0010546174570836414,-0.01468095410528489,0.00064466270782378694
16,0.47275614628333479,0.0010897623981317452,-0.014149523893242361,0.00067816362391404073
17,0.47762584603733638,0.0010581129524145447,-0.014651595546540669,0.00069121828720997917
18,0.48161420116955261,0.0010707317111346634,-0.014997366599004849,0.00062780879571202979
19,0.48700112055222694,0.0010254895198032975,-0.013128083049350986,0.00068922233890760898
20,0.49154148111078905,0.00094828698687405319,-0.012247245998190354,0.00067812123966020385
21,0.49512151400318255,0.00099479105137597408,-0.013254216930563608,0.00068895636651511731
22,0.49942039085288142,0.0010781213185747328,-0.014022369906360778,0.00069286433335797942
23,0.50394190811901762,0.0010263330563499901,-0.012280755042086257,0.0006312919038790523
24,0.50748675029328205,0.00093938543259046491,-0.0098477656561034785,0.00032169022669449235
25,0.53347536565785048,0.00058385278899739633,,
