# bc_id=3
# bc_label=BC3_no_global_no_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=25 T1=6 Tn=6 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026310750 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024033296
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,2.4858043459141181,0.0024194735270636784,0.037772279074608672,0.00026112799656923072
2,2.4180107587811013,0.0030867740148666175,0.026117874780655824,0.00029034933885314766
3,2.4123718544684039,0.003117571128212592,0.022453518150391011,0.0003029219751021725
4,2.4156684284184835,0.0032278343701657984,0.019741662185107409,0.00029595812673082497
5,2.4208925238262187,0.0036637722442842322,0.017408738164432256,0.00029830846899667619
6,2.4268057340572131,0.0036629988365837703,0.015043442384113254,0.00031955644429891231
7,2.4282553223690484,0.0035902220934001796,0.012280690236350212,0.00031014134316951261
8,2.435419483675842,0.0039174179959031909,0.0099549880967034141,0.00028625910480106856
9,2.441207353175646,0.0041146860860652446,0.0076303011242151659,0.00031114586216529199
10,2.445454717160688,0.0041343899899977709,0.0053685293578555676,0.00033271782482974883
11,2.4493308026135705,0.0041696236494653842,0.0033960691972543793,0.00033628616198408905
12,2.4487089596633496,0.0042702203125199317,0.0013006901800939486,0.0003168199222002306
13,2.4492634297542684,0.0041611675865946308,-0.0010578086213230585,0.00030197303949815369
14,2.4481741979755198,0.0038470483633559031,-0.0031989151920269092,0.00030207091051621238
15,2.4470802191638428,0.0037576056982096743,-0.0052629928807358534,0.00034334363465639679
16,2.4444606663974997,0.0035144526943376104,-0.0076736478976372983,0.00032627653528296467
17,2.4406881362316981,0.0036792258966681533,-0.0094830113348662922,0.00030158119612781102
18,2.4378677096138115,0.0037475576225421154,-0.012156659528512513,0.00030055528634012179
19,2.4307405067768157,0.0036241386532594091,-0.014895988836848818,0.00031481176841485504
20,2.4257562322885589,0.0037442311168167444,-0.017483295320171843,0.00028493239893466569
21,2.424424122829524,0.0033524228369046566,-0.01962765351249534,0.00032384121849971296
22,2.4171988898535708,0.0032250447122616072,-0.022645486051389042,0.00027855450828320185
23,2.4154087849537009,0.0031805871056809192,-0.026006201568863768,0.00028360793109091233
24,2.4236406538585822,0.0030864859694901539,-0.037692923781930184,0.00026828295750706268
25,2.4894908766891595,0.0024914567960636325,,
