# bc_id=2
# bc_label=BC3b_no_global_with_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=gamma*(2*I_neighbor*sin(delta))
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=25 T1=4 Tn=6 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026400750 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024020592
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,2.1064374955529068,0.00253299961743365,0.038196668594172312,0.00027715471246574563
2,2.3498626518280004,0.0043613628349627107,0.021634103972446091,0.00031913488644642467
3,2.1960635318182904,0.0041323866113811549,0.012377820631800237,0.00033114629413035006
4,2.1584952099981782,0.0038356008743406582,0.0086750883940473131,0.00032111439679913647
5,2.1484468622338095,0.0040288532539911794,0.0064752515825462183,0.00033211588339857555
6,2.1502056881569391,0.0045415727558522486,0.0037160338209657998,0.00035066678146302241
7,2.1576446944176708,0.0046290704738446709,0.0028959759601566069,0.00033444714995981315
8,2.1638672880927805,0.0047334123436524886,0.00071446786142504641,0.00034553317363402673
9,2.1691512104436885,0.0048448165315904176,-0.00088211562107786583,0.00032363157581247762
10,2.1780075444598839,0.0050524443391754999,-0.0021080793676094963,0.00033312341237989678
11,2.1918958737397198,0.0048601681013804108,-0.003845036663877283,0.00034330795947787139
12,2.2052560663774869,0.004749779128639409,-0.0052813993584063844,0.0003120830743121542
13,2.2113179165762564,0.0047996372244365603,-0.0065780059378098121,0.00033416535450531208
14,2.2175689285342233,0.0047997196293446936,-0.0077981145324738585,0.00035489568600079961
15,2.2311783662656168,0.0050072577673894161,-0.0088078805327062703,0.00035744570785256456
16,2.2398432702002298,0.0048724573055518704,-0.010201080894161938,0.00034115298939573104
17,2.246308436562368,0.0044000871396446851,-0.012120934298307009,0.00034573427423863619
18,2.2525581437906124,0.0042034574186850396,-0.01350877014158984,0.00031001606630768626
19,2.2643794171610661,0.0044138514758524294,-0.014337473185098631,0.00031373711157372776
20,2.2779410990513957,0.0042656653898107888,-0.016814219880401066,0.00031974490351902366
21,2.2970965454222374,0.0041082487708666363,-0.019425704813848397,0.00032389921938979886
22,2.322638404633822,0.0038917906798994584,-0.023114929192637929,0.0003101243471957092
23,2.3802875104925834,0.0040878762339588946,-0.031149978901488708,0.00030013657201649331
24,2.550264932660498,0.0040515942213514853,-0.047522346901033873,0.00026866625689078846
25,2.3568228546150896,0.002448832699020873,,
