# bc_id=2
# bc_label=BC3b_no_global_with_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=gamma*(2*I_neighbor*sin(delta))
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=4 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=0.02 measure=0.04 seed=2026090502 requested_trajectories=16 valid_trajectories=16 discarded_trajectories=0 integration_step_samples=1296
checkpoint_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
0.01,1,1.2904833557084205,0.10614096679100678,0.07050886483975774,0.089464171557320657
0.01,2,0.10045815852936357,0.00067900100183830873,-0.098070300673134617,0.0059252474707346863
0.01,3,0.099922666070051472,7.1716034399188307e-05,-0.0091475969908060561,0.098386360808594767
0.01,4,0.1233778857451398,0.014489812816318738,,
0.02,1,1.3281620041001587,0.12583701121268717,0.13170115726125006,0.095550439221242955
0.02,2,0.1010535130277276,0.0008767752807117802,-0.12000891547650101,0.0081581731129875719
0.02,3,0.099886030703783033,9.3287836360170468e-05,-0.012933121435526114,0.11120911833462664
0.02,4,0.11730131145013729,0.014562313129914101,,
0.029999999999999999,1,1.345916869305074,0.13853569553739145,0.18182455491108462,0.10081962664186055
0.029999999999999999,2,0.10194388538754233,0.0011278407601738715,-0.14126908658072354,0.010490476952567992
0.029999999999999999,3,0.099854465837900835,0.00011350657609084723,-0.023114094415601982,0.11264866699899763
0.029999999999999999,4,0.11245713479875122,0.014230782496507475,,
0.040000000000000001,1,1.3753993130987507,0.15361880775566736,0.21939699388472039,0.10390396513937888
0.040000000000000001,2,0.10306065975455567,0.0014268473536330868,-0.16186189178260976,0.012811598397241705
0.040000000000000001,3,0.099817950883880263,0.00013197444780080437,-0.02188731051355718,0.1105641858563744
0.040000000000000001,4,0.10831222977299147,0.013907458379912439,,
