# bc_id=3
# bc_label=BC3_no_global_no_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=4 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=0.02 measure=0.04 seed=2026090503 requested_trajectories=16 valid_trajectories=16 discarded_trajectories=0 integration_step_samples=1296
checkpoint_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
0.01,1,1.18643051199615,0.10765253056581305,0.14956650648309733,0.097482250758152492
0.01,2,0.10128420146647842,0.00072158888914639605,-0.093945583840832125,0.0050775269077423229
0.01,3,0.10010684258304536,9.2890416484727551e-05,-0.14655445576245257,0.11929625143839573
0.01,4,0.12853202266851441,0.020729625871343423,,
0.02,1,1.1859847726300361,0.10671718307772256,0.17811185779482916,0.095808489852799994
0.02,2,0.10186345137190074,0.00099407264680581153,-0.11243453851202505,0.0070195494677497451
0.02,3,0.10014447838766499,0.00012938119383832918,-0.16363910672644122,0.11561233753945112
0.02,4,0.13510863064730075,0.022646152811028879,,
0.029999999999999999,1,1.1814644459945458,0.10444576939610882,0.19223559666606888,0.10057183270231838
0.029999999999999999,2,0.10244546738297988,0.0012672030670027588,-0.13032613492881254,0.0088227975726863327
0.029999999999999999,3,0.10020256277639419,0.00017248323281011981,-0.19267520735241606,0.11377917772909675
0.029999999999999999,4,0.13654694491803332,0.022410266598161303,,
0.040000000000000001,1,1.1725878044031561,0.10449640039121276,0.21396770244064106,0.10728698389994197
0.040000000000000001,2,0.10312216618331148,0.0015713162130703549,-0.14681715347687718,0.010494735994288792
0.040000000000000001,3,0.10026813973672689,0.00021376671606782271,-0.21467590797910813,0.11144898626693223
0.040000000000000001,4,0.1336616069675074,0.022061501054871792,,
