bin_left,bin_right,bin_center,forward_count,reverse_mirror_count,log_probability_ratio,standard_error,accepted
-3.449227341143266,-3.3629966576146844,-3.4061119993789752,0,32,nan,nan,0
-3.3629966576146844,-3.2767659740861026,-3.3198813158503935,2,25,-2.5257286443082556,0.7348469228349535,0
-3.2767659740861026,-3.1905352905575213,-3.2336506323218117,1,44,-3.784189633918261,1.0112997936948631,0
-3.1905352905575213,-3.1043046070289395,-3.1474199487932304,1,35,-3.5553480614894135,1.01418510567422,0
-3.1043046070289395,-3.0180739235003577,-3.0611892652646486,2,36,-2.8903717578961645,0.7264831572567789,0
-3.0180739235003577,-2.9318432399717764,-2.9749585817360673,1,30,-3.401197381662155,1.0165300454651272,0
-2.9318432399717764,-2.8456125564431947,-2.8887278982074855,5,51,-2.322387720290225,0.4686233489032049,0
-2.8456125564431947,-2.759381872914613,-2.802497214678904,6,47,-2.0583881324820035,0.43352423509112786,0
-2.759381872914613,-2.673151189386031,-2.716266531150322,5,51,-2.322387720290225,0.4686233489032049,0
-2.673151189386031,-2.5869205058574494,-2.6300358476217403,6,75,-2.5257286443082556,0.4242640687119285,0
-2.5869205058574494,-2.500689822328868,-2.5438051640931585,4,57,-2.6567569067146595,0.5172464206247568,0
-2.500689822328868,-2.4144591388002863,-2.457574480564577,6,73,-2.498699971920336,0.4246943569246629,0
-2.4144591388002863,-2.3282284552717045,-2.3713437970359954,7,76,-2.384823191231018,0.3949873891581666,0
-2.3282284552717045,-2.241997771743123,-2.285113113507414,6,88,-2.6855773452501515,0.42193637320134303,0
-2.241997771743123,-2.1557670882145414,-2.1988824299788323,9,113,-2.530163241376121,0.3463533869232911,0
-2.1557670882145414,-2.0695364046859597,-2.1126517464502506,10,131,-2.5726122302071057,0.32807558242920115,0
-2.0695364046859597,-1.983305721157378,-2.026421062921669,17,126,-2.003068562895262,0.2583796380295333,0
-1.983305721157378,-1.8970750376287964,-1.940190379393087,17,175,-2.331572629867298,0.2540429395319823,0
-1.8970750376287964,-1.8108443541002148,-1.8539596958645057,26,150,-1.7525387560747738,0.21243400181751773,0
-1.8108443541002148,-1.724613670571633,-1.767729012335924,28,202,-1.976063187226001,0.20165510349056545,0
-1.724613670571633,-1.6383829870430513,-1.6814983288073422,50,252,-1.6174060820832774,0.15481684006675103,1
-1.6383829870430513,-1.5521523035144698,-1.5952676452787604,74,294,-1.379514674134512,0.13005719533240442,1
-1.5521523035144698,-1.4659216199858882,-1.509036961750179,95,443,-1.539692878444595,0.11306481385731286,1
-1.4659216199858882,-1.3796909364573064,-1.4228062782215973,144,520,-1.2840155119994723,0.09416751758181463,1
-1.3796909364573064,-1.2934602529287247,-1.3365755946930156,216,640,-1.0861897686695527,0.07869008596786274,1
-1.2934602529287247,-1.207229569400143,-1.2503449111644338,287,911,-1.1550606815003372,0.06769058574370249,1
-1.207229569400143,-1.1209988858715616,-1.1641142276358523,381,1262,-1.1976536679744574,0.058455666474276566,1
-1.1209988858715616,-1.0347682023429798,-1.0778835441072707,593,1569,-0.9729993537353071,0.04820466025717731,1
-1.0347682023429798,-0.9485375188143981,-0.991652860578689,851,2155,-0.929133873964474,0.04048611187283497,1
-0.9485375188143981,-0.8623068352858168,-0.9054221770501074,1198,2843,-0.8642063329756051,0.03444511082052516,1
-0.8623068352858168,-0.776076151757235,-0.8191914935215259,1686,3810,-0.815270329558946,0.029250418831235744,1
-0.776076151757235,-0.6898454682286532,-0.7329608099929441,2325,4828,-0.7307122641959655,0.025243467084461124,1
-0.6898454682286532,-0.6036147847000715,-0.6467301264643623,3190,6258,-0.6738397284499371,0.021754886477142004,1
-0.6036147847000715,-0.5173841011714897,-0.5604994429357806,4372,7896,-0.5911357318168884,0.018851383876427232,1
-0.5173841011714897,-0.4311534176429084,-0.47426875940719904,5991,9608,-0.4723377416758946,0.01646198577386259,1
-0.4311534176429084,-0.3449227341143266,-0.3880380758786175,7857,11583,-0.3881336517565244,0.014615350185032907,1
-0.3449227341143266,-0.25869205058574485,-0.30180739235003573,9817,13298,-0.3034980712698789,0.013306516875569815,1
-0.25869205058574485,-0.17246136705716353,-0.2155767088214542,12401,15158,-0.200751330869202,0.012108279079113582,1
-0.17246136705716353,-0.08623068352858176,-0.12934602529287265,14263,16268,-0.13153121650369276,0.011470913151526698,1
-0.08623068352858176,0.0,-0.04311534176429088,15900,16425,-0.032485455144488425,0.011125460995834478,1
0.0,0.08623068352858176,0.04311534176429088,16772,15933,0.05131839920014442,0.011062820652926074,1
0.08623068352858176,0.17246136705716353,0.12934602529287265,16241,14531,0.11125461085390692,0.011418885739823978,1
0.17246136705716353,0.25869205058574485,0.2155767088214542,14927,11951,0.22235669676635866,0.012274677351016837,1
0.25869205058574485,0.3449227341143266,0.30180739235003573,13261,9801,0.3023429754084192,0.01332064185381039,1
0.3449227341143266,0.4311534176429084,0.3880380758786175,11560,7786,0.39522361405596734,0.014660860958650969,1
0.4311534176429084,0.5173841011714897,0.47426875940719904,9584,5991,0.46983669827130564,0.016469900116354668,1
0.5173841011714897,0.6036147847000715,0.5604994429357806,7796,4495,0.5506451137217309,0.018728062329405357,1
0.6036147847000715,0.6898454682286532,0.6467301264643623,6173,3341,0.6139147800371393,0.021478067219090853,1
0.6898454682286532,0.776076151757235,0.7329608099929441,4874,2389,0.7130400868593418,0.02497509706540433,1
0.776076151757235,0.8623068352858168,0.8191914935215259,3669,1638,0.8064431599422673,0.029716231926035192,1
0.8623068352858168,0.9485375188143985,0.9054221770501076,2934,1206,0.8890575814157964,0.03420554086002388,1
0.9485375188143985,1.0347682023429803,0.9916528605786894,2113,811,0.9575959635006438,0.04130746166699766,1
1.0347682023429803,1.1209988858715612,1.0778835441072707,1607,577,1.024282099229413,0.04853225513834986,1
