case,replicate,reference_mode,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
driven_dt1e-3,0,0,-0.9003294425796398,0.0,1,0.004822216074922725,0.6390621210734716,0.0,-0.895507226504717,0.0,517,2.509104035652854e-13
driven_dt1e-3,0,1,-1.7219560332019352,0.0,1,0.018311501449694623,0.4188955109673791,0.0,-1.7402675346516299,0.0,517,2.509104035652854e-13
driven_dt1e-3,0,2,-1.9826109179025015,0.0,1,0.08634370319925355,0.3554121025394468,0.0,-2.068954621101755,0.0,517,2.509104035652854e-13
driven_dt1e-3,0,3,-2.4330203253846303,0.19025723976725073,1,0.2613075802583615,0.27088254453972194,0.0,-2.6121399340728666,0.0,517,2.509104035652854e-13
driven_dt1e-3,0,4,-2.6464198717560925,3.045678744368468,1,0.22258548385745988,0.023707612390569188,0.23997188618550114,-2.844754214690116,2.9446451557110875,517,2.509104035652854e-13
driven_dt1e-3,0,5,-2.9498543094339507,5.367773635409873,1,0.37620301352648167,-0.19024079834771185,0.06370145892883332,-3.2126592571870747,5.63696179789642,517,2.509104035652854e-13
driven_dt1e-3,0,6,-2.9778280760975364,0.0,1,0.151261454533242,0.21393143336963097,0.011829359036836256,-3.0811465574384256,0.11047768571491881,517,2.509104035652854e-13
driven_dt1e-3,1,0,-0.9003294425796398,0.0,1,0.005094079169405075,0.6391489956807385,0.0,-0.8952353634102347,0.0,517,2.112754415861673e-13
driven_dt1e-3,1,1,-1.7219560332019352,0.0,1,0.14876971270185949,0.3924556308916319,0.0008770781037942496,-1.8706585864009755,0.004469685613151749,517,2.112754415861673e-13
driven_dt1e-3,1,2,-1.9826109179025015,0.0,1,0.11204152184841117,0.3924556308916319,0.0008770781037942496,-1.8706585864009755,0.004469685613151749,517,2.112754415861673e-13
driven_dt1e-3,1,3,-2.4330203253846303,0.19025723976725073,1,0.23176837681312043,0.31653200201821613,0.0,-2.300661860575101,0.0,517,2.112754415861673e-13
driven_dt1e-3,1,4,-2.6464198717560925,3.045678744368468,1,0.36267343695061915,0.0400836506822433,0.22994798314065404,-2.9098707006238107,2.7964285033686105,517,2.112754415861673e-13
driven_dt1e-3,1,5,-2.9498543094339507,5.367773635409873,1,0.32356264848144356,-0.18580509826479222,0.1324984278468681,-2.9549864178090672,5.044251690318118,517,2.112754415861673e-13
driven_dt1e-3,1,6,-2.9778280760975364,0.0,1,0.26745530183426813,0.20678498540888157,0.02200106098731022,-3.1408950058471823,0.2119941388370998,517,2.112754415861673e-13
driven_dt1e-3,2,0,-0.9003294425796398,0.0,1,0.0038086010704275752,0.6387383216550273,0.0,-0.8965208415092122,0.0,517,3.921307722976053e-13
driven_dt1e-3,2,1,-1.7219560332019352,0.0,1,0.059310766567123974,0.41039572580518335,0.0,-1.7812667997690592,0.0,517,3.921307722976053e-13
driven_dt1e-3,2,2,-1.9826109179025015,0.0,1,0.20134411813344233,0.41039572580518335,0.0,-1.7812667997690592,0.0,517,3.921307722976053e-13
driven_dt1e-3,2,3,-2.4330203253846303,0.19025723976725073,1,0.2277950922564727,0.2782749599532695,0.0,-2.558291179026975,0.0,517,3.921307722976053e-13
driven_dt1e-3,2,4,-2.6464198717560925,3.045678744368468,1,0.30538942269009156,0.025429740777264266,0.23020447111661066,-2.9254458612743406,2.921553015108375,517,3.921307722976053e-13
driven_dt1e-3,2,5,-2.9498543094339507,5.367773635409873,1,0.4427102076693547,-0.16545948933104443,0.12867639253500754,-3.1250563782566383,4.961206835172946,517,3.921307722976053e-13
driven_dt1e-3,2,6,-2.9778280760975364,0.0,1,0.3421755510932941,0.19169456282348188,0.010939003252863856,-3.3004528888410603,0.1140058681305735,517,3.921307722976053e-13
driven_dt1e-3,3,0,-0.9003294425796398,0.0,1,0.009529888943526355,0.6405681405442396,0.0,-0.8907995536361134,0.0,516,1.7918999617450027e-13
driven_dt1e-3,3,1,-1.7219560332019352,0.0,1,0.009053832026521658,0.4246665099351521,0.0,-1.7129022011754136,0.0,516,1.7918999617450027e-13
driven_dt1e-3,3,2,-1.9826109179025015,0.0,1,0.013928787445308233,0.36851647772754825,0.0,-1.9965397053478098,0.0,516,1.7918999617450027e-13
driven_dt1e-3,3,3,-2.4330203253846303,0.19025723976725073,1,0.2269862022267148,0.2784805416217681,0.0,-2.556814181118483,0.0,516,1.7918999617450027e-13
driven_dt1e-3,3,4,-2.6464198717560925,3.045678744368468,1,0.4405372984206044,-0.03514968479632444,0.3071707240686141,-2.3476938242667,3.369462406481135,516,1.7918999617450027e-13
driven_dt1e-3,3,5,-2.9498543094339507,5.367773635409873,1,0.1523215467214743,-0.1966562637104376,0.08656201504392771,-3.0754972022030493,5.453888193367486,516,1.7918999617450027e-13
driven_dt1e-3,3,6,-2.9778280760975364,0.0,1,0.3770389795207487,0.18685291399359674,0.0,-3.354867055618285,0.0,516,1.7918999617450027e-13
driven_dt1e-3,4,0,-0.9003294425796398,0.0,1,0.010232221139004127,0.640793125859786,0.0,-0.8900972214406356,0.0,516,5.613287612504791e-13
driven_dt1e-3,4,1,-1.7219560332019352,0.0,1,0.008990978346357759,0.42465316421836413,0.0,-1.7129650548555775,0.0,516,5.613287612504791e-13
driven_dt1e-3,4,2,-1.9826109179025015,0.0,1,0.14287196340843766,0.34550732299120035,0.0,-2.125482881310939,0.0,516,5.613287612504791e-13
driven_dt1e-3,4,3,-2.4330203253846303,0.19025723976725073,1,0.21050352136456235,0.2832150433207451,0.0,-2.5230975990058253,0.0,516,5.613287612504791e-13
driven_dt1e-3,4,4,-2.6464198717560925,3.045678744368468,1,0.0637013870795713,0.01091877461654829,0.2578301188123178,-2.709116922758994,3.056945798615295,516,5.613287612504791e-13
driven_dt1e-3,4,5,-2.9498543094339507,5.367773635409873,1,0.3525519383207434,-0.2354791009212755,0.07222270171244546,-2.802363205631037,5.687991129486495,516,5.613287612504791e-13
driven_dt1e-3,4,6,-2.9778280760975364,0.0,1,0.34985816984203844,0.2687469756153812,0.0,-2.627969906255498,0.0,516,5.613287612504791e-13
driven_dt1e-3,5,0,-0.9003294425796398,0.0,1,0.00660378241599191,0.6396316404773409,0.0,-0.8937256601636479,0.0,517,6.306066779870889e-14
driven_dt1e-3,5,1,-1.7219560332019352,0.0,1,0.16235207575255317,0.38978730731742667,0.0,-1.8843081089544884,0.0,517,6.306066779870889e-14
driven_dt1e-3,5,2,-1.9826109179025015,0.0,1,0.09830280894801313,0.38978730731742667,0.0,-1.8843081089544884,0.0,517,6.306066779870889e-14
driven_dt1e-3,5,3,-2.4330203253846303,0.19025723976725073,1,0.34532784513650056,0.25650549635277825,0.0,-2.721210372649913,0.0,517,6.306066779870889e-14
driven_dt1e-3,5,4,-2.6464198717560925,3.045678744368468,1,0.4730882199678169,0.014982276071972682,0.2098956908565636,-3.117207048481638,2.9990751167939145,517,6.306066779870889e-14
driven_dt1e-3,5,5,-2.9498543094339507,5.367773635409873,1,0.6019610177745797,-0.25193112144791774,0.045447364799314854,-2.725174698098441,5.926232352926514,517,6.306066779870889e-14
driven_dt1e-3,5,6,-2.9778280760975364,0.0,1,0.16898131272903516,0.24550858039048462,0.0,-2.8088467633685013,0.0,517,6.306066779870889e-14
driven_dt1e-3,6,0,-0.9003294425796398,0.0,1,0.0036633891723909517,0.6386919471365625,0.0,-0.8966660534072488,0.0,517,7.038813976123492e-14
driven_dt1e-3,6,1,-1.7219560332019352,0.0,1,0.12416364527023079,0.4029274646236458,0.016254265069913704,-1.816371416353808,0.0806371268776161,517,7.038813976123492e-14
driven_dt1e-3,6,2,-1.9826109179025015,0.0,1,0.1235303219457402,0.3488648713294663,0.0,-2.1061412398482418,0.0,517,7.038813976123492e-14
driven_dt1e-3,6,3,-2.4330203253846303,0.19025723976725073,1,0.2422350659603265,0.26147345332220095,0.023303168765180547,-2.674933592646201,0.1777753206986262,517,7.038813976123492e-14
driven_dt1e-3,6,4,-2.6464198717560925,3.045678744368468,1,0.4071202513355041,0.03221244954520186,0.2203296286327119,-3.0041115385632082,2.851247341184128,517,7.038813976123492e-14
driven_dt1e-3,6,5,-2.9498543094339507,5.367773635409873,1,0.2770541701189033,-0.23517547915089754,0.08679967730269954,-2.7671365726764647,5.576036070463572,517,7.038813976123492e-14
driven_dt1e-3,6,6,-2.9778280760975364,0.0,1,0.3512109519288242,0.26147345332220095,0.023303168765180547,-2.674933592646201,0.1777753206986262,517,7.038813976123492e-14
driven_dt1e-3,7,0,-0.9003294425796398,0.0,1,0.016080871207697855,0.6426697558402302,0.0,-0.8842485713719419,0.0,517,4.453104551771503e-13
driven_dt1e-3,7,1,-1.7219560332019352,0.0,1,0.03289307490345217,0.41585253944349615,0.0,-1.7548491081053874,0.0,517,4.453104551771503e-13
driven_dt1e-3,7,2,-1.9826109179025015,0.0,1,0.22289952075079822,0.3319552131464961,0.0,-2.2055104386532998,0.0,517,4.453104551771503e-13
driven_dt1e-3,7,3,-2.4330203253846303,0.19025723976725073,1,0.27982788320943275,0.26737350986991143,0.0,-2.638217369558319,0.0,517,4.453104551771503e-13
driven_dt1e-3,7,4,-2.6464198717560925,3.045678744368468,1,0.8170396087073024,0.06342233163552773,0.18709707966397762,-3.243483388497899,2.4879432522465406,517,4.453104551771503e-13
