case,mode,lambda_real,lambda_imag,I_equal,theta1,theta3,phi_real,phi_imag
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-3.141592653589793,0.02995142698970099,-0.029301703101994925
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-3.0630528372500483,0.003132855099825471,-0.06537783247628676
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.9845130209103035,-0.023871950263828823,-0.10245145654252791
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.9059732045705586,-0.05063804806788755,-0.13996037810464984
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.827433388230814,-0.07673253996600735,-0.1773755494324324
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.748893571891069,-0.10172383526843018,-0.2142116666626543
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.670353755551324,-0.12519097760768866,-0.25003643161788025
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.5918139392115793,-0.14673281166518862,-0.2844782695584282
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.5132741228718345,-0.1659767716333087,-0.31723233087592767
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.4347343065320897,-0.18258708172789392,-0.3480646483535359
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.356194490192345,-0.19627217282798615,-0.3768143682758852
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.2776546738526,-0.2067911378689011,-0.4033940222146823
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.199114857512855,-0.2139590714991863,-0.42778785554139753
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.1205750411731104,-0.2176511661729611,-0.450048277408553
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-2.0420352248333655,-0.2178054666351258,-0.47029054389162295
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-1.9634954084936207,-0.2144242169397168,-0.48868583003415156
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-1.8849555921538759,-0.20757376793400711,-0.5054528866013444
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-1.806415775814131,-0.19738304771613224,-0.5208485124331876
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-1.7278759594743862,-0.1840406320859839,-0.5351571025317365
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-1.6493361431346414,-0.16779048561356014,-0.5486795546979941
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-1.5707963267948966,-0.1489264758236551,-0.561721833093789
driven_dt1e-3,oscillatory,-5.5195170492573435,5.037333497460582,1.0,-3.141592653589793,-1.4922565104551517,-0.1277857923612409,-0.5745834951615846
