case,dictionary,nominal_K,tau,nyquist,cutoff,kept,condition,trivial_error,trivial_mu_real,trivial_mu_imag
driven_dt1e-3,E1,109,0.02,157.07963267948966,1e-10,107,5697412933.426724,5.2513549064769904e-14,0.9999999999999475,0.0
driven_dt1e-3,E1,109,0.05,62.83185307179586,1e-10,107,5697412933.426724,3.3639757646142243e-14,0.9999999999999664,0.0
driven_dt1e-3,E1,109,0.1,31.41592653589793,1e-10,107,5697412933.426724,2.2115642650533118e-13,0.9999999999997788,0.0
driven_dt1e-3,E1,109,0.25,12.566370614359172,1e-10,107,5697412933.426724,1.965094753586527e-14,0.9999999999999803,0.0
driven_dt1e-3,E1,109,0.5,6.283185307179586,1e-10,107,5697412933.426724,4.196643033083092e-14,0.999999999999958,0.0
driven_dt1e-3,E1,109,1.0,3.141592653589793,1e-10,107,5697412933.426724,4.6629367034256575e-14,0.9999999999999534,0.0
driven_dt1e-3,E2,269,0.02,157.07963267948966,1e-10,267,5699046379.162767,3.108624468950438e-14,0.9999999999999689,0.0
driven_dt1e-3,E2,269,0.05,62.83185307179586,1e-10,267,5699046379.162767,3.0753177782116836e-14,0.9999999999999692,0.0
driven_dt1e-3,E2,269,0.1,31.41592653589793,1e-10,267,5699046379.162767,2.2504220709151923e-13,0.999999999999775,0.0
driven_dt1e-3,E2,269,0.25,12.566370614359172,1e-10,267,5699046379.162767,1.6986412276764895e-14,0.999999999999983,0.0
driven_dt1e-3,E2,269,0.5,6.283185307179586,1e-10,267,5699046379.162767,4.107825191113079e-14,0.9999999999999589,0.0
driven_dt1e-3,E2,269,1.0,3.141592653589793,1e-10,267,5699046379.162767,4.263256414560601e-14,0.9999999999999574,0.0
driven_dt1e-3,E3,519,0.02,157.07963267948966,1e-10,517,5810896856.979302,1.284528039491306e-13,0.9999999999998715,0.0
driven_dt1e-3,E3,519,0.05,62.83185307179586,1e-10,517,5810896856.979302,5.950795411990839e-14,0.9999999999999405,0.0
driven_dt1e-3,E3,519,0.1,31.41592653589793,1e-10,517,5810896856.979302,4.860556401808935e-13,0.9999999999995139,0.0
driven_dt1e-3,E3,519,0.25,12.566370614359172,1e-10,517,5810896856.979302,1.3100631690576847e-14,0.9999999999999869,0.0
driven_dt1e-3,E3,519,0.5,6.283185307179586,1e-10,517,5810896856.979302,1.5343282200319663e-13,0.9999999999998466,0.0
driven_dt1e-3,E3,519,1.0,3.141592653589793,1e-10,517,5810896856.979302,1.2922996006636822e-13,0.9999999999998708,0.0
driven_dt1e-3,E3,519,0.05,62.83185307179586,1e-08,515,292250.14622989367,1.4854784069484595e-13,0.9999999999998515,0.0
driven_dt1e-3,E3,519,0.05,62.83185307179586,1e-12,517,5810896856.979302,5.950795411990839e-14,0.9999999999999405,0.0
driven_dt1e-3,E3,519,0.5,6.283185307179586,1e-08,515,292250.14622989367,1.305622276959184e-13,0.9999999999998694,0.0
driven_dt1e-3,E3,519,0.5,6.283185307179586,1e-12,517,5810896856.979302,1.5343282200319663e-13,0.9999999999998466,0.0
