case,replicate,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
driven_dt2p5e-4,0,-5.581749738501255,5.695778969252528,1,0.21692796042440043,0.7340077678330384,0.21453282268007823,-5.364995032621637,5.6871107806914365,516,1.3680168109431179e-12
driven_dt2p5e-4,1,-5.581749738501255,5.695778969252528,1,0.3405106087229219,0.7387516536509222,0.2101043786156864,-5.278058830272548,5.541768232899253,516,1.0078604617547171e-12
driven_dt2p5e-4,2,-5.581749738501255,5.695778969252528,1,0.4685095215351848,0.7376105127344547,0.19902878261116877,-5.383994364897605,5.271050839762605,516,1.9182433419473455e-12
driven_dt2p5e-4,3,-5.581749738501255,5.695778969252528,1,0.2488113702792837,0.726499873160508,0.20315030546801358,-5.637481177120729,5.453289578289421,515,2.000621890374532e-13
driven_dt2p5e-4,4,-5.581749738501255,5.695778969252528,1,0.7262412838712312,0.7398107237812827,0.1886428089782648,-5.397293124862231,4.993353058509083,516,1.1290968160437842e-13
driven_dt2p5e-4,5,-5.581749738501255,5.695778969252528,1,0.7432171852253792,0.698749589301207,0.21718839373302368,-6.247004559316282,6.027151580970368,515,9.607870055106105e-13
driven_dt2p5e-4,6,-5.581749738501255,5.695778969252528,1,0.31725838542559504,0.7358281352451644,0.219581526102233,-5.282107205649097,5.800025003367973,515,1.7985612998927536e-14
driven_dt2p5e-4,7,-5.581749738501255,5.695778969252528,1,0.2350196326252986,0.7348693355056446,0.21140483510681493,-5.366137225366718,5.602261741432518,516,1.426192497433476e-12
driven_dt2p5e-4,8,-5.581749738501255,5.695778969252528,1,0.194025304967867,0.7258078128507295,0.21988037334257513,-5.531342092144477,5.883141954275301,516,7.338574192772285e-13
driven_dt2p5e-4,9,-5.581749738501255,5.695778969252528,1,0.3588781834193674,0.7380136172387554,0.21911386033079072,-5.231091195844745,5.772147398569868,517,3.0597746558669314e-13
driven_dt2p5e-4,10,-5.581749738501255,5.695778969252528,1,0.5479528649422607,0.7424022556685579,0.1995886767361267,-5.259447622628413,5.252638259880978,517,4.851674617611934e-14
driven_dt2p5e-4,11,-5.581749738501255,5.695778969252528,1,0.3947317106694379,0.7387327492237159,0.2206071706265784,-5.202135553076883,5.803974133805346,517,1.2878587085651816e-14
driven_dt2p5e-4,12,-5.581749738501255,5.695778969252528,1,0.7383386204793716,0.75416203386068,0.20880177811495151,-4.904372924382971,5.402002574376519,516,4.698463840213662e-13
driven_dt2p5e-4,13,-5.581749738501255,5.695778969252528,1,0.7001052205995044,0.7000203019726259,0.21091357562987462,-6.263993026765917,5.852913992492105,516,3.8413716652030416e-14
driven_dt2p5e-4,14,-5.581749738501255,5.695778969252528,1,0.37637833749690747,0.7382347513750926,0.22007059043067415,-5.218501496276645,5.794325239895649,516,5.910827383104333e-13
driven_dt2p5e-4,15,-5.581749738501255,5.695778969252528,1,0.45481650447271815,0.739449725948925,0.20162453483544632,-5.319839742086005,5.323944050883441,516,5.548894677076532e-13
driven_dt2p5e-4,16,-5.581749738501255,5.695778969252528,1,0.2523873094505756,0.735607989352566,0.21254647922062678,-5.3393199872321,5.625585168448779,517,1.4432899320127035e-14
driven_dt2p5e-4,17,-5.581749738501255,5.695778969252528,1,0.45995110758473173,0.7387153140775324,0.22467346005255678,-5.172151954969362,5.9050268535767945,516,7.005507285384738e-14
driven_dt2p5e-4,18,-5.581749738501255,5.695778969252528,1,0.4178749727027668,0.7412709146867795,0.21722662341997967,-5.163911243341345,5.701300271077264,516,1.773026170326375e-13
driven_dt2p5e-4,19,-5.581749738501255,5.695778969252528,1,0.32136601515437324,0.7347837713194758,0.22106613277421294,-5.297070518842824,5.844889188858254,516,7.960299086562372e-13
