case,mode,lambda_real,lambda_imag,I_equal,theta1,theta3,phi_real,phi_imag
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-3.141592653589793,0.25228657875069027,-0.4292089732392046
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-3.0630528372500483,0.2776031654658839,-0.44656160449908355
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.9845130209103035,0.3037496166812219,-0.46095458032743475
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.9059732045705586,0.33050271115994434,-0.4721446835688243
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.827433388230814,0.35763668483415834,-0.4799317075878551
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.748893571891069,0.3849261203633634,-0.48416292158127655
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.670353755551324,0.41214876819606827,-0.48473659079793
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.5918139392115793,0.43908824649865186,-0.48160446646992183
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.5132741228718345,0.4655365705642083,-0.4747731842378494
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.4347343065320897,0.491296466673415,-0.4643045353391406
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.356194490192345,0.5161834307411353,-0.45031460120262434
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.2776546738526,0.540027498314102,-0.43297176871340987
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.199114857512855,0.5626746994335885,-0.4124936696329612
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.1205750411731104,0.5839881793722717,-0.38914311284252445
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-2.0420352248333655,0.6038489741136321,-0.3632231016117579
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-1.9634954084936207,0.6221564374739714,-0.3350710494068817
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-1.8849555921538759,0.6388283247765878,-0.30505232632659923
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-1.806415775814131,0.6538005457810689,-0.2735532836392667
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-1.7278759594743862,0.6670266069603352,-0.24097391571921956
driven_dt2p5e-4,oscillatory,-5.581749738501255,5.695778969252528,1.0,-3.141592653589793,-1.6493361431346414,0.6784767700265635,-0.20772032665898965
