case,dictionary,nominal_K,tau,nyquist,cutoff,kept,condition,trivial_error,trivial_mu_real,trivial_mu_imag
driven_dt2p5e-4,E1,109,0.02,157.07963267948966,1e-10,106,4582563324.765874,8.526512829121202e-14,1.0000000000000853,0.0
driven_dt2p5e-4,E1,109,0.05,62.83185307179586,1e-10,106,4582563324.765874,5.551115123125783e-14,1.0000000000000555,0.0
driven_dt2p5e-4,E1,109,0.1,31.41592653589793,1e-10,106,4582563324.765874,6.927791673660977e-14,1.0000000000000693,0.0
driven_dt2p5e-4,E1,109,0.25,12.566370614359172,1e-10,106,4582563324.765874,6.106226635438361e-14,1.000000000000061,0.0
driven_dt2p5e-4,E1,109,0.5,6.283185307179586,1e-10,106,4582563324.765874,1.0791367799356522e-13,1.000000000000108,0.0
driven_dt2p5e-4,E1,109,1.0,3.141592653589793,1e-10,106,4582563324.765874,1.709743457922741e-14,0.9999999999999829,0.0
driven_dt2p5e-4,E2,269,0.02,157.07963267948966,1e-10,266,4583957174.175428,8.770761894538737e-14,1.0000000000000877,0.0
driven_dt2p5e-4,E2,269,0.05,62.83185307179586,1e-10,266,4583957174.175428,5.240252676230739e-14,1.0000000000000524,0.0
driven_dt2p5e-4,E2,269,0.1,31.41592653589793,1e-10,266,4583957174.175428,6.505906924303417e-14,1.000000000000065,0.0
driven_dt2p5e-4,E2,269,0.25,12.566370614359172,1e-10,266,4583957174.175428,5.906386491005833e-14,1.000000000000059,0.0
driven_dt2p5e-4,E2,269,0.5,6.283185307179586,1e-10,266,4583957174.175428,1.0524914273446484e-13,1.0000000000001052,0.0
driven_dt2p5e-4,E2,269,1.0,3.141592653589793,1e-10,266,4583957174.175428,2.5202062658991053e-14,0.9999999999999748,0.0
driven_dt2p5e-4,E3,519,0.02,157.07963267948966,1e-10,516,4678606326.642699,1.084687895058778e-13,0.9999999999998915,0.0
driven_dt2p5e-4,E3,519,0.05,62.83185307179586,1e-10,516,4678606326.642699,5.60218538225854e-13,1.0000000000005602,0.0
driven_dt2p5e-4,E3,519,0.1,31.41592653589793,1e-10,516,4678606326.642699,3.7125857943465235e-13,1.0000000000003713,0.0
driven_dt2p5e-4,E3,519,0.25,12.566370614359172,1e-10,516,4678606326.642699,3.0886404545071855e-13,1.0000000000003089,0.0
driven_dt2p5e-4,E3,519,0.5,6.283185307179586,1e-10,516,4678606326.642699,6.405986852087153e-13,1.0000000000006406,0.0
driven_dt2p5e-4,E3,519,1.0,3.141592653589793,1e-10,516,4678606326.642699,8.038014698286133e-14,1.0000000000000804,0.0
driven_dt2p5e-4,E3,519,0.05,62.83185307179586,1e-08,515,282009.77230604365,5.628830734849544e-13,1.0000000000005629,0.0
driven_dt2p5e-4,E3,519,0.05,62.83185307179586,1e-12,516,4678606326.642699,5.60218538225854e-13,1.0000000000005602,0.0
driven_dt2p5e-4,E3,519,0.5,6.283185307179586,1e-08,515,282009.77230604365,6.390443729742401e-13,1.000000000000639,0.0
driven_dt2p5e-4,E3,519,0.5,6.283185307179586,1e-12,516,4678606326.642699,6.405986852087153e-13,1.0000000000006406,0.0
