case,reference_mode,eigen_index,conjugate_index,lambda_real,lambda_imag,observable,contribution_real,contribution_imag,reconstructed_variance_real,reconstructed_variance_imag,weight_real,weight_imag,weight_abs
driven_dt2p5e-4,0,1,-1,-0.9226805184503813,0.0,I2,1.2415728985810424,-4.734395291464151e-15,2.5585634037527805,6.553731082131753e-15,0.4852617280306447,-3.093403958572489e-15,0.4852617280306447
driven_dt2p5e-4,0,1,-1,-0.9226805184503813,0.0,I1_plus_I3,0.8802333354217696,4.004058638329261e-15,3.0913458551882607,9.989405136412444e-15,0.2847411375677873,3.7513242143883703e-16,0.2847411375677873
driven_dt2p5e-4,0,1,-1,-0.9226805184503813,0.0,cos_theta3,0.05977425962758242,7.190655431467811e-16,0.49006987226039933,5.4177582559100657e-14,0.12197089233802416,-1.201669982107074e-14,0.12197089233802416
driven_dt2p5e-4,0,1,-1,-0.9226805184503813,0.0,cos_even_sum,0.21942692768313904,9.148853593451707e-16,1.0043683389290152,4.246429596843626e-14,0.21847256547047253,-8.326027412108183e-15,0.21847256547047253
driven_dt2p5e-4,1,2,17,-1.3493022938056025,6.283185307179586,I2,0.0037952035939867374,-0.00017838335382259454,2.5585634037527805,6.553731082131753e-15,0.0014833338069402974,-6.972012245659418e-05,0.001484971406555479
driven_dt2p5e-4,1,2,17,-1.3493022938056025,6.283185307179586,I1_plus_I3,0.0013760811969707265,-0.003974808225819604,3.0913458551882607,9.989405136412444e-15,0.0004451398392260808,-0.001285785677829809,0.001360659503982713
driven_dt2p5e-4,1,2,17,-1.3493022938056025,6.283185307179586,cos_theta3,-0.00047812958761756386,-0.0014308808591640331,0.49006987226039933,5.4177582559100657e-14,-0.00097563554644238,-0.0029197486729069517,0.003078440681972584
driven_dt2p5e-4,1,2,17,-1.3493022938056025,6.283185307179586,cos_even_sum,-0.0015373245724887826,-0.0004254082578270844,1.0043683389290152,4.246429596843626e-14,-0.001530638225940187,-0.0004235580128707,0.0015881608133234805
driven_dt2p5e-4,2,3,-1,-1.7807710567401813,0.0,I2,0.00669637341809804,3.109567324265479e-16,2.5585634037527805,6.553731082131753e-15,0.002617239583852452,1.148316463784054e-16,0.002617239583852452
driven_dt2p5e-4,2,3,-1,-1.7807710567401813,0.0,I1_plus_I3,0.07648697803012657,-3.5079499824100664e-15,3.0913458551882607,9.989405136412444e-15,0.024742290773372092,-1.2147171247907869e-15,0.024742290773372092
driven_dt2p5e-4,2,3,-1,-1.7807710567401813,0.0,cos_theta3,0.006409923018282866,7.156818522192613e-16,0.49006987226039933,5.4177582559100657e-14,0.0130796104415024,1.4406471573789302e-17,0.0130796104415024
driven_dt2p5e-4,2,3,-1,-1.7807710567401813,0.0,cos_even_sum,0.014879686685043034,8.983554186047826e-16,1.0043683389290152,4.246429596843626e-14,0.014814969875404118,2.6807710141407024e-16,0.014814969875404118
driven_dt2p5e-4,3,4,-1,-1.9776322153425845,0.0,I2,0.0038013620456188125,1.4082166918406108e-16,2.5585634037527805,6.553731082131753e-15,0.0014857408028439527,5.123364279822133e-17,0.0014857408028439527
driven_dt2p5e-4,3,4,-1,-1.9776322153425845,0.0,I1_plus_I3,0.04638591891691744,1.5866486976267196e-15,3.0913458551882607,9.989405136412444e-15,0.01500508875092935,4.647674036777629e-16,0.01500508875092935
driven_dt2p5e-4,3,4,-1,-1.9776322153425845,0.0,cos_theta3,7.185945264564066e-05,2.9662773732734815e-17,0.49006987226039933,5.4177582559100657e-14,0.0001466310351097405,4.431747379649207e-17,0.0001466310351097405
driven_dt2p5e-4,3,4,-1,-1.9776322153425845,0.0,cos_even_sum,0.009652418061883213,2.1467596126451487e-15,1.0043683389290152,4.246429596843626e-14,0.0096104364183521,1.7310971770021994e-15,0.0096104364183521
driven_dt2p5e-4,4,5,-1,-2.320247394247764,0.0,I2,0.044766181584729316,1.1484509930874761e-15,2.5585634037527805,6.553731082131753e-15,0.01749660826034969,4.0404819602415756e-16,0.01749660826034969
driven_dt2p5e-4,4,5,-1,-2.320247394247764,0.0,I1_plus_I3,0.013168729964649213,-1.4392545279863862e-15,3.0913458551882607,9.989405136412444e-15,0.004259869513644971,-4.793407660613235e-16,0.004259869513644971
driven_dt2p5e-4,4,5,-1,-2.320247394247764,0.0,cos_theta3,0.026120941159315913,2.152488393567969e-15,0.49006987226039933,5.4177582559100657e-14,0.05330044272837183,-1.5001957565642035e-15,0.05330044272837183
driven_dt2p5e-4,4,5,-1,-2.320247394247764,0.0,cos_even_sum,0.1733295248047751,6.384615003531758e-15,1.0043683389290152,4.246429596843626e-14,0.172575655849129,-9.39584300714751e-16,0.172575655849129
driven_dt2p5e-4,5,6,7,-2.9438533246558065,0.18042077961838413,I2,0.031930778268000504,6.498274141009119e-15,2.5585634037527805,6.553731082131753e-15,0.012479963647242801,2.507846319516223e-15,0.012479963647242801
driven_dt2p5e-4,5,6,7,-2.9438533246558065,0.18042077961838413,I1_plus_I3,0.1284099163080167,3.5485503424581566e-14,3.0913458551882607,9.989405136412444e-15,0.04153851504272939,1.1344754036561532e-14,0.04153851504272939
driven_dt2p5e-4,5,6,7,-2.9438533246558065,0.18042077961838413,cos_theta3,0.021705631984361894,-7.683957636839267e-15,0.49006987226039933,5.4177582559100657e-14,0.04429089240733529,-2.0575700910453073e-14,0.04429089240733529
driven_dt2p5e-4,5,6,7,-2.9438533246558065,0.18042077961838413,cos_even_sum,0.1107369459018347,-1.1844691893969639e-14,1.0043683389290152,4.246429596843626e-14,0.11025531332450847,-1.6454726329482868e-14,0.11025531332450847
