case,dictionary,nominal_K,tau,nyquist,cutoff,kept,condition,trivial_error,trivial_mu_real,trivial_mu_imag
equilibrium_dt1e-3,E1,109,0.02,157.07963267948966,1e-10,107,8524344637.168619,1.3322676295501878e-14,0.9999999999999867,0.0
equilibrium_dt1e-3,E1,109,0.05,62.83185307179586,1e-10,107,8524344637.168619,2.8976820942716586e-14,0.999999999999971,0.0
equilibrium_dt1e-3,E1,109,0.1,31.41592653589793,1e-10,107,8524344637.168619,4.551914400963142e-14,0.9999999999999545,0.0
equilibrium_dt1e-3,E1,109,0.25,12.566370614359172,1e-10,107,8524344637.168619,2.609024107869118e-14,0.9999999999999739,0.0
equilibrium_dt1e-3,E1,109,0.5,6.283185307179586,1e-10,107,8524344637.168619,1.7763568394002505e-15,1.0000000000000018,0.0
equilibrium_dt1e-3,E1,109,1.0,3.141592653589793,1e-10,107,8524344637.168619,9.170442183403793e-14,1.0000000000000917,0.0
equilibrium_dt1e-3,E2,269,0.02,157.07963267948966,1e-10,267,8526653387.789548,1.6431300764452317e-14,0.9999999999999836,0.0
equilibrium_dt1e-3,E2,269,0.05,62.83185307179586,1e-10,267,8526653387.789548,3.3084646133829665e-14,0.9999999999999669,0.0
equilibrium_dt1e-3,E2,269,0.1,31.41592653589793,1e-10,267,8526653387.789548,4.3076653355456074e-14,0.9999999999999569,0.0
equilibrium_dt1e-3,E2,269,0.25,12.566370614359172,1e-10,267,8526653387.789548,2.853273173286652e-14,0.9999999999999715,0.0
equilibrium_dt1e-3,E2,269,0.5,6.283185307179586,1e-10,267,8526653387.789548,8.881784197001252e-16,0.9999999999999991,0.0
equilibrium_dt1e-3,E2,269,1.0,3.141592653589793,1e-10,267,8526653387.789548,1.0236256287043943e-13,1.0000000000001024,0.0
equilibrium_dt1e-3,E3,519,0.02,157.07963267948966,1e-10,516,641034802.4513252,9.281464485866309e-14,1.0000000000000928,0.0
equilibrium_dt1e-3,E3,519,0.05,62.83185307179586,1e-10,516,641034802.4513252,1.0969003483296547e-13,0.9999999999998903,0.0
equilibrium_dt1e-3,E3,519,0.1,31.41592653589793,1e-10,516,641034802.4513252,3.042011087472929e-14,0.9999999999999696,0.0
equilibrium_dt1e-3,E3,519,0.25,12.566370614359172,1e-10,516,641034802.4513252,1.354472090042691e-14,0.9999999999999865,0.0
equilibrium_dt1e-3,E3,519,0.5,6.283185307179586,1e-10,516,641034802.4513252,2.1094237467877974e-14,1.000000000000021,0.0
equilibrium_dt1e-3,E3,519,1.0,3.141592653589793,1e-10,516,641034802.4513252,8.859579736508749e-14,0.9999999999999114,0.0
equilibrium_dt1e-3,E3,519,0.05,62.83185307179586,1e-08,515,324582.4985387813,4.8627768478581856e-14,0.9999999999999514,0.0
equilibrium_dt1e-3,E3,519,0.05,62.83185307179586,1e-12,517,14414118888.459194,1.2378986724570495e-13,0.9999999999998762,0.0
equilibrium_dt1e-3,E3,519,0.5,6.283185307179586,1e-08,515,324582.4985387813,1.021405182655144e-13,0.9999999999998979,0.0
equilibrium_dt1e-3,E3,519,0.5,6.283185307179586,1e-12,517,14414118888.459194,3.1086244689504383e-15,1.000000000000003,0.0
