case,replicate,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
equilibrium_dt2p5e-4,0,-5.963038880424105,5.2927441071235695,1,0.5316035995355429,0.7300738364968755,0.2086120731211703,-5.5073344635699435,5.566488278748746,516,1.2507772595427014e-12
equilibrium_dt2p5e-4,1,-5.963038880424105,5.2927441071235695,1,0.32975039826062735,0.7231556693988841,0.20438845314314083,-5.71409730428811,5.508992614225859,516,1.2079226507921703e-13
equilibrium_dt2p5e-4,2,-5.963038880424105,5.2927441071235695,1,0.20152283709668423,0.7238161565749633,0.1932740938890169,-5.775626418054661,5.218662916392599,516,1.1581846592889633e-12
equilibrium_dt2p5e-4,3,-5.963038880424105,5.2927441071235695,1,0.22305866132154767,0.724426513038908,0.1921315376209743,-5.767726020163318,5.185003432319153,517,1.2183587472236468e-12
equilibrium_dt2p5e-4,4,-5.963038880424105,5.2927441071235695,1,0.6682627832764378,0.7348180467920166,0.1772358229693777,-5.597181202101743,4.733527416810286,516,1.729949516970919e-12
equilibrium_dt2p5e-4,5,-5.963038880424105,5.2927441071235695,1,0.5051176398381286,0.7072456188668419,0.2104479772892837,-6.079154057790113,5.78433448097247,517,7.197020757132577e-12
equilibrium_dt2p5e-4,6,-5.963038880424105,5.2927441071235695,1,0.2790332366247226,0.7258049359281071,0.18976682718900606,-5.7482339563438565,5.114647527335672,517,1.4910295220715852e-13
equilibrium_dt2p5e-4,7,-5.963038880424105,5.2927441071235695,1,0.26288536421296754,0.707111035374371,0.19120191295031302,-6.225690821963751,5.281668353296433,518,1.7918999617450027e-12
equilibrium_dt2p5e-4,8,-5.963038880424105,5.2927441071235695,1,0.2995038309164262,0.7275257829616565,0.19347314627997417,-5.678800020670409,5.198346992021815,517,3.856914787547794e-13
equilibrium_dt2p5e-4,9,-5.963038880424105,5.2927441071235695,1,0.3356366497671787,0.7253686138934634,0.20285096107828277,-5.668526688471629,5.4537240110193155,517,2.0834445280115688e-12
equilibrium_dt2p5e-4,10,-5.963038880424105,5.2927441071235695,1,0.004785464202213031,0.7164741578350154,0.19425423849242066,-5.958935667789152,5.295206689853758,517,6.52589093874667e-13
equilibrium_dt2p5e-4,11,-5.963038880424105,5.2927441071235695,1,0.4925781608919335,0.7270468828099843,0.17920307518552733,-5.7854981472626505,4.833274268444062,517,6.330491686412643e-13
equilibrium_dt2p5e-4,12,-5.963038880424105,5.2927441071235695,1,0.39622046217644974,0.7310773837384155,0.19229811056419913,-5.595735562315508,5.144154312205701,517,2.2215562722749382e-13
equilibrium_dt2p5e-4,13,-5.963038880424105,5.2927441071235695,1,0.24580506680256559,0.7247980788474686,0.19056728302872936,-5.768797026266551,5.142111331940845,516,7.149836278586008e-14
equilibrium_dt2p5e-4,14,-5.963038880424105,5.2927441071235695,1,0.19244950120693202,0.722474881490414,0.19040551007634646,-5.82994582518201,5.15373673623583,518,2.4525936836994333e-11
equilibrium_dt2p5e-4,15,-5.963038880424105,5.2927441071235695,1,0.3930670602614928,0.7300161713706402,0.19962455024028586,-5.572648035040454,5.3385338625635175,517,4.767297667740422e-13
equilibrium_dt2p5e-4,16,-5.963038880424105,5.2927441071235695,1,0.5603883647793815,0.7369973045931724,0.18997588325244041,-5.460109936748779,5.045564826046595,517,2.55440113505756e-12
equilibrium_dt2p5e-4,17,-5.963038880424105,5.2927441071235695,1,0.4283971885701431,0.7213738304856716,0.2093098892163276,-5.723627282716502,5.647999280284912,517,2.529421117003494e-12
equilibrium_dt2p5e-4,18,-5.963038880424105,5.2927441071235695,1,0.39119325401180266,0.7281762132996237,0.18555090171522834,-5.7151425902435395,4.990122906116344,516,5.74651437545981e-13
equilibrium_dt2p5e-4,19,-5.963038880424105,5.2927441071235695,1,0.42691324115860063,0.7318940968539696,0.19797630112553166,-5.536225101280088,5.283529259900536,517,6.52589093874667e-13
equilibrium_dt2p5e-4,20,-5.963038880424105,5.2927441071235695,1,0.25266180173535363,0.725778021706513,0.19378895120315245,-5.721552643819892,5.218431365370295,517,6.790124018607457e-13
equilibrium_dt2p5e-4,21,-5.963038880424105,5.2927441071235695,1,0.11018796954304225,0.7188814259260964,0.1973497771576849,-5.87459328128341,5.358461415533621,517,3.2818192607919627e-13
equilibrium_dt2p5e-4,22,-5.963038880424105,5.2927441071235695,1,0.4080449390162666,0.7260273008790861,0.18239450686491185,-5.7913409066073065,4.92258133475985,517,4.313216450668733e-13
equilibrium_dt2p5e-4,23,-5.963038880424105,5.2927441071235695,1,0.2549893428933351,0.7122045006465939,0.1856645691093297,-6.130307839759945,5.1002846042875705,516,3.2951419370874646e-13
equilibrium_dt2p5e-4,24,-5.963038880424105,5.2927441071235695,1,0.2923067316342505,0.7271757105403828,0.19561365438497352,-5.6730917870076025,5.255677837038496,517,4.613753823434763e-11
equilibrium_dt2p5e-4,25,-5.963038880424105,5.2927441071235695,1,0.2504117606039475,0.7073105345560003,0.19224203341120705,-6.213006933293101,5.307644523012122,517,1.5698553568199713e-12
equilibrium_dt2p5e-4,26,-5.963038880424105,5.2927441071235695,1,0.6096309321607036,0.7383596066974173,0.20070676912966276,-5.3536063398251335,5.308295695666574,517,8.577583088253959e-13
equilibrium_dt2p5e-4,27,-5.963038880424105,5.2927441071235695,1,0.20451684827100647,0.7237893784855255,0.19245388813223224,-5.781955923980502,5.197685682392513,516,2.3228086121207525e-12
equilibrium_dt2p5e-4,28,-5.963038880424105,5.2927441071235695,1,0.3115674322345976,0.7279989349034584,0.19434590665200652,-5.660692003370224,5.217506943666765,517,6.907807659217724e-13
