case,replicate,reference_mode,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
equilibrium_dt2p5e-4,0,0,-0.6068049349035554,6.283185307179586,1,1.957004943518164,-0.27750816044726356,0.0,-2.5638098784217194,6.283185307179586,516,1.7694734566475745e-12
equilibrium_dt2p5e-4,0,1,-0.8942375438345667,0.0,1,0.004259444557591974,0.6408312933282283,0.0,-0.8899780992769747,0.0,516,1.7694734566475745e-12
equilibrium_dt2p5e-4,0,2,-1.7588196974283548,0.0,1,0.03241266715840996,0.4083558994278874,0.0,-1.7912323645867647,0.0,516,1.7694734566475745e-12
equilibrium_dt2p5e-4,0,3,-2.0177933989876364,0.0,1,0.033152653279297395,0.3707154940903469,0.0,-1.984640745708339,0.0,516,1.7694734566475745e-12
equilibrium_dt2p5e-4,0,4,-2.207551002910488,0.0,1,0.22291025720214885,0.3707154940903469,0.0,-1.984640745708339,0.0,516,1.7694734566475745e-12
equilibrium_dt2p5e-4,0,5,-2.696224531804163,0.0,1,0.0813266394859431,0.27050926060063607,0.0,-2.61489789231822,0.0,516,1.7694734566475745e-12
equilibrium_dt2p5e-4,0,6,-2.8630805404967816,1.1909400673641939,1,0.3625845552348425,0.18112858563680906,0.09743736721231888,-3.1629302488729776,0.9870829799682469,516,1.7694734566475745e-12
equilibrium_dt2p5e-4,1,0,-0.6068049349035554,6.283185307179586,1,1.5986563104215445,-0.3319633782377867,0.0,-2.2054612453251,6.283185307179586,517,9.796607969292381e-13
equilibrium_dt2p5e-4,1,1,-0.8942375438345667,0.0,1,0.01658531238219252,0.6447928892257737,0.0,-0.8776522314523741,0.0,517,9.796607969292381e-13
equilibrium_dt2p5e-4,1,2,-1.7588196974283548,0.0,1,0.09741044101732932,0.3952981181616951,0.0,-1.856230138445684,0.0,517,9.796607969292381e-13
equilibrium_dt2p5e-4,1,3,-2.0177933989876364,0.0,1,0.03557721939596892,0.35819229167758676,0.0,-2.0533706183836054,0.0,517,9.796607969292381e-13
equilibrium_dt2p5e-4,1,4,-2.207551002910488,0.0,1,0.15418038452688254,0.35819229167758676,0.0,-2.0533706183836054,0.0,517,9.796607969292381e-13
equilibrium_dt2p5e-4,1,5,-2.696224531804163,0.0,1,0.2626392509838067,0.29617859639522925,0.0,-2.433585280820356,0.0,517,9.796607969292381e-13
equilibrium_dt2p5e-4,1,6,-2.8630805404967816,1.1909400673641939,1,0.3883289074975124,0.17233835615290405,0.10010305601515089,-3.2258719702945737,1.0524419848378093,517,9.796607969292381e-13
equilibrium_dt2p5e-4,2,0,-0.6068049349035554,6.283185307179586,1,1.9869429970012713,-1.993853166267888,0.0,1.380138062097716,6.283185307179586,517,2.2861712523081223e-12
equilibrium_dt2p5e-4,2,1,-0.8942375438345667,0.0,1,0.011867572628646905,0.6432736991928562,0.0,-0.8823699712059198,0.0,517,2.2861712523081223e-12
equilibrium_dt2p5e-4,2,2,-1.7588196974283548,0.0,1,0.052128424653440586,0.40435015300582966,0.0,-1.8109481220817953,0.0,517,2.2861712523081223e-12
equilibrium_dt2p5e-4,2,3,-2.0177933989876364,0.0,1,0.10369616810988092,0.34619787180825884,0.0,-2.1214895670975173,0.0,517,2.2861712523081223e-12
equilibrium_dt2p5e-4,2,4,-2.207551002910488,0.0,1,0.08606143581297054,0.34619787180825884,0.0,-2.1214895670975173,0.0,517,2.2861712523081223e-12
equilibrium_dt2p5e-4,2,5,-2.696224531804163,0.0,1,0.026524234435913036,0.25784755939530285,0.0028698035564956735,-2.7106495816880796,0.02225877238883111,517,2.2861712523081223e-12
equilibrium_dt2p5e-4,2,6,-2.8630805404967816,1.1909400673641939,1,0.6072194790121106,0.13371028371028337,0.13034857071636077,-3.356151651782638,1.5453358558649455,517,2.2861712523081223e-12
equilibrium_dt2p5e-4,3,0,-0.6068049349035554,6.283185307179586,1,1.5752076001279316,-0.33587834013586976,0.0,-2.182012535031487,6.283185307179586,516,6.536993168992922e-13
equilibrium_dt2p5e-4,3,1,-0.8942375438345667,0.0,1,0.011253045668225603,0.6358800749944643,0.0,-0.9054905895027923,0.0,516,6.536993168992922e-13
equilibrium_dt2p5e-4,3,2,-1.7588196974283548,0.0,1,0.05037749548693626,0.404704302243957,0.0,-1.809197192915291,0.0,516,6.536993168992922e-13
equilibrium_dt2p5e-4,3,3,-2.0177933989876364,0.0,1,0.017376741586829336,0.36146680392950375,0.0,-2.0351701405744658,0.0,516,6.536993168992922e-13
equilibrium_dt2p5e-4,3,4,-2.207551002910488,0.0,1,0.17238086233602212,0.36146680392950375,0.0,-2.0351701405744658,0.0,516,6.536993168992922e-13
