case,mode,lambda_real,lambda_imag,I_equal,theta1,theta3,phi_real,phi_imag
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-3.141592653589793,0.08608261528007677,-0.22881521339129718
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-3.0630528372500483,0.06020069061705213,-0.18473689211697086
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.9845130209103035,0.03180509455324154,-0.13934864480314008
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.9059732045705586,0.0010967399833505809,-0.09351597472486084
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.827433388230814,-0.03169920440802221,-0.048135787278692777
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.748893571891069,-0.06633558492207037,-0.004115733376276132
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.670353755551324,-0.10254589359141819,0.03764684669382812
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.5918139392115793,-0.1400472154192246,0.07628586843728019
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.5132741228718345,-0.17854344182907556,0.11098682871059784
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.4347343065320897,-0.21772869433746633,0.1410060173479183
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.356194490192345,-0.25729089799113514,0.1656881470082987
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.2776546738526,-0.29691544098363976,0.18448197134768718
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.199114857512855,-0.3362888551529116,0.19695351013289836
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.1205750411731104,-0.37510245180374924,0.20279655779939904
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-2.0420352248333655,-0.4130558485010737,0.20184021779154698
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.9634954084936207,-0.4498603251110682,0.19405327719844556
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.8849555921538759,-0.48524195136356174,0.17954531294025988
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.806415775814131,-0.5189444334731056,0.15856450018546464
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.7278759594743862,-0.5507316337607298,0.13149217383992473
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.6493361431346414,-0.5803897246088356,0.09883427287651941
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.5707963267948966,-0.607728946280131,0.0612098730320465
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.4922565104551517,-0.6325849469411212,0.019337084127130644
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.413716694115407,-0.6548196924402303,-0.025983347770841603
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.335176877775662,-0.6743219427801308,-0.07388633749140466
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.2566370614359172,-0.691007301569432,-0.12346221542895155
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.1780972450961724,-0.7048178538186296,-0.17377746284475523
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.0995574287564276,-0.7157214160443723,-0.22389592748888043
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-1.0210176124166828,-0.7237104305624829,-0.2729000080599741
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.9424777960769379,-0.7288005428987294,-0.31991129738015067
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.8639379797371931,-0.7310289072643191,-0.3641101880113726
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.7853981633974483,-0.7304522698930613,-0.40475397003467684
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.7068583470577035,-0.7271448836112491,-0.4411929882114048
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.6283185307179586,-0.7211963092331515,-0.47288447382074184
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.5497787143782138,-0.712709160201769,-0.4994037239347031
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.47123889803846897,-0.70179684631804,-0.5204523663340225
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.39269908169872414,-0.6885813704481625,-0.5358635200738647
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.3141592653589793,-0.6731912288286062,-0.5456037381086827
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.23561944901923448,-0.6557594610942141,-0.5497716974997762
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.15707963267948966,-0.6364218905592725,-0.5485936826099149
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,-0.07853981633974483,-0.6153155887340334,-0.5424159853711216
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.0,-0.5925775907327023,-0.5316944222586707
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.07853981633974483,-0.5683438803147887,-0.5169812381586331
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.15707963267948966,-0.5427486550055864,-0.4989097311432874
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.23561944901923448,-0.515923873277925,-0.47817698770001205
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.3141592653589793,-0.48799907736418924,-0.4555251638310895
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.39269908169872414,-0.4591014771212495,-0.43172178252875787
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.47123889803846897,-0.4293562727002883,-0.4075395415722729
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.5497787143782138,-0.39888718677510004,-0.3837361368192836
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.6283185307179586,-0.3678171709355239,-0.36103460490118194
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.7068583470577035,-0.3362692457146438,-0.3401046755178066
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.7853981633974483,-0.3043674297210678,-0.321545597704314
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.8639379797371927,-0.2722377105936774,-0.3058708671539982
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,0.9424777960769379,-0.24000900905708678,-0.29349523384963233
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.0210176124166832,-0.20781408726953998,-0.2847243120665669
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.0995574287564276,-0.17579035392485953,-0.2797470496779908
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.178097245096172,-0.14408052116569547,-0.2786312422266971
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.2566370614359172,-0.11283307222245642,-0.28132220119467877
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.3351768777756625,-0.08220250371469073,-0.28764460718062773
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.413716694115407,-0.05234931261339626,-0.2973074992308247
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.4922565104551513,-0.023439704811395012,-0.30991227332404486
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.5707963267948966,0.0043549900906894035,-0.3249634879189867
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.6493361431346418,0.0308592049967904,-0.3418822043884348
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.7278759594743862,0.05589432125050753,-0.36002152681963917
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.8064157758141306,0.07928014443263753,-0.3786839506206308
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.8849555921538759,0.10083665169957623,-0.39714008399817446
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,1.9634954084936211,0.12038598421988167,-0.4146482717871194
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.0420352248333655,0.13775465069401116,-0.430474628169583
equilibrium_dt2p5e-4,oscillatory,-5.963038880424105,5.2927441071235695,1.0,-3.141592653589793,2.12057504117311,0.15277590111474038,-0.44391297409493047
