case,dictionary,nominal_K,tau,nyquist,cutoff,kept,condition,trivial_error,trivial_mu_real,trivial_mu_imag
equilibrium_dt2p5e-4,E1,109,0.02,157.07963267948966,1e-10,107,6093714710.611083,1.0258460747536446e-13,1.0000000000001026,0.0
equilibrium_dt2p5e-4,E1,109,0.05,62.83185307179586,1e-10,107,6093714710.611083,1.4654943925052066e-14,1.0000000000000147,0.0
equilibrium_dt2p5e-4,E1,109,0.1,31.41592653589793,1e-10,107,6093714710.611083,2.4424906541753444e-15,1.0000000000000024,0.0
equilibrium_dt2p5e-4,E1,109,0.25,12.566370614359172,1e-10,107,6093714710.611083,1.3855583347321954e-13,0.9999999999998614,0.0
equilibrium_dt2p5e-4,E1,109,0.5,6.283185307179586,1e-10,107,6093714710.611083,1.1879386363489175e-14,0.9999999999999881,0.0
equilibrium_dt2p5e-4,E1,109,1.0,3.141592653589793,1e-10,107,6093714710.611083,1.4832579608992091e-13,1.0000000000001483,0.0
equilibrium_dt2p5e-4,E2,269,0.02,157.07963267948966,1e-10,267,6095487117.226547,1.1102230246251565e-13,1.000000000000111,0.0
equilibrium_dt2p5e-4,E2,269,0.05,62.83185307179586,1e-10,267,6095487117.226547,2.1316282072803006e-14,1.0000000000000213,0.0
equilibrium_dt2p5e-4,E2,269,0.1,31.41592653589793,1e-10,267,6095487117.226547,3.9968028886505635e-15,1.000000000000004,0.0
equilibrium_dt2p5e-4,E2,269,0.25,12.566370614359172,1e-10,267,6095487117.226547,1.4210854715202004e-13,0.9999999999998579,0.0
equilibrium_dt2p5e-4,E2,269,0.5,6.283185307179586,1e-10,267,6095487117.226547,1.3100631690576847e-14,0.9999999999999869,0.0
equilibrium_dt2p5e-4,E2,269,1.0,3.141592653589793,1e-10,267,6095487117.226547,1.474376176702208e-13,1.0000000000001474,0.0
equilibrium_dt2p5e-4,E3,519,0.02,157.07963267948966,1e-10,517,6378193282.646188,1.0174083797664935e-12,1.0000000000010174,0.0
equilibrium_dt2p5e-4,E3,519,0.05,62.83185307179586,1e-10,517,6378193282.646188,4.636291350834654e-13,1.0000000000004636,0.0
equilibrium_dt2p5e-4,E3,519,0.1,31.41592653589793,1e-10,517,6378193282.646188,2.360334150353083e-13,1.000000000000236,0.0
equilibrium_dt2p5e-4,E3,519,0.25,12.566370614359172,1e-10,517,6378193282.646188,1.2734258092450546e-12,1.0000000000012734,0.0
equilibrium_dt2p5e-4,E3,519,0.5,6.283185307179586,1e-10,517,6378193282.646188,8.384404281969182e-13,1.0000000000008384,0.0
equilibrium_dt2p5e-4,E3,519,1.0,3.141592653589793,1e-10,517,6378193282.646188,9.656719868189612e-13,1.0000000000009657,0.0
equilibrium_dt2p5e-4,E3,519,0.05,62.83185307179586,1e-08,515,218990.3962512096,7.450706718259426e-13,0.9999999999992549,0.0
equilibrium_dt2p5e-4,E3,519,0.05,62.83185307179586,1e-12,517,6378193282.646188,4.636291350834654e-13,1.0000000000004636,0.0
equilibrium_dt2p5e-4,E3,519,0.5,6.283185307179586,1e-08,515,218990.3962512096,1.0871303857129533e-12,1.0000000000010871,0.0
equilibrium_dt2p5e-4,E3,519,0.5,6.283185307179586,1e-12,517,6378193282.646188,8.384404281969182e-13,1.0000000000008384,0.0
