case,dimension,setting,lambda_real,lambda_imag,matched
driven_dt1e-3,dictionary,E1,-0.9135356286544177,0.0,1
driven_dt1e-3,dictionary,E2,-0.9076525919802565,0.0,1
driven_dt1e-3,dictionary,E3,-0.9003294425796398,0.0,1
driven_dt1e-3,lag,0.1,-0.8925524071743607,0.0,1
driven_dt1e-3,lag,0.25,-0.9058747752291582,0.0,1
driven_dt1e-3,lag,0.5,-0.9003294425796398,0.0,1
driven_dt1e-3,lag,1.0,-0.900017354921648,0.0,1
driven_dt1e-3,cutoff,1e-08,-0.9003294537562969,0.0,1
driven_dt1e-3,cutoff,1e-10,-0.9003294425796398,0.0,1
driven_dt1e-3,cutoff,1e-12,-0.9003294425796398,0.0,1
driven_dt1e-3,timestep,driven_dt2p5e-4,-0.9226805184503813,0.0,1
driven_dt2p5e-4,dictionary,E1,-0.9390975831386995,0.0,1
driven_dt2p5e-4,dictionary,E2,-0.9321993316658431,0.0,1
driven_dt2p5e-4,dictionary,E3,-0.9226805184503813,0.0,1
driven_dt2p5e-4,lag,0.1,-0.9244446851972656,0.0,1
driven_dt2p5e-4,lag,0.25,-0.9188672653093941,0.0,1
driven_dt2p5e-4,lag,0.5,-0.9226805184503813,0.0,1
driven_dt2p5e-4,lag,1.0,-0.9220396533933485,0.0,1
driven_dt2p5e-4,cutoff,1e-08,-0.922680525187405,0.0,1
driven_dt2p5e-4,cutoff,1e-10,-0.9226805184503813,0.0,1
driven_dt2p5e-4,cutoff,1e-12,-0.9226805184503813,0.0,1
driven_dt2p5e-4,timestep,driven_dt1e-3,-0.9003294425796398,0.0,1
equilibrium_dt1e-3,dictionary,E1,-0.9205508792626547,0.0,1
equilibrium_dt1e-3,dictionary,E2,-0.9171768038495651,0.0,1
equilibrium_dt1e-3,dictionary,E3,-0.905455076191947,0.0,1
equilibrium_dt1e-3,lag,0.1,-0.9313871540526909,0.0,1
equilibrium_dt1e-3,lag,0.25,-0.9354355217086252,0.0,1
equilibrium_dt1e-3,lag,0.5,-0.905455076191947,0.0,1
equilibrium_dt1e-3,lag,1.0,-0.9051894550133329,0.0,1
equilibrium_dt1e-3,cutoff,1e-08,-0.905455078591988,0.0,1
equilibrium_dt1e-3,cutoff,1e-10,-0.905455076191947,0.0,1
equilibrium_dt1e-3,cutoff,1e-12,-0.9054550501513039,0.0,1
equilibrium_dt1e-3,timestep,equilibrium_dt2p5e-4,-0.8942375438345667,0.0,1
equilibrium_dt2p5e-4,dictionary,E1,-0.909091315411954,0.0,1
equilibrium_dt2p5e-4,dictionary,E2,-0.9041241556802355,0.0,1
equilibrium_dt2p5e-4,dictionary,E3,-0.8942375438345667,0.0,1
equilibrium_dt2p5e-4,lag,0.1,-0.9216168130989724,0.0,1
equilibrium_dt2p5e-4,lag,0.25,-0.9018725247436951,0.0,1
equilibrium_dt2p5e-4,lag,0.5,-0.8942375438345667,0.0,1
equilibrium_dt2p5e-4,lag,1.0,-0.8943545884342855,0.0,1
equilibrium_dt2p5e-4,cutoff,1e-08,-0.8942375642277427,0.0,1
equilibrium_dt2p5e-4,cutoff,1e-10,-0.8942375438345667,0.0,1
equilibrium_dt2p5e-4,cutoff,1e-12,-0.8942375438345667,0.0,1
equilibrium_dt2p5e-4,timestep,equilibrium_dt1e-3,-0.905455076191947,0.0,1
