case,mode,reference_real,reference_imag,cutoff,lambda_real,lambda_imag,pass,real_range,real_tolerance,imag_range,imag_tolerance
driven_dt1e-3,0,-0.9401735849314701,0.0,1e-08,-0.9401735849314701,0.0,True,0.0,0.18803471698629404,0.0,0.5
driven_dt1e-3,0,-0.9401735849314701,0.0,1e-10,-0.9401735849314701,0.0,True,0.0,0.18803471698629404,0.0,0.5
driven_dt1e-3,0,-0.9401735849314701,0.0,1e-12,-0.9401735849314701,0.0,True,0.0,0.18803471698629404,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,1e-08,-1.7527488199044507,0.0,True,0.0,0.35054976398089016,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,1e-10,-1.7527488199044507,0.0,True,0.0,0.35054976398089016,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,1e-12,-1.7527488199044507,0.0,True,0.0,0.35054976398089016,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,1e-08,-2.2396104765324987,0.0,True,0.0,0.44792209530649973,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,1e-10,-2.2396104765324987,0.0,True,0.0,0.44792209530649973,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,1e-12,-2.2396104765324987,0.0,True,0.0,0.44792209530649973,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,1e-08,-2.3174426658637897,0.0,True,0.0,0.46348853317275795,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,1e-10,-2.3174426658637897,0.0,True,0.0,0.46348853317275795,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,1e-12,-2.3174426658637897,0.0,True,0.0,0.46348853317275795,0.0,0.5
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,1e-08,-2.6524200481523486,3.060159041643113,True,0.0,0.5304840096304697,0.0,0.6120318083286227
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,1e-10,-2.6524200481523486,3.060159041643113,True,0.0,0.5304840096304697,0.0,0.6120318083286227
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,1e-12,-2.6524200481523486,3.060159041643113,True,0.0,0.5304840096304697,0.0,0.6120318083286227
driven_dt1e-3,5,-2.7189907205137063,0.0,1e-08,-2.7189907205137063,0.0,True,0.0,0.5437981441027413,0.0,0.5
driven_dt1e-3,5,-2.7189907205137063,0.0,1e-10,-2.7189907205137063,0.0,True,0.0,0.5437981441027413,0.0,0.5
driven_dt1e-3,5,-2.7189907205137063,0.0,1e-12,-2.7189907205137063,0.0,True,0.0,0.5437981441027413,0.0,0.5
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,1e-08,-2.9604741803555354,5.370695425996387,True,0.0,0.5920948360711071,0.0,1.0741390851992774
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,1e-10,-2.9604741803555354,5.370695425996387,True,0.0,0.5920948360711071,0.0,1.0741390851992774
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,1e-12,-2.9604741803555354,5.370695425996387,True,0.0,0.5920948360711071,0.0,1.0741390851992774
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1e-08,-0.9631910243268651,0.0,True,0.0,0.19263820486537303,0.0,0.5
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1e-10,-0.9631910243268651,0.0,True,0.0,0.19263820486537303,0.0,0.5
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1e-12,-0.9631910243268651,0.0,True,0.0,0.19263820486537303,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,1e-08,-1.8481229631188287,0.0,True,0.0,0.3696245926237658,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,1e-10,-1.8481229631188287,0.0,True,0.0,0.3696245926237658,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,1e-12,-1.8481229631188287,0.0,True,0.0,0.3696245926237658,0.0,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,1e-08,-2.0877156713269587,0.0,True,0.0,0.41754313426539175,0.0,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,1e-10,-2.0877156713269587,0.0,True,0.0,0.41754313426539175,0.0,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,1e-12,-2.0877156713269587,0.0,True,0.0,0.41754313426539175,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,1e-08,-2.6741973789419244,0.0,True,0.0,0.5348394757883849,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,1e-10,-2.6741973789419244,0.0,True,0.0,0.5348394757883849,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,1e-12,-2.6741973789419244,0.0,True,0.0,0.5348394757883849,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,1e-08,-0.95514893253253,0.0,True,0.0,0.191029786506506,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,1e-10,-0.95514893253253,0.0,True,0.0,0.191029786506506,0.0,0.5
