case,mode,reference_real,reference_imag,dictionary,lambda_real,lambda_imag,pass,real_range,real_tolerance,imag_range,imag_tolerance
driven_dt1e-3,0,-0.9401735849314701,0.0,D1,-1.1053081884459408,0.0,True,0.16513460351447073,0.21807772074603107,0.0,0.5
driven_dt1e-3,0,-0.9401735849314701,0.0,D2,-1.0903886037301553,0.0,True,0.16513460351447073,0.21807772074603107,0.0,0.5
driven_dt1e-3,0,-0.9401735849314701,0.0,D3,-0.9401735849314701,0.0,True,0.16513460351447073,0.21807772074603107,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,D1,-2.019367120490872,0.0,True,0.2859634488414551,0.4038734240981744,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,D2,-2.038712268745906,0.0,True,0.2859634488414551,0.4038734240981744,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,D3,-1.7527488199044507,0.0,True,0.2859634488414551,0.4038734240981744,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,D1,-2.019367120490872,0.0,True,0.22024335604162681,0.40774245374918117,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,D2,-2.038712268745906,0.0,True,0.22024335604162681,0.40774245374918117,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,D3,-2.2396104765324987,0.0,True,0.22024335604162681,0.40774245374918117,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,D1,-2.019367120490872,0.0,True,0.2980755453729178,0.40774245374918117,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,D2,-2.038712268745906,0.0,True,0.2980755453729178,0.40774245374918117,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,D3,-2.3174426658637897,0.0,True,0.2980755453729178,0.40774245374918117,0.0,0.5
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,D1,nan,nan,False,nan,nan,nan,nan
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,D2,nan,nan,False,nan,nan,nan,nan
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,D3,-2.6524200481523486,3.060159041643113,False,nan,nan,nan,nan
driven_dt1e-3,5,-2.7189907205137063,0.0,D1,-2.7845483664674933,0.0,True,0.0723875805139973,0.5569096732934987,0.0,0.5
driven_dt1e-3,5,-2.7189907205137063,0.0,D2,-2.7913783010277036,0.0,True,0.0723875805139973,0.5569096732934987,0.0,0.5
