case,dictionary,d,M,K,tau,cutoff,kept,condition,trivial_error,trivial_mu_real,trivial_mu_imag
driven_dt1e-3,D1,2,1,90,0.1,1e-10,90,125.92187471856245,5.329070518200751e-15,1.0000000000000053,0.0
driven_dt1e-3,D1,2,1,90,0.25,1e-10,90,125.92187471856245,6.439293542825908e-15,1.0000000000000064,0.0
driven_dt1e-3,D1,2,1,90,0.5,1e-10,90,125.92187471856245,3.9968028886505635e-15,1.000000000000004,0.0
driven_dt1e-3,D1,2,1,90,1.0,1e-10,90,125.92187471856245,6.439293542825908e-15,1.0000000000000064,0.0
driven_dt1e-3,D2,2,2,250,0.1,1e-10,250,190.6362263005873,3.552713678800501e-15,1.0000000000000036,0.0
driven_dt1e-3,D2,2,2,250,0.25,1e-10,250,190.6362263005873,2.4424906541753444e-15,1.0000000000000024,0.0
driven_dt1e-3,D2,2,2,250,0.5,1e-10,250,190.6362263005873,8.881784197001252e-16,0.9999999999999991,0.0
driven_dt1e-3,D2,2,2,250,1.0,1e-10,250,190.6362263005873,4.440892098500626e-16,1.0000000000000004,0.0
driven_dt1e-3,D3,3,2,500,0.1,1e-10,500,7686.070934699198,1.1546319456101628e-14,1.0000000000000115,0.0
driven_dt1e-3,D3,3,2,500,0.25,1e-10,500,7686.070934699198,5.995204332975845e-15,1.000000000000006,0.0
driven_dt1e-3,D3,3,2,500,0.5,1e-10,500,7686.070934699198,6.439293542825908e-15,1.0000000000000064,0.0
driven_dt1e-3,D3,3,2,500,1.0,1e-10,500,7686.070934699198,3.774758283725532e-15,1.0000000000000038,0.0
driven_dt1e-3,D3,3,2,500,0.5,1e-08,500,7686.070934699198,6.439293542825908e-15,1.0000000000000064,0.0
driven_dt1e-3,D3,3,2,500,0.5,1e-12,500,7686.070934699198,6.439293542825908e-15,1.0000000000000064,0.0
