case,replicate,reference_mode,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
driven_dt2p5e-4,0,0,-0.9631910243268651,0.0,1,0.01073621998637364,0.6211222216453967,0.0,-0.9524548043404915,0.0,500,3.3306690738754696e-15
driven_dt2p5e-4,0,1,-1.8481229631188287,0.0,1,0.006247239838113927,0.3981454605737273,0.0,-1.8418757232807148,0.0,500,3.3306690738754696e-15
driven_dt2p5e-4,0,2,-2.0877156713269587,0.0,1,0.2398446360274078,0.3123033919136919,0.0,-2.3275603073543665,0.0,500,3.3306690738754696e-15
driven_dt2p5e-4,0,3,-2.6741973789419244,0.0,1,0.0448523632390776,0.25678275288347163,0.0,-2.719049742181002,0.0,500,3.3306690738754696e-15
driven_dt2p5e-4,1,0,-0.9631910243268651,0.0,1,0.002330948941835498,0.6185173488325153,0.0,-0.9608600753850296,0.0,500,3.1086244689504383e-15
driven_dt2p5e-4,1,1,-1.8481229631188287,0.0,1,0.027718043764140887,0.39144098978069325,0.0,-1.8758410068829696,0.0,500,3.1086244689504383e-15
driven_dt2p5e-4,1,2,-2.0877156713269587,0.0,1,0.21187466444398906,0.39144098978069325,0.0,-1.8758410068829696,0.0,500,3.1086244689504383e-15
driven_dt2p5e-4,1,3,-2.6741973789419244,0.0,1,0.07902353798161278,0.27013284436621826,0.007358220733415643,-2.6169411470762083,0.054465066489179544,500,3.1086244689504383e-15
driven_dt2p5e-4,2,0,-0.9631910243268651,0.0,1,0.0009355203868024464,0.6175079893427415,0.0,-0.9641265447136675,0.0,500,6.661338147750939e-16
driven_dt2p5e-4,2,1,-1.8481229631188287,0.0,1,0.017376071825984996,0.4003670828253643,0.0,-1.8307468912928437,0.0,500,6.661338147750939e-16
driven_dt2p5e-4,2,2,-2.0877156713269587,0.0,1,0.14315868257013564,0.32777195323019936,0.0,-2.2308743538970943,0.0,500,6.661338147750939e-16
driven_dt2p5e-4,2,3,-2.6741973789419244,0.0,1,0.030098168938240466,0.2586840686709771,0.0,-2.704295547880165,0.0,500,6.661338147750939e-16
driven_dt2p5e-4,3,0,-0.9631910243268651,0.0,1,0.010653737880296443,0.621096606439113,0.0,-0.9525372864465687,0.0,500,6.439293542825908e-15
driven_dt2p5e-4,3,1,-1.8481229631188287,0.0,1,0.0001323277012537094,0.3968774860030759,0.0,-1.8482552908200824,0.0,500,6.439293542825908e-15
