case,dictionary,d,M,K,tau,cutoff,kept,condition,trivial_error,trivial_mu_real,trivial_mu_imag
driven_dt2p5e-4,D1,2,1,90,0.1,1e-10,90,122.8693864180037,3.552713678800501e-15,1.0000000000000036,0.0
driven_dt2p5e-4,D1,2,1,90,0.25,1e-10,90,122.8693864180037,1.7763568394002505e-15,1.0000000000000018,0.0
driven_dt2p5e-4,D1,2,1,90,0.5,1e-10,90,122.8693864180037,4.440892098500626e-15,1.0000000000000044,0.0
driven_dt2p5e-4,D1,2,1,90,1.0,1e-10,90,122.8693864180037,3.1086244689504383e-15,1.000000000000003,0.0
driven_dt2p5e-4,D2,2,2,250,0.1,1e-10,250,180.89269081332947,6.439293542825908e-15,1.0000000000000064,0.0
driven_dt2p5e-4,D2,2,2,250,0.25,1e-10,250,180.89269081332947,5.551115123125783e-16,0.9999999999999994,0.0
driven_dt2p5e-4,D2,2,2,250,0.5,1e-10,250,180.89269081332947,1.1102230246251565e-16,0.9999999999999999,0.0
driven_dt2p5e-4,D2,2,2,250,1.0,1e-10,250,180.89269081332947,2.220446049250313e-16,0.9999999999999998,0.0
driven_dt2p5e-4,D3,3,2,500,0.1,1e-10,500,9487.759000571235,4.218847493575595e-15,1.0000000000000042,0.0
driven_dt2p5e-4,D3,3,2,500,0.25,1e-10,500,9487.759000571235,1.1102230246251565e-15,0.9999999999999989,0.0
driven_dt2p5e-4,D3,3,2,500,0.5,1e-10,500,9487.759000571235,2.6645352591003757e-15,0.9999999999999973,0.0
driven_dt2p5e-4,D3,3,2,500,1.0,1e-10,500,9487.759000571235,3.9968028886505635e-15,0.999999999999996,0.0
driven_dt2p5e-4,D3,3,2,500,0.5,1e-08,500,9487.759000571235,2.6645352591003757e-15,0.9999999999999973,0.0
driven_dt2p5e-4,D3,3,2,500,0.5,1e-12,500,9487.759000571235,2.6645352591003757e-15,0.9999999999999973,0.0
