case,reference_mode,eigen_index,conjugate_index,lambda_real,lambda_imag,observable,contribution_real,contribution_imag,reconstructed_variance_real,reconstructed_variance_imag,weight_real,weight_imag,weight_abs
driven_dt2p5e-4,0,1,-1,-0.9631910243268651,0.0,I2,1.2219232617147178,-2.003473318153748e-15,2.492111977490122,2.7517439602231072e-14,0.4903163552648031,-6.217908404639678e-15,0.4903163552648031
driven_dt2p5e-4,0,1,-1,-0.9631910243268651,0.0,I1_plus_I3,0.8438618025687671,4.97299179269349e-16,2.9843800647948284,5.630327193067904e-14,0.28275949585756976,-5.167902637106452e-15,0.28275949585756976
driven_dt2p5e-4,0,1,-1,-0.9631910243268651,0.0,cos_theta3,0.0602469544629748,8.931972553894012e-16,0.4900698722085263,1.7035314163781197e-14,0.12293543814776586,-2.450765948756043e-15,0.12293543814776586
driven_dt2p5e-4,0,1,-1,-0.9631910243268651,0.0,cos_even_sum,0.22450959081102068,2.48912425219266e-15,1.0043683387150852,-8.217429771455244e-16,0.2235331224182571,2.6611860635896493e-15,0.2235331224182571
driven_dt2p5e-4,0,1,-1,-0.9631910243268651,0.0,I1_minus_I3,0.026572832617950223,-2.6897659710177582e-15,4.969422780379849,-2.5576803575240603e-13,0.005347267437752412,-2.6604817908448603e-16,0.005347267437752412
driven_dt2p5e-4,1,2,-1,-1.8481229631188287,0.0,I2,0.006831058204993899,-2.266569227864628e-16,2.492111977490122,2.7517439602231072e-14,0.0027410719368531965,-1.2121614397055661e-16,0.0027410719368531965
driven_dt2p5e-4,1,2,-1,-1.8481229631188287,0.0,I1_plus_I3,0.04132319026413966,2.0500658267828854e-15,2.9843800647948284,5.630327193067904e-14,0.013846490516274294,4.257041926216149e-16,0.013846490516274294
driven_dt2p5e-4,1,2,-1,-1.8481229631188287,0.0,cos_theta3,0.012637421238387956,-3.4966634688289718e-16,0.4900698722085263,1.7035314163781197e-14,0.025786978459697463,-1.6098839594505798e-15,0.025786978459697463
driven_dt2p5e-4,1,2,-1,-1.8481229631188287,0.0,cos_even_sum,0.042486359694882694,-2.9070308880607816e-16,1.0043683387150852,-8.217429771455244e-16,0.0423015720997703,-2.548288901045111e-16,0.0423015720997703
driven_dt2p5e-4,1,2,-1,-1.8481229631188287,0.0,I1_minus_I3,0.05465809431921901,-8.800873335520579e-16,4.969422780379849,-2.5576803575240603e-13,0.010998881909387692,3.8899388788509273e-16,0.010998881909387692
driven_dt2p5e-4,2,3,-1,-2.0877156713269587,0.0,I2,-0.0015123154835586156,2.246413681626517e-16,2.492111977490122,2.7517439602231072e-14,-0.0006068409033055216,9.684158587070604e-17,0.0006068409033055216
driven_dt2p5e-4,2,3,-1,-2.0877156713269587,0.0,I1_plus_I3,0.12970764098739135,-2.5505559290483858e-15,2.9843800647948284,5.630327193067904e-14,0.04346217243490016,-1.6745918193540175e-15,0.04346217243490016
driven_dt2p5e-4,2,3,-1,-2.0877156713269587,0.0,cos_theta3,0.004395041615113631,-4.4568923136694437e-17,0.4900698722085263,1.7035314163781197e-14,0.008968193852250372,-4.0268731885542178e-16,0.008968193852250372
driven_dt2p5e-4,2,3,-1,-2.0877156713269587,0.0,cos_even_sum,0.008717207491456679,-1.8386630339448873e-16,1.0043683387150852,-8.217429771455244e-16,0.008679293398086235,-1.7596547818714247e-16,0.008679293398086235
driven_dt2p5e-4,2,3,-1,-2.0877156713269587,0.0,I1_minus_I3,0.035090838881696555,-6.120856233910928e-16,4.969422780379849,-2.5576803575240603e-13,0.007061351072853235,2.4026578599526185e-16,0.007061351072853235
driven_dt2p5e-4,3,4,-1,-2.6741973789419244,0.0,I2,0.07964162696842596,1.1209657566684283e-15,2.492111977490122,2.7517439602231072e-14,0.03195748332650579,9.693691197427594e-17,0.03195748332650579
driven_dt2p5e-4,3,4,-1,-2.6741973789419244,0.0,I1_plus_I3,-0.005149084973444126,2.4516481201084058e-17,2.9843800647948284,5.630327193067904e-14,-0.0017253449164150335,4.07652653357937e-17,0.0017253449164150335
driven_dt2p5e-4,3,4,-1,-2.6741973789419244,0.0,cos_theta3,0.037250225391037804,4.45513634605541e-16,0.4900698722085263,1.7035314163781197e-14,0.07601002939268162,-1.7331020408772152e-15,0.07601002939268162
driven_dt2p5e-4,3,4,-1,-2.6741973789419244,0.0,cos_even_sum,0.28374510269660735,-4.842995198338379e-15,1.0043683387150852,-8.217429771455244e-16,0.28251099896240245,-4.590789644836307e-15,0.28251099896240245
driven_dt2p5e-4,3,4,-1,-2.6741973789419244,0.0,I1_minus_I3,0.027386212185503887,-4.524408789954967e-15,4.969422780379849,-2.5576803575240603e-13,0.005510944307984711,-6.268103010794187e-16,0.005510944307984711
