case,replicate,reference_mode,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
equilibrium_dt1e-3,0,0,-0.95514893253253,0.0,1,0.011204975698031139,0.6168206647607799,0.0,-0.9663539082305611,0.0,500,8.881784197001252e-16
equilibrium_dt1e-3,0,1,-1.9262415839790412,0.0,1,0.15232011577110116,0.3537089603586801,0.0,-2.0785616997501424,0.0,500,8.881784197001252e-16
equilibrium_dt1e-3,0,2,-2.2399767243410045,0.0,1,0.1614150245908621,0.3537089603586801,0.0,-2.0785616997501424,0.0,500,8.881784197001252e-16
equilibrium_dt1e-3,0,3,-2.8338177497142727,0.0,1,0.012552078017471935,0.2409454032069588,0.0,-2.8463698277317446,0.0,500,8.881784197001252e-16
equilibrium_dt1e-3,0,4,-2.984235371913249,3.6121464590980006,1,0.27465522234306694,-0.046388983588247557,0.19048023379191453,-3.2587956935156335,3.6193659439767703,500,8.881784197001252e-16
equilibrium_dt1e-3,1,0,-0.95514893253253,0.0,1,0.01170070245507826,0.6239256208714145,0.0,-0.9434482300774517,0.0,500,1.3322676295501878e-15
equilibrium_dt1e-3,1,1,-1.9262415839790412,0.0,1,0.1196031414494847,0.3595426892432759,0.0,-2.045844725428526,0.0,500,1.3322676295501878e-15
equilibrium_dt1e-3,1,2,-2.2399767243410045,0.0,1,0.19413199891247856,0.3595426892432759,0.0,-2.045844725428526,0.0,500,1.3322676295501878e-15
equilibrium_dt1e-3,1,3,-2.8338177497142727,0.0,1,0.05063348390465583,0.2364010346401326,0.0,-2.8844512336189285,0.0,500,1.3322676295501878e-15
equilibrium_dt1e-3,1,4,-2.984235371913249,3.6121464590980006,1,0.552772297696756,-0.07206081389199016,0.16641109821069366,-3.4147260475807206,3.958895635397404,500,1.3322676295501878e-15
equilibrium_dt1e-3,2,0,-0.95514893253253,0.0,1,0.005008947512072037,0.621841530692101,0.0,-0.9501399850204579,0.0,500,3.1086244689504383e-15
equilibrium_dt1e-3,2,1,-1.9262415839790412,0.0,1,0.026799245634683055,0.3868488738095265,0.0,-1.8994423383443582,0.0,500,3.1086244689504383e-15
equilibrium_dt1e-3,2,2,-2.2399767243410045,0.0,1,0.11801585343675036,0.346116299232569,0.0,-2.121960870904254,0.0,500,3.1086244689504383e-15
equilibrium_dt1e-3,2,3,-2.8338177497142727,0.0,1,0.010695213785426816,0.2411692085354551,0.0,-2.8445129634996995,0.0,500,3.1086244689504383e-15
equilibrium_dt1e-3,2,4,-2.984235371913249,3.6121464590980006,1,0.39781669440938444,-0.0127319267231895,0.20338405993094963,-3.181407179533946,3.2666303225278015,500,3.1086244689504383e-15
equilibrium_dt1e-3,3,0,-0.95514893253253,0.0,1,0.009969084744237189,0.6233856543313773,0.0,-0.9451798477882928,0.0,500,1.887379141862766e-15
equilibrium_dt1e-3,3,1,-1.9262415839790412,0.0,1,0.16795189868831217,0.3509551851392626,0.0,-2.0941934826673534,0.0,500,1.887379141862766e-15
equilibrium_dt1e-3,3,2,-2.2399767243410045,0.0,1,0.1457832416736511,0.3509551851392626,0.0,-2.0941934826673534,0.0,500,1.887379141862766e-15
equilibrium_dt1e-3,3,3,-2.8338177497142727,0.0,1,0.00292117539265746,0.2421084621444216,0.0,-2.83673892510693,0.0,500,1.887379141862766e-15
equilibrium_dt1e-3,3,4,-2.984235371913249,3.6121464590980006,1,0.43134404148594097,-0.06505611511010474,0.17617795565544536,-3.34469502810508,3.8490568184820773,500,1.887379141862766e-15
equilibrium_dt1e-3,4,0,-0.95514893253253,0.0,1,0.009087401498142134,0.6231109005536376,0.0,-0.9460615310343878,0.0,500,3.552713678800501e-15
equilibrium_dt1e-3,4,1,-1.9262415839790412,0.0,1,0.18757543189492631,0.34752853302035713,0.0,-2.1138170158739675,0.0,500,3.552713678800501e-15
equilibrium_dt1e-3,4,2,-2.2399767243410045,0.0,1,0.12615970846703695,0.34752853302035713,0.0,-2.1138170158739675,0.0,500,3.552713678800501e-15
equilibrium_dt1e-3,4,3,-2.8338177497142727,0.0,1,0.05015688724819878,0.248619806420946,0.0,-2.783660862466074,0.0,500,3.552713678800501e-15
equilibrium_dt1e-3,4,4,-2.984235371913249,3.6121464590980006,1,0.5089964257165229,-0.1088954642996261,0.24561202559944478,-2.628543939787463,3.976235687865487,500,3.552713678800501e-15
equilibrium_dt1e-3,5,0,-0.95514893253253,0.0,1,0.02124709661363311,0.6137313332619476,0.0,-0.9763960291461631,0.0,500,1.9984014443252818e-15
equilibrium_dt1e-3,5,1,-1.9262415839790412,0.0,1,0.16091580337876588,0.352192036580755,0.0,-2.087157387357807,0.0,500,1.9984014443252818e-15
equilibrium_dt1e-3,5,2,-2.2399767243410045,0.0,1,0.15281933698319738,0.352192036580755,0.0,-2.087157387357807,0.0,500,1.9984014443252818e-15
equilibrium_dt1e-3,5,3,-2.8338177497142727,0.0,1,0.02667977135543763,0.2438946085355087,0.002910762053742274,-2.8218957361315242,0.023867882011422616,500,1.9984014443252818e-15
equilibrium_dt1e-3,5,4,-2.984235371913249,3.6121464590980006,1,0.53863750015883,-0.023209978571744602,0.17377202782621035,-3.4823395187824615,3.407152275158437,500,1.9984014443252818e-15
equilibrium_dt1e-3,6,0,-0.95514893253253,0.0,1,0.012283969369412895,0.6241076049922838,0.0,-0.9428649631631171,0.0,500,1.1102230246251565e-16
equilibrium_dt1e-3,6,1,-1.9262415839790412,0.0,1,0.013222496698299224,0.37918463067665276,0.0,-1.9394640806773404,0.0,500,1.1102230246251565e-16
equilibrium_dt1e-3,6,2,-2.2399767243410045,0.0,1,0.050313817921662896,0.3345959972776678,0.0,-2.1896629064193416,0.0,500,1.1102230246251565e-16
equilibrium_dt1e-3,6,3,-2.8338177497142727,0.0,1,0.023583606814890246,0.2453383326573219,0.0,-2.8102341428993824,0.0,500,1.1102230246251565e-16
equilibrium_dt1e-3,6,4,-2.984235371913249,3.6121464590980006,1,0.5837511750301235,0.007737180791765349,0.20289629995674385,-3.188667415639266,3.065362247688185,500,1.1102230246251565e-16
equilibrium_dt1e-3,7,0,-0.95514893253253,0.0,1,0.007234015951296913,0.6180465663749082,0.0,-0.9623829484838269,0.0,500,4.440892098500626e-16
equilibrium_dt1e-3,7,1,-1.9262415839790412,0.0,1,0.18000880987152001,0.34884583185054274,0.0,-2.1062503938505612,0.0,500,4.440892098500626e-16
equilibrium_dt1e-3,7,2,-2.2399767243410045,0.0,1,0.13372633049044325,0.34884583185054274,0.0,-2.1062503938505612,0.0,500,4.440892098500626e-16
equilibrium_dt1e-3,7,3,-2.8338177497142727,0.0,1,0.024718883492669708,0.239484084682711,0.0,-2.8585366332069424,0.0,500,4.440892098500626e-16
equilibrium_dt1e-3,7,4,-2.984235371913249,3.6121464590980006,1,0.3603936397809103,-0.09408819990264841,0.21883472540691268,-2.869254235368338,3.9537059910003807,500,4.440892098500626e-16
equilibrium_dt1e-3,8,0,-0.95514893253253,0.0,1,0.003685810916526977,0.6191440175517761,0.0,-0.958834743449057,0.0,500,3.1086244689504383e-15
