case,dictionary,d,M,K,tau,cutoff,kept,condition,trivial_error,trivial_mu_real,trivial_mu_imag
equilibrium_dt1e-3,D1,2,1,90,0.1,1e-10,90,102.53918167443194,3.774758283725532e-15,1.0000000000000038,0.0
equilibrium_dt1e-3,D1,2,1,90,0.25,1e-10,90,102.53918167443194,2.6645352591003757e-15,1.0000000000000027,0.0
equilibrium_dt1e-3,D1,2,1,90,0.5,1e-10,90,102.53918167443194,8.881784197001252e-16,1.0000000000000009,0.0
equilibrium_dt1e-3,D1,2,1,90,1.0,1e-10,90,102.53918167443194,6.661338147750939e-16,1.0000000000000007,0.0
equilibrium_dt1e-3,D2,2,2,250,0.1,1e-10,250,136.69212928959382,4.440892098500626e-16,0.9999999999999996,0.0
equilibrium_dt1e-3,D2,2,2,250,0.25,1e-10,250,136.69212928959382,1.9984014443252818e-15,0.999999999999998,0.0
equilibrium_dt1e-3,D2,2,2,250,0.5,1e-10,250,136.69212928959382,1.6653345369377348e-15,0.9999999999999983,0.0
equilibrium_dt1e-3,D2,2,2,250,1.0,1e-10,250,136.69212928959382,6.661338147750939e-16,0.9999999999999993,0.0
equilibrium_dt1e-3,D3,3,2,500,0.1,1e-10,500,14097.496515083769,7.105427357601002e-15,1.000000000000007,0.0
equilibrium_dt1e-3,D3,3,2,500,0.25,1e-10,500,14097.496515083769,1.5543122344752192e-15,1.0000000000000016,0.0
equilibrium_dt1e-3,D3,3,2,500,0.5,1e-10,500,14097.496515083769,2.220446049250313e-16,1.0000000000000002,0.0
equilibrium_dt1e-3,D3,3,2,500,1.0,1e-10,500,14097.496515083769,1.7763568394002505e-15,1.0000000000000018,0.0
equilibrium_dt1e-3,D3,3,2,500,0.5,1e-08,500,14097.496515083769,2.220446049250313e-16,1.0000000000000002,0.0
equilibrium_dt1e-3,D3,3,2,500,0.5,1e-12,500,14097.496515083769,2.220446049250313e-16,1.0000000000000002,0.0
