case,dictionary,d,M,K,tau,cutoff,kept,condition,trivial_error,trivial_mu_real,trivial_mu_imag
equilibrium_dt2p5e-4,D1,2,1,90,0.1,1e-10,90,105.81463572351129,8.881784197001252e-16,0.9999999999999991,0.0
equilibrium_dt2p5e-4,D1,2,1,90,0.25,1e-10,90,105.81463572351129,1.1102230246251565e-16,0.9999999999999999,0.0
equilibrium_dt2p5e-4,D1,2,1,90,0.5,1e-10,90,105.81463572351129,1.9984014443252818e-15,1.000000000000002,0.0
equilibrium_dt2p5e-4,D1,2,1,90,1.0,1e-10,90,105.81463572351129,1.9984014443252818e-15,0.999999999999998,0.0
equilibrium_dt2p5e-4,D2,2,2,250,0.1,1e-10,250,139.1528297732779,1.5543122344752192e-15,0.9999999999999984,0.0
equilibrium_dt2p5e-4,D2,2,2,250,0.25,1e-10,250,139.1528297732779,4.884981308350689e-15,0.9999999999999951,0.0
equilibrium_dt2p5e-4,D2,2,2,250,0.5,1e-10,250,139.1528297732779,2.220446049250313e-15,0.9999999999999978,0.0
equilibrium_dt2p5e-4,D2,2,2,250,1.0,1e-10,250,139.1528297732779,3.1086244689504383e-15,0.9999999999999969,0.0
equilibrium_dt2p5e-4,D3,3,2,500,0.1,1e-10,500,4266.568688078975,1.7763568394002505e-15,1.0000000000000018,0.0
equilibrium_dt2p5e-4,D3,3,2,500,0.25,1e-10,500,4266.568688078975,2.4424906541753444e-15,1.0000000000000024,0.0
equilibrium_dt2p5e-4,D3,3,2,500,0.5,1e-10,500,4266.568688078975,2.220446049250313e-15,1.0000000000000022,0.0
equilibrium_dt2p5e-4,D3,3,2,500,1.0,1e-10,500,4266.568688078975,0.0,1.0,0.0
equilibrium_dt2p5e-4,D3,3,2,500,0.5,1e-08,500,4266.568688078975,2.220446049250313e-15,1.0000000000000022,0.0
equilibrium_dt2p5e-4,D3,3,2,500,0.5,1e-12,500,4266.568688078975,2.220446049250313e-15,1.0000000000000022,0.0
