case,reference_mode,eigen_index,conjugate_index,lambda_real,lambda_imag,observable,contribution_real,contribution_imag,reconstructed_variance_real,reconstructed_variance_imag,weight_real,weight_imag,weight_abs
equilibrium_dt2p5e-4,0,1,-1,-0.9407584041517817,0.0,I2,1.1057245748501017,1.8561215297666312e-16,2.3457218734514234,2.732189474663471e-16,0.47137923185376296,2.4223850250616468e-17,0.47137923185376296
equilibrium_dt2p5e-4,0,1,-1,-0.9407584041517817,0.0,I1_plus_I3,0.7896473500030726,7.31090509929539e-16,2.9347608572669994,-3.885346905319054e-14,0.2690670171805525,3.811308000613286e-15,0.2690670171805525
equilibrium_dt2p5e-4,0,1,-1,-0.9407584041517817,0.0,cos_theta3,0.05166829751388845,1.6816372446728886e-16,0.4890343148974918,6.513886652292911e-16,0.10565372600636179,2.031392928496788e-16,0.10565372600636179
equilibrium_dt2p5e-4,0,1,-1,-0.9407584041517817,0.0,cos_even_sum,0.20941198719223844,7.252723590820585e-16,0.9944272445344108,-3.233090878351774e-16,0.2105855288491063,7.978025327503972e-16,0.2105855288491063
equilibrium_dt2p5e-4,0,1,-1,-0.9407584041517817,0.0,I1_minus_I3,0.00017270326000786885,2.1649766229585445e-17,4.888339375323216,-8.146261443187086e-15,3.532963788882799e-05,4.487734793386856e-18,3.532963788882799e-05
equilibrium_dt2p5e-4,1,2,-1,-1.7926057547050551,0.0,I2,0.011216483528034778,-3.3513896655381705e-17,2.3457218734514234,2.732189474663471e-16,0.0047816766578260995,-1.4844190060658712e-17,0.0047816766578260995
equilibrium_dt2p5e-4,1,2,-1,-1.7926057547050551,0.0,I1_plus_I3,0.010676151975193495,-2.973632238769356e-16,2.9347608572669994,-3.885346905319054e-14,0.0036378268943983664,-5.3163115089336184e-17,0.0036378268943983664
equilibrium_dt2p5e-4,1,2,-1,-1.7926057547050551,0.0,cos_theta3,0.005047761197578478,-2.178192918456702e-17,0.4890343148974918,6.513886652292911e-16,0.010321895711217234,-5.82893555445243e-17,0.010321895711217234
equilibrium_dt2p5e-4,1,2,-1,-1.7926057547050551,0.0,cos_even_sum,0.022730275420841495,-4.934699398517279e-16,0.9944272445344108,-3.233090878351774e-16,0.02285765554571443,-4.888038363377444e-16,0.02285765554571443
equilibrium_dt2p5e-4,1,2,-1,-1.7926057547050551,0.0,I1_minus_I3,-9.577762800218845e-05,3.275480862590218e-17,4.888339375323216,-8.146261443187086e-15,-1.9593080727103903e-05,6.6679491265204006e-18,1.9593080727103903e-05
equilibrium_dt2p5e-4,2,3,-1,-2.1516394334588527,0.0,I2,0.003852900995903596,-1.9135186217560253e-16,2.3457218734514234,2.732189474663471e-16,0.0016425225170597722,-8.176614313047004e-17,0.0016425225170597722
equilibrium_dt2p5e-4,2,3,-1,-2.1516394334588527,0.0,I1_plus_I3,0.06150032244991291,9.77452528540693e-17,2.9347608572669994,-3.885346905319054e-14,0.020955820743494984,3.1074136188558696e-16,0.020955820743494984
equilibrium_dt2p5e-4,2,3,-1,-2.1516394334588527,0.0,cos_theta3,0.006643075966647176,-7.457913384018729e-17,0.4890343148974918,6.513886652292911e-16,0.013584069183447086,-1.7059670455121908e-16,0.013584069183447086
equilibrium_dt2p5e-4,2,3,-1,-2.1516394334588527,0.0,cos_even_sum,0.02740601252529875,-9.679000425106808e-16,0.9944272445344108,-3.233090878351774e-16,0.027559595411256254,-9.64363939270548e-16,0.027559595411256254
equilibrium_dt2p5e-4,2,3,-1,-2.1516394334588527,0.0,I1_minus_I3,-9.895610444510126e-05,3.4101478808626405e-18,4.888339375323216,-8.146261443187086e-15,-2.0243296720485634e-05,6.638738524759193e-19,2.0243296720485634e-05
equilibrium_dt2p5e-4,3,4,-1,-2.5437710919280434,0.0,I2,-0.004112445093716294,-7.091801107377647e-16,2.3457218734514234,2.732189474663471e-16,-0.0017531682422628255,-3.021249535065814e-16,0.0017531682422628255
equilibrium_dt2p5e-4,3,4,-1,-2.5437710919280434,0.0,I1_plus_I3,0.33360911210668986,1.285596673476193e-14,2.9347608572669994,-3.885346905319054e-14,0.1136750584909204,5.885534781884648e-15,0.1136750584909204
equilibrium_dt2p5e-4,3,4,-1,-2.5437710919280434,0.0,cos_theta3,-0.0002869918201414514,1.2192226340625315e-16,0.4890343148974918,6.513886652292911e-16,-0.0005868541560352647,2.50093970557616e-16,0.0005868541560352647
equilibrium_dt2p5e-4,3,4,-1,-2.5437710919280434,0.0,cos_even_sum,-0.0022638802360808617,3.696004753018302e-16,0.9944272445344108,-3.233090878351774e-16,-0.0022765669872015695,3.7093155133586885e-16,0.0022765669872015695
equilibrium_dt2p5e-4,3,4,-1,-2.5437710919280434,0.0,I1_minus_I3,-0.00028144827791407517,4.9210626264993e-17,4.888339375323216,-8.146261443187086e-15,-5.7575437445045604e-05,9.970993819478215e-18,5.7575437445045604e-05
equilibrium_dt2p5e-4,4,5,-1,-2.862537701207786,0.0,I2,0.07339514616534958,1.9407279756285346e-15,2.3457218734514234,2.732189474663471e-16,0.03128893795808717,8.237034691966003e-16,0.03128893795808717
