case,mode,reference_real,reference_imag,tau,lambda_real,lambda_imag,pass,real_range,real_tolerance,imag_range,imag_tolerance
driven_dt1e-3,0,-0.9401735849314701,0.0,0.1,-0.9779417678649287,0.0,True,0.05611121613439818,0.19021043474434474,0.0,0.5
driven_dt1e-3,0,-0.9401735849314701,0.0,0.25,-0.9619307625119772,0.0,True,0.05611121613439818,0.19021043474434474,0.0,0.5
driven_dt1e-3,0,-0.9401735849314701,0.0,0.5,-0.9401735849314701,0.0,True,0.05611121613439818,0.19021043474434474,0.0,0.5
driven_dt1e-3,0,-0.9401735849314701,0.0,1.0,-0.9218305517305305,0.0,True,0.05611121613439818,0.19021043474434474,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,0.1,-2.0928697393608617,0.0,True,0.340120919456411,0.36418535059374385,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,0.25,-1.8833933940061514,0.0,True,0.340120919456411,0.36418535059374385,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,0.5,-1.7527488199044507,0.0,True,0.340120919456411,0.36418535059374385,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,1.0,-1.758460111931287,0.0,True,0.340120919456411,0.36418535059374385,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,0.1,-2.0928697393608617,0.0,True,0.26306790141252234,0.439061153236412,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,0.25,-2.151001055831621,0.0,True,0.26306790141252234,0.439061153236412,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,0.5,-2.2396104765324987,0.0,True,0.26306790141252234,0.439061153236412,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,1.0,-2.355937640773384,0.0,True,0.26306790141252234,0.439061153236412,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,0.1,-2.0928697393608617,0.0,True,0.26306790141252234,0.4468443721695411,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,0.25,-2.151001055831621,0.0,True,0.26306790141252234,0.4468443721695411,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,0.5,-2.3174426658637897,0.0,True,0.26306790141252234,0.4468443721695411,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,1.0,-2.355937640773384,0.0,True,0.26306790141252234,0.4468443721695411,0.0,0.5
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,0.1,nan,nan,False,nan,nan,nan,nan
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,0.25,nan,nan,False,nan,nan,nan,nan
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,0.5,-2.6524200481523486,3.060159041643113,False,nan,nan,nan,nan
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,1.0,-2.6020334259618654,3.0726072236783186,False,nan,nan,nan,nan
driven_dt1e-3,5,-2.7189907205137063,0.0,0.1,-3.104915534680157,0.0,True,0.3926015922370629,0.5614315014054029,0.16160209125251287,0.5
driven_dt1e-3,5,-2.7189907205137063,0.0,0.25,-2.8953242935403227,0.16160209125251287,True,0.3926015922370629,0.5614315014054029,0.16160209125251287,0.5
driven_dt1e-3,5,-2.7189907205137063,0.0,0.5,-2.7189907205137063,0.0,True,0.3926015922370629,0.5614315014054029,0.16160209125251287,0.5
driven_dt1e-3,5,-2.7189907205137063,0.0,1.0,-2.712313942443094,0.0,True,0.3926015922370629,0.5614315014054029,0.16160209125251287,0.5
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,0.1,-3.973484671502815,5.358170763075185,False,nan,nan,nan,nan
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,0.25,-4.217195787195781,4.849739189060999,False,nan,nan,nan,nan
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,0.5,-2.9604741803555354,5.370695425996387,False,nan,nan,nan,nan
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,1.0,nan,nan,False,nan,nan,nan,nan
driven_dt2p5e-4,0,-0.9631910243268651,0.0,0.1,-1.0558124534749154,0.0,True,0.11072546102904834,0.19501628657762818,0.0,0.5
driven_dt2p5e-4,0,-0.9631910243268651,0.0,0.25,-0.9869718414494166,0.0,True,0.11072546102904834,0.19501628657762818,0.0,0.5
driven_dt2p5e-4,0,-0.9631910243268651,0.0,0.5,-0.9631910243268651,0.0,True,0.11072546102904834,0.19501628657762818,0.0,0.5
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-0.945086992445867,0.0,True,0.11072546102904834,0.19501628657762818,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,0.1,-2.0103247308870325,0.0,True,0.27226779024820535,0.38470773188526924,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,0.25,-1.9989543557338636,0.0,True,0.27226779024820535,0.38470773188526924,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,0.5,-1.8481229631188287,0.0,True,0.27226779024820535,0.38470773188526924,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,1.0,-1.738056940638827,0.0,True,0.27226779024820535,0.38470773188526924,0.0,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,0.1,-2.0103247308870325,0.0,True,0.26756678485532603,0.40980404022139916,0.06437040798262872,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,0.25,-1.9989543557338636,0.0,True,0.26756678485532603,0.40980404022139916,0.06437040798262872,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,0.5,-2.0877156713269587,0.0,True,0.26756678485532603,0.40980404022139916,0.06437040798262872,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,1.0,-2.2665211405891896,0.06437040798262872,True,0.26756678485532603,0.40980404022139916,0.06437040798262872,0.5
