case,mode,lambda_real,lambda_imag,I_equal,theta1,theta3,phi_real,phi_imag
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-3.141592653589793,0.43551060784011686,5.3334667188611745e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-3.0630528372500483,0.4314706749736816,5.2839918103246706e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.9845130209103035,0.42790872090443405,5.240370453828533e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.9059732045705586,0.4249141299835083,5.203697291967856e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.827433388230814,0.4225875206831279,5.1752045456420836e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.748893571891069,0.4210381023012359,5.1562296430228425e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.670353755551324,0.42038066575926086,5.1481783674551216e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.5918139392115793,0.4207322845631356,5.152484455881969e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.5132741228718345,0.42220881007400296,5.170566678289408e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.4347343065320897,0.42492125122147045,5.2037845019806267e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.356194490192345,0.42897213253563843,5.25339349033184e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.2776546738526,0.4344519257768262,5.3205016028599386e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.199114857512855,0.44143564946395397,5.406027551455643e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.1205750411731104,0.44997972726290697,5.5106623267371836e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-2.0420352248333655,0.46011919057224493,5.63483493960571e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-1.9634954084936207,0.4718653028691274,5.778683327873728e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-1.8849555921538759,0.4852036736405015,5.942031258583774e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-1.806415775814131,0.5000929182591419,6.124371916223168e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-1.7278759594743862,0.5164639072497895,6.324858708885898e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-1.6493361431346414,0.5342196343421146,6.542303652387394e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-1.5707963267948966,0.5532357178675843,6.775183510605251e-17
driven_dt2p5e-4,0,-0.9631910243268651,0.0,1.0,-3.141592653589793,-1.4922565104551517,0.5733615347895172,7.021653683341963e-17
