case,mode,reference_real,reference_imag,comparison_case,lambda_real,lambda_imag,pass,real_range,real_tolerance,imag_range,imag_tolerance
driven_dt1e-3,0,-0.9401735849314701,0.0,driven_dt2p5e-4,-0.9631910243268651,0.0,True,0.023017439395395023,0.19033646092583353,0.0,0.5
driven_dt1e-3,1,-1.7527488199044507,0.0,driven_dt2p5e-4,-1.8481229631188287,0.0,True,0.09537414321437798,0.360087178302328,0.0,0.5
driven_dt1e-3,2,-2.2396104765324987,0.0,driven_dt2p5e-4,-2.0877156713269587,0.0,True,0.15189480520554,0.43273261478594577,0.0,0.5
driven_dt1e-3,3,-2.3174426658637897,0.0,driven_dt2p5e-4,-2.0877156713269587,0.0,True,0.229726994536831,0.4405158337190749,0.0,0.5
driven_dt1e-3,4,-2.6524200481523486,3.060159041643113,driven_dt2p5e-4,-3.8498544527825405,2.835130994028432,False,1.197434404630192,0.6502274500934889,0.2250280476146811,0.5895290035671545
driven_dt1e-3,5,-2.7189907205137063,0.0,driven_dt2p5e-4,-2.6741973789419244,0.0,True,0.04479334157178183,0.5393188099455631,0.0,0.5
driven_dt1e-3,6,-2.9604741803555354,5.370695425996387,driven_dt2p5e-4,-3.925152898259141,5.1494807988514255,False,0.9646787179036056,0.6885627078614678,0.22121462714496154,1.0520176224847813
driven_dt2p5e-4,0,-0.9631910243268651,0.0,driven_dt1e-3,-0.9401735849314701,0.0,True,0.023017439395395023,0.19033646092583353,0.0,0.5
driven_dt2p5e-4,1,-1.8481229631188287,0.0,driven_dt1e-3,-1.7527488199044507,0.0,True,0.09537414321437798,0.360087178302328,0.0,0.5
driven_dt2p5e-4,2,-2.0877156713269587,0.0,driven_dt1e-3,-2.2396104765324987,0.0,True,0.15189480520554,0.43273261478594577,0.0,0.5
driven_dt2p5e-4,3,-2.6741973789419244,0.0,driven_dt1e-3,-2.7189907205137063,0.0,True,0.04479334157178183,0.5393188099455631,0.0,0.5
equilibrium_dt1e-3,0,-0.95514893253253,0.0,equilibrium_dt2p5e-4,-0.9407584041517817,0.0,True,0.01439052838074828,0.18959073366843118,0.0,0.5
equilibrium_dt1e-3,1,-1.9262415839790412,0.0,equilibrium_dt2p5e-4,-1.7926057547050551,0.0,True,0.1336358292739861,0.37188473386840964,0.0,0.5
equilibrium_dt1e-3,2,-2.2399767243410045,0.0,equilibrium_dt2p5e-4,-2.1516394334588527,0.0,True,0.08833729088215181,0.4391616157799858,0.0,0.5
equilibrium_dt1e-3,3,-2.8338177497142727,0.0,equilibrium_dt2p5e-4,-2.862537701207786,0.0,True,0.028719951493513474,0.5696355450922059,0.0,0.5
equilibrium_dt1e-3,4,-2.984235371913249,3.6121464590980006,equilibrium_dt2p5e-4,-3.808765117882839,4.1865215517321435,False,0.8245297459695897,0.6793000489796088,0.5743750926341429,0.7798668010830144
equilibrium_dt2p5e-4,0,-0.9407584041517817,0.0,equilibrium_dt1e-3,-0.95514893253253,0.0,True,0.01439052838074828,0.18959073366843118,0.0,0.5
equilibrium_dt2p5e-4,1,-1.7926057547050551,0.0,equilibrium_dt1e-3,-1.9262415839790412,0.0,True,0.1336358292739861,0.37188473386840964,0.0,0.5
equilibrium_dt2p5e-4,2,-2.1516394334588527,0.0,equilibrium_dt1e-3,-2.2399767243410045,0.0,True,0.08833729088215181,0.4391616157799858,0.0,0.5
equilibrium_dt2p5e-4,3,-2.5437710919280434,0.0,equilibrium_dt1e-3,-2.8338177497142727,0.0,True,0.2900466577862293,0.5377588841642317,0.0,0.5
equilibrium_dt2p5e-4,4,-2.862537701207786,0.0,equilibrium_dt1e-3,-2.8338177497142727,0.0,True,0.028719951493513474,0.5696355450922059,0.0,0.5
