case,dictionary,tau,cutoff,kept,condition,mu_real,mu_imag,error,pass
driven_dt1e-3,D1,0.1,1e-10,90,125.92187471856245,1.0000000000000053,0.0,5.329070518200751e-15,True
driven_dt1e-3,D1,0.25,1e-10,90,125.92187471856245,1.0000000000000064,0.0,6.439293542825908e-15,True
driven_dt1e-3,D1,0.5,1e-10,90,125.92187471856245,1.000000000000004,0.0,3.9968028886505635e-15,True
driven_dt1e-3,D1,1.0,1e-10,90,125.92187471856245,1.0000000000000064,0.0,6.439293542825908e-15,True
driven_dt1e-3,D2,0.1,1e-10,250,190.6362263005873,1.0000000000000036,0.0,3.552713678800501e-15,True
driven_dt1e-3,D2,0.25,1e-10,250,190.6362263005873,1.0000000000000024,0.0,2.4424906541753444e-15,True
driven_dt1e-3,D2,0.5,1e-10,250,190.6362263005873,0.9999999999999991,0.0,8.881784197001252e-16,True
driven_dt1e-3,D2,1.0,1e-10,250,190.6362263005873,1.0000000000000004,0.0,4.440892098500626e-16,True
driven_dt1e-3,D3,0.1,1e-10,500,7686.070934699198,1.0000000000000115,0.0,1.1546319456101628e-14,True
driven_dt1e-3,D3,0.25,1e-10,500,7686.070934699198,1.000000000000006,0.0,5.995204332975845e-15,True
driven_dt1e-3,D3,0.5,1e-10,500,7686.070934699198,1.0000000000000064,0.0,6.439293542825908e-15,True
driven_dt1e-3,D3,1.0,1e-10,500,7686.070934699198,1.0000000000000038,0.0,3.774758283725532e-15,True
driven_dt1e-3,D3,0.5,1e-08,500,7686.070934699198,1.0000000000000064,0.0,6.439293542825908e-15,True
driven_dt1e-3,D3,0.5,1e-12,500,7686.070934699198,1.0000000000000064,0.0,6.439293542825908e-15,True
driven_dt2p5e-4,D1,0.1,1e-10,90,122.8693864180037,1.0000000000000036,0.0,3.552713678800501e-15,True
driven_dt2p5e-4,D1,0.25,1e-10,90,122.8693864180037,1.0000000000000018,0.0,1.7763568394002505e-15,True
driven_dt2p5e-4,D1,0.5,1e-10,90,122.8693864180037,1.0000000000000044,0.0,4.440892098500626e-15,True
driven_dt2p5e-4,D1,1.0,1e-10,90,122.8693864180037,1.000000000000003,0.0,3.1086244689504383e-15,True
driven_dt2p5e-4,D2,0.1,1e-10,250,180.89269081332947,1.0000000000000064,0.0,6.439293542825908e-15,True
driven_dt2p5e-4,D2,0.25,1e-10,250,180.89269081332947,0.9999999999999994,0.0,5.551115123125783e-16,True
driven_dt2p5e-4,D2,0.5,1e-10,250,180.89269081332947,0.9999999999999999,0.0,1.1102230246251565e-16,True
driven_dt2p5e-4,D2,1.0,1e-10,250,180.89269081332947,0.9999999999999998,0.0,2.220446049250313e-16,True
driven_dt2p5e-4,D3,0.1,1e-10,500,9487.759000571235,1.0000000000000042,0.0,4.218847493575595e-15,True
driven_dt2p5e-4,D3,0.25,1e-10,500,9487.759000571235,0.9999999999999989,0.0,1.1102230246251565e-15,True
driven_dt2p5e-4,D3,0.5,1e-10,500,9487.759000571235,0.9999999999999973,0.0,2.6645352591003757e-15,True
driven_dt2p5e-4,D3,1.0,1e-10,500,9487.759000571235,0.999999999999996,0.0,3.9968028886505635e-15,True
driven_dt2p5e-4,D3,0.5,1e-08,500,9487.759000571235,0.9999999999999973,0.0,2.6645352591003757e-15,True
driven_dt2p5e-4,D3,0.5,1e-12,500,9487.759000571235,0.9999999999999973,0.0,2.6645352591003757e-15,True
equilibrium_dt1e-3,D1,0.1,1e-10,90,102.53918167443194,1.0000000000000038,0.0,3.774758283725532e-15,True
equilibrium_dt1e-3,D1,0.25,1e-10,90,102.53918167443194,1.0000000000000027,0.0,2.6645352591003757e-15,True
equilibrium_dt1e-3,D1,0.5,1e-10,90,102.53918167443194,1.0000000000000009,0.0,8.881784197001252e-16,True
equilibrium_dt1e-3,D1,1.0,1e-10,90,102.53918167443194,1.0000000000000007,0.0,6.661338147750939e-16,True
equilibrium_dt1e-3,D2,0.1,1e-10,250,136.69212928959382,0.9999999999999996,0.0,4.440892098500626e-16,True
equilibrium_dt1e-3,D2,0.25,1e-10,250,136.69212928959382,0.999999999999998,0.0,1.9984014443252818e-15,True
equilibrium_dt1e-3,D2,0.5,1e-10,250,136.69212928959382,0.9999999999999983,0.0,1.6653345369377348e-15,True
equilibrium_dt1e-3,D2,1.0,1e-10,250,136.69212928959382,0.9999999999999993,0.0,6.661338147750939e-16,True
equilibrium_dt1e-3,D3,0.1,1e-10,500,14097.496515083769,1.000000000000007,0.0,7.105427357601002e-15,True
equilibrium_dt1e-3,D3,0.25,1e-10,500,14097.496515083769,1.0000000000000016,0.0,1.5543122344752192e-15,True
equilibrium_dt1e-3,D3,0.5,1e-10,500,14097.496515083769,1.0000000000000002,0.0,2.220446049250313e-16,True
equilibrium_dt1e-3,D3,1.0,1e-10,500,14097.496515083769,1.0000000000000018,0.0,1.7763568394002505e-15,True
equilibrium_dt1e-3,D3,0.5,1e-08,500,14097.496515083769,1.0000000000000002,0.0,2.220446049250313e-16,True
