source,n,tau,plus_log_survival_rmse_vs_normal,minus_log_survival_rmse_vs_normal,plus_thresholds_used,minus_thresholds_used,sample_count,sample_mu,sample_sigma,tail_probability_max,joint_tail_fit_mu,joint_tail_fit_sigma,joint_tail_fit_success,joint_tail_fit_plus_points,joint_tail_fit_minus_points,joint_tail_fit_plus_log_rmse,joint_tail_fit_minus_log_rmse
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,1.6583939007217923,1.4714076649863874,152,69,1000064,0.39809034486248035,0.2101440143055369,0.01,0.43796517551937947,0.23829786933834415,1,59,64,0.43789031382661986,0.6886350797509827
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,1.2302515306449027,0.6636611692086547,111,20,499968,0.39808917164341345,0.14045955512013492,0.01,0.4463141351776317,0.14839701415078077,1,36,20,0.521211144637238,0.23564571319164587
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,0.8679950996011503,1.398189929248738,94,4,333312,0.39808917164341345,0.11243804733157758,0.01,0.4386279910455945,0.11438018918899448,1,27,4,0.39903538180231485,0.2462998755600347
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,80.0,0.7880207741229805,nan,85,0,249984,0.39808917164341345,0.09631180063246089,0.01,nan,nan,0,22,0,nan,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,100.0,0.5598850541497168,nan,78,0,199936,0.3980933438737143,0.08590099259928763,0.01,nan,nan,0,18,0,nan,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,120.0,0.6432013962297857,nan,75,0,166656,0.39808917164341345,0.07779769112067936,0.01,nan,nan,0,17,0,nan,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,140.0,0.5153970778390499,nan,71,0,142848,0.39808917164341356,0.07193853579317655,0.01,nan,nan,0,14,0,nan,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,160.0,0.59627879063787,nan,70,0,124928,0.3980926487683461,0.0669474792486207,0.01,nan,nan,0,14,0,nan,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,180.0,0.38221172819055793,nan,66,0,111104,0.3980891716434135,0.06326457875403937,0.01,nan,nan,0,11,0,nan,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,200.0,0.31611642887010294,nan,64,0,99968,0.3980933438737143,0.05981108466445693,0.01,nan,nan,0,10,0,nan,nan
