case,T_left,T_right,delta_beta,t,N_windows,mean_Q,std_Q,skew_Q,excess_kurtosis_Q,n_negative,dx,reliable_k_lo,reliable_k_hi,n_symmetric_pairs,resolved,a_fit,a_fit_wls_se,a_fit_intercept,a_fit_R2,bootstrap_resolved,bootstrap_total,a_bootstrap_mean,a_bootstrap_se,a_bootstrap_ci_low,a_bootstrap_ci_high,per_t_bootstrap_resolved,per_t_bootstrap_total,per_t_bootstrap_mean,per_t_bootstrap_se,per_t_bootstrap_ci_low,per_t_bootstrap_ci_high,per_t_ci_contains_reference,a_Gauss,gaussFT
dbeta_0p027972,6.5,5.5,0.02797202797202797,20,1000064,8.936787199053178,25.859938410640723,0.1347715521575651,0.3798324913992319,366513,1.2929969205320362,-74,96,74,1,0.027204963425473242,0.0001460981361862912,-0.0029595204714155834,0.9978325925789036,518,1000,nan,nan,nan,nan,1000,1000,0.027175462912836422,0.00017255388714485805,0.02685439419172576,0.027523209823558673,0,0.026727383177930192,1.0465681501930773
dbeta_0p027972,6.5,5.5,0.02797202797202797,40,499968,17.874162995050643,36.32767759095159,0.1019490102673415,0.20835966530369143,155995,1.8163838795475793,-65,87,65,1,0.02757986881033367,0.00016401238428076978,-0.0020047750313718932,0.9978692395795156,719,1000,nan,nan,nan,nan,1000,1000,0.027551472967539518,0.00017851947599001675,0.027199490799097486,0.027907146394677354,0,0.027088218291243277,1.032627087956922
dbeta_0p027972,6.5,5.5,0.02797202797202797,80,249984,35.748325990101286,51.29078458342509,0.07695995187439107,0.09946904135396917,60756,2.5645392291712548,-53,85,53,1,0.027805757740501213,0.00019763127569006461,-0.010524969559606889,0.9979230697946011,870,1000,0.027757156440753373,0.00020741492748749062,0.02735823124640081,0.028176303454268983,1000,1000,0.02775612123410799,0.00020737780039902035,0.027353183853071217,0.028175875416377436,1,0.027177344557596107,1.0292406571491086
dbeta_0p027972,6.5,5.5,0.02797202797202797,160,124928,71.49735971887642,72.62658411166483,0.051243395309378215,0.03882319099180842,20136,3.631329205583241,-43,88,43,1,0.02706173872878414,0.00026340002599518393,0.024531478090158088,0.9951308499540695,998,1000,0.02701096719704526,0.000273182322820867,0.02645242876343424,0.02753536229393074,1000,1000,0.027020764732277346,0.0002696369094356462,0.026470999642898427,0.02753841347673504,0,0.02710995293043688,1.0317992083499055
dbeta_0p027972,6.5,5.5,0.02797202797202797,320,62464,142.99471943775285,102.61714120242816,0.04327303411888318,0.01088015132949538,5109,5.130857060121408,-34,89,34,1,0.02777637440712455,0.00044103314241454155,-0.0301334731782182,0.9943779201948111,218,1000,nan,nan,nan,nan,1000,1000,0.027640316809726066,0.00047262575097721017,0.026728954587878568,0.02856371475357001,1,0.027158774713928257,1.0299444016405732
dbeta_0p027972,6.5,5.5,0.02797202797202797,640,31232,285.9894388755057,145.95394996002105,0.050514322065154785,0.010284750842262103,764,7.297697498001052,-17,95,17,1,0.030356440311276107,0.0014314154717288182,-0.19165746552642612,0.9703984997738658,192,1000,nan,nan,nan,nan,1000,1000,0.030284996117049445,0.0019527803638992786,0.026750429274043055,0.03419060448262978,1,0.026850247028398833,1.0417791665917508
dbeta_0p057143,7.0,5.0,0.05714285714285716,20,1000064,17.737272166972637,26.227922341979344,0.2517927361926007,0.4064378661855619,248420,1.3113961170989672,-62,106,62,1,0.054865601168115265,0.00019402507313530273,-0.005386250691673657,0.9992944204783977,886,1000,0.054835226079384396,0.00020418765276069848,0.05445950205319485,0.055230731796418124,1000,1000,0.05483087261318762,0.00020321052437016505,0.05445267435868439,0.05522661666549201,0,0.05156904009240032,1.1080845608231178
dbeta_0p057143,7.0,5.0,0.05714285714285716,40,499968,35.47515978478904,36.81191794511152,0.18691400776640427,0.2166836382077717,82050,1.8405958972555758,-52,104,52,1,0.05601807400455448,0.00026060083042239973,-0.005962611379260153,0.9990934677892402,433,1000,nan,nan,nan,nan,1000,1000,0.05595188818503799,0.0002552158166848585,0.05544284883635857,0.05645095863293039,0,0.0523573268698599,1.0914013483708258
dbeta_0p057143,7.0,5.0,0.05714285714285716,80,249984,70.95031956957808,51.937452726384365,0.14011413012403984,0.0936046539006683,20447,2.596872636319218,-39,103,39,1,0.056514227321113074,0.0004257512204136238,-0.009673888225116077,0.9985958484893029,791,1000,nan,nan,nan,nan,1000,1000,0.05640210769480208,0.00048226928773640595,0.05552299827012736,0.05736739669892579,1,0.05260451972922732,1.0862727658571953
dbeta_0p057143,7.0,5.0,0.05714285714285716,160,124928,141.8965500616533,73.35194092870061,0.09514481927560195,0.04088308273283392,2997,3.6675970464350307,-25,109,25,1,0.056143494897030605,0.001033692186533341,0.002088083831942636,0.9928411622374399,625,1000,nan,nan,nan,nan,1000,1000,0.05581617416196382,0.0010339255018348404,0.05384569736859713,0.05789731492731176,1,0.05274467398140624,1.0833862991171657
dbeta_0p057143,7.0,5.0,0.05714285714285716,320,62464,283.79310012330654,103.2913371964511,0.07365586635646074,0.03482267160627339,150,5.164566859822555,-4,118,4,1,0.05978096005457285,0.0262913406304659,-0.13778238943906065,0.6020311618560733,520,1000,nan,nan,nan,nan,976,1000,0.03918755341519748,0.03148494075892347,-0.03269095263726967,0.09235258999834983,1,0.05319906854073187,1.0741326626631766
dbeta_0p057143,7.0,5.0,0.05714285714285716,640,31232,567.5862002466132,145.5178783380953,0.037748317688400604,0.012986404072586222,1,7.275893916904765,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.05360793957962474,1.0659401870497551
dbeta_0p125000,8.0,4.0,0.125,20,1000064,34.89921622516131,27.717072148184013,0.45292601084866285,0.5303448057372795,88761,1.3858536074092007,-45,125,45,1,0.11336899308909201,0.0004146961174371734,0.010978564208408004,0.9994925154595129,306,1000,nan,nan,nan,nan,1000,1000,0.11330537159933095,0.00037935573178949863,0.11253965193551731,0.11406229229871645,0,0.09085544599908872,1.3758118583365246
dbeta_0p125000,8.0,4.0,0.125,40,499968,69.7973432965141,38.89329032986205,0.3447314797280871,0.2789014258616782,12744,1.9446645164931025,-30,123,30,1,0.11966113186895713,0.0009688252241775599,-0.001674357961561798,0.99750257850243,276,1000,nan,nan,nan,nan,1000,1000,0.11946343942088967,0.0009742682781183483,0.1175731444630493,0.12131509095079158,0,0.09228253518039647,1.3545358258271354
dbeta_0p125000,8.0,4.0,0.125,80,249984,139.5946865930282,54.75240802228261,0.2519521070558599,0.15533928882838222,661,2.7376204011141305,-13,127,13,1,0.1246027986997101,0.005335582819649612,-0.08131650921670236,0.9866061867910744,328,1000,nan,nan,nan,nan,1000,1000,0.12252658490845786,0.005763543642932105,0.11161536519231023,0.13422165606137199,1,0.09313060732271033,1.342201061428257
dbeta_0p125000,8.0,4.0,0.125,160,124928,279.19027376941403,77.25011375535314,0.1806440356092923,0.08078030994979857,2,3.862505687767657,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.09356900795649745,1.335912421537221
dbeta_0p125000,8.0,4.0,0.125,320,62464,558.3805475388281,109.02951086941945,0.13234344091497374,0.07774204310193866,0,5.4514755434709725,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.09394467069100214,1.3305704206590219
dbeta_0p125000,8.0,4.0,0.125,640,31232,1116.7610950776561,153.43231364064212,0.1020125534895771,0.04040047377033673,0,7.671615682032106,,,0,0,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,0,1000,nan,nan,nan,nan,,0.0948760518435083,1.3175084499319085
