case,delta_beta,t,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
dbeta_0p027972,0.02797202797202797,20,1,1.2929969205320362,20149,19613,0.026962047690255155,0.010030794840385162
dbeta_0p027972,0.02797202797202797,20,2,2.5859938410640724,20710,19154,0.07810510430806515,0.010024682949697251
dbeta_0p027972,0.02797202797202797,20,3,3.878990761596109,20751,18559,0.11163959169038995,0.010103101609624975
dbeta_0p027972,0.02797202797202797,20,4,5.171987682128145,20883,18110,0.14247115895931703,0.010154011606141234
dbeta_0p027972,0.02797202797202797,20,5,6.464984602660181,21140,17545,0.18639797140691317,0.01021273640747694
dbeta_0p027972,0.02797202797202797,20,6,7.757981523192218,20847,16829,0.21410646426936367,0.010362903540646508
dbeta_0p027972,0.02797202797202797,20,7,9.050978443724253,21000,16431,0.24535264325372905,0.010415354821452644
dbeta_0p027972,0.02797202797202797,20,8,10.34397536425629,20527,15507,0.28044955785302983,0.010639705386370976
dbeta_0p027972,0.02797202797202797,20,9,11.636972284788326,20470,15182,0.2988498840786218,0.01071071674287728
dbeta_0p027972,0.02797202797202797,20,10,12.929969205320361,20263,14496,0.33492381358256856,0.01087821590912448
dbeta_0p027972,0.02797202797202797,20,11,14.222966125852398,20137,13752,0.38137465081572014,0.011062392413792137
dbeta_0p027972,0.02797202797202797,20,12,15.515963046384435,19546,12995,0.4082059938231904,0.01131874714993377
dbeta_0p027972,0.02797202797202797,20,13,16.808959966916472,19379,12240,0.4594807284599323,0.011545631046561403
dbeta_0p027972,0.02797202797202797,20,14,18.101956887448505,18623,11710,0.4639541983397428,0.011793817778469523
dbeta_0p027972,0.02797202797202797,20,15,19.394953807980542,18503,11097,0.5112580795811524,0.012006653792733822
dbeta_0p027972,0.02797202797202797,20,16,20.68795072851258,17817,10008,0.5767682845372227,0.012491846764296854
dbeta_0p027972,0.02797202797202797,20,17,21.980947649044616,17431,9562,0.6004533200288167,0.012725945418658579
dbeta_0p027972,0.02797202797202797,20,18,23.273944569576653,16875,8962,0.6328398203946423,0.013070634849435235
dbeta_0p027972,0.02797202797202797,20,19,24.566941490108686,16440,8249,0.6896254087494392,0.013492741232967922
dbeta_0p027972,0.02797202797202797,20,20,25.859938410640723,15678,7790,0.6994175958838734,0.013861938920038466
