case,delta_beta,selection,times_used,n_times,bootstrap_accepted,bootstrap_total,a_inf,a_inf_ci_low,a_inf_ci_high,a_inf_over_delta_beta,ratio_ci_low,ratio_ci_high,reference_in_ci,c,c_ci_low,c_ci_high,linear_chi2,linear_reduced_chi2,max_abs_standardized_residual,linear_adequate,quadratic_a_inf,quadratic_a_inf_ci_low,quadratic_a_inf_ci_high,quadratic_c,quadratic_d,quadratic_d_ci_low,quadratic_d_ci_high,quadratic_reduced_chi2,chi2_improvement_quadratic,interpretation,affinity,kind,dt,T_left,T_right,seed
weak_dt5e4,0.02797202797202797,all_admissible,5;10;20;25;40;80;160;320;640,9,1000,1000,0.027805633670614224,0.027501517515470437,0.02805705496274587,0.9940514037244587,0.9831792511780684,1.003039714918165,1,-0.012499924124920715,-0.013925833016008745,-0.010852534008716256,8.852766634888885,1.2646809478412693,2.3797770671356386,1,0.027802874546738715,0.027407024473775247,0.02812240381292915,-0.012408767396743847,-0.0004147758099639631,-0.02835043365236517,0.023210436703158595,1.4753649651009535,0.0005768442831648457,CONSISTENT_WITH_FT,weak,baseline,0.0005,6.5,5.5,2026090401
weak_dt5e4,0.02797202797202797,tau_ge_10,10;20;25;40;80;160;320;640,8,1000,1000,0.027824289103131943,0.027481884613392214,0.02812560987412903,0.9947183354369671,0.9824773749287717,1.005490553000113,1,-0.01293014872351117,-0.01597891107391539,-0.009358026066504982,8.797091462819157,1.4661819104698595,2.43684896175303,1,0.027619481175937717,0.027057976393821518,0.028027363476115456,-0.0019787642147024997,-0.09384651894591833,-0.26203571816800836,0.045618817606266175,1.4829440607718987,1.3823711589596641,CONSISTENT_WITH_FT,weak,baseline,0.0005,6.5,5.5,2026090401
weak_dt2p5e4,0.02797202797202797,all_admissible,5;10;20;25;40;80;160;320;640,9,1000,1000,0.02789546742648557,0.027630095136051937,0.028069340574523816,0.9972629604968593,0.9877759011138568,1.0034789255392265,1,-0.013019352385450184,-0.014164885027480952,-0.011497009529812223,4.900487431916931,0.7000696331309901,1.8330979187495462,1,0.027958631422945728,0.02760830019318809,0.028217669463452315,-0.015253926737268109,0.01018298090080183,-0.0265487585636532,0.04141596414995,0.761859771484458,0.3293288030101822,CONSISTENT_WITH_FT,weak,new,0.00025,6.5,5.5,2026091101
weak_dt2p5e4,0.02797202797202797,tau_ge_10,10;20;25;40;80;160;320;640,8,1000,1000,0.027948563652157782,0.02763885792733353,0.028172352418721368,0.9991611505646408,0.9880891709021737,1.007161598969289,1,-0.014395402719264427,-0.017845569018775823,-0.010125992337821547,4.394245079445742,0.7323741799076237,1.8652037824176184,1,0.027871614286202114,0.027398443291464684,0.028206950708076155,-0.010270355819356758,-0.03630827674489412,-0.17713034564295013,0.0864110347164058,0.8309702539621554,0.23939380963496504,CONSISTENT_WITH_FT,weak,new,0.00025,6.5,5.5,2026091101
weak_dt1p25e4,0.02797202797202797,all_admissible,5;10;20;25;40;80;160;320;640,9,1000,1000,0.02779073140875986,0.02751279670085182,0.028005849906999017,0.993518647863165,0.9835824820554526,1.001209134175215,1,-0.012132919985703913,-0.013419014286719204,-0.010552277954157065,5.268131942060609,0.75259027743723,1.7033337579043166,1,0.02780647816624936,0.027425620087084226,0.02808886163734015,-0.01264177132293548,0.002310215120384873,-0.030755687467251203,0.029833103870670185,0.8749006001243768,0.01872834131434864,CONSISTENT_WITH_FT,weak,new,0.000125,6.5,5.5,2026091102
weak_dt1p25e4,0.02797202797202797,tau_ge_10,10;20;25;40;80;160;320;640,8,1000,1000,0.027814445899393483,0.027495478963459666,0.02805918481853456,0.9943664409033172,0.9829633729436832,1.0031158572626107,1,-0.012671542905982353,-0.0156074921625241,-0.00901239887689851,5.175482275729544,0.8625803792882573,1.7178890840710366,1,0.027684288516667016,0.02712473460549852,0.02812666539215039,-0.0060327188975062285,-0.056267633782681514,-0.2114885093589823,0.07674152182620153,0.9283480910067302,0.5337418206958926,CONSISTENT_WITH_FT,weak,new,0.000125,6.5,5.5,2026091102
moderate_dt5e4,0.125,all_admissible,5;10;20;25;40;80,6,1000,1000,0.11938142620910407,0.1186097777574375,0.11989745271813683,0.9550514096728325,0.9488782220595,0.9591796217450946,0,-0.11796992369145348,-0.12130002686689319,-0.11375660337753601,34.76839101510085,8.692097753775213,3.388370422745211,0,0.12282268677771117,0.12122855961401817,0.12400167599612832,-0.1878563158008908,0.26744825468131594,0.1698537847213903,0.3525314611869988,2.597305952276344,26.976473158271823,ONE_OVER_TAU_MODEL_INADEQUATE,moderate,baseline,0.0005,8.0,4.0,2026090403
moderate_dt5e4,0.125,tau_ge_10,10;20;25;40;80,5,1000,1000,0.1215909663771838,0.12040249485662607,0.12252209243322619,0.9727277310174705,0.9632199588530086,0.9801767394658095,0,-0.14850439792704284,-0.15897042100812211,-0.13545591907474955,10.397677930587498,3.465892643529166,2.17505344032812,0,0.12897793045294914,0.12334505954072143,0.1332994720138584,-0.39707250354275203,1.7544370391943076,0.5548178328721511,2.7111374458373523,0.473948991091257,9.449779948404984,ONE_OVER_TAU_MODEL_INADEQUATE,moderate,baseline,0.0005,8.0,4.0,2026090403
moderate_dt2p5e4,0.125,all_admissible,5;10;20;25;40;80,6,1000,1000,0.1199688117768253,0.11919320580163031,0.12057236946826842,0.9597504942146023,0.9535456464130425,0.9645789557461474,0,-0.12121983075423581,-0.12492244406434198,-0.11692792323051784,42.56378431415704,10.64094607853926,4.587946410815175,0,0.12426154949154697,0.12243650291424411,0.1256395444446877,-0.209468711332919,0.33822794956957125,0.2309975952230922,0.42367262968311964,1.6177126181902846,37.71064645958619,ONE_OVER_TAU_MODEL_INADEQUATE,moderate,new,0.00025,8.0,4.0,2026091103
moderate_dt2p5e4,0.125,tau_ge_10,10;20;25;40;80,5,1000,1000,0.12283845982599767,0.12146762514321233,0.12388581543095539,0.9827076786079814,0.9717410011456986,0.9910865234476431,0,-0.1615432930972751,-0.17364865075948402,-0.146583542999782,5.3269075138714825,1.7756358379571608,1.621775815149671,1,0.12461717482753357,0.11918955835303824,0.12941538378460832,-0.22159687322860044,0.42458787073002213,-0.6484955519463497,1.4640551930435688,2.416256493790846,0.4943945262897902,FT_FAIL_AT_THIS_RESOLUTION,moderate,new,0.00025,8.0,4.0,2026091103
moderate_dt1p25e4,0.125,all_admissible,5;10;20;25;40;80,6,1000,1000,0.11998553550244667,0.11903608974330611,0.12068440113544188,0.9598842840195734,0.9522887179464489,0.965475209083535,0,-0.11945705079495156,-0.1234189517510806,-0.11433280645810084,20.411056840763692,5.102764210190923,3.2499337275459395,0,0.12335344845641714,0.1214946997238345,0.12485766109833434,-0.18698432135119747,0.25641679671286965,0.15476340412301842,0.34342881694551447,0.21731307339276948,19.759117620585382,ONE_OVER_TAU_MODEL_INADEQUATE,moderate,new,0.000125,8.0,4.0,2026091104
moderate_dt1p25e4,0.125,tau_ge_10,10;20;25;40;80,5,1000,1000,0.12228484040327424,0.12077689603980864,0.12348652703535594,0.9782787232261939,0.9662151683184691,0.9878922162828475,0,-0.15074323901888054,-0.1629215316025824,-0.1362978446368027,0.8610721006069332,0.2870240335356444,0.8840204705628096,1,0.12356618540575695,0.11754706799357865,0.12848004935122156,-0.19428581364929887,0.30848797763511726,-1.0641171975234094,1.4312928905373923,0.32287900967649613,0.21531408125394091,FT_FAIL_AT_THIS_RESOLUTION,moderate,new,0.000125,8.0,4.0,2026091104
equilibrium_dt5e4,0.0,all_admissible,5;10;20;25;40;80;160;320;640,9,1000,1000,6.747074612033418e-05,-0.00010431716106911432,0.00023955627646072834,nan,nan,nan,1,0.0006603856270481182,-0.0004178374514883112,0.0017902384391349445,2.6688075781900578,0.3812582254557225,1.1222513180667506,1,7.378938618860133e-05,-0.00011563765172321755,0.00026153129657867775,0.00031123266832229165,0.0017554779474736144,-0.022752869580688975,0.023925111127769495,0.44152901883423507,0.01963346518464748,CONSISTENT_WITH_EQUILIBRIUM,equilibrium,baseline,0.0005,6.0,6.0,2026090405
equilibrium_dt5e4,0.0,tau_ge_10,10;20;25;40;80;160;320;640,8,1000,1000,6.914902247290774e-05,-0.00011608340171993217,0.00024847833144989206,nan,nan,nan,1,0.0005931054264812627,-0.0020314612537613106,0.0034269162994736762,2.666161883072366,0.4443603138453944,1.113148455205088,1,8.72979325567007e-05,-0.00011819993528707114,0.0002954499700608901,-0.0010478980600101004,0.0167301350854707,-0.0675021690282263,0.09979022929305895,0.5090739338630956,0.12079221375688798,CONSISTENT_WITH_EQUILIBRIUM,equilibrium,baseline,0.0005,6.0,6.0,2026090405
