case,selection,tau,inverse_tau,a_observed,a_predicted_linear,residual,bootstrap_se,standardized_residual,affinity,dt
weak_dt5e4,all_admissible,5,0.2,0.025316907040886294,0.02530564884563008,1.1258195256214076e-05,0.0001261091414771783,0.08927342716270453,weak,0.0005
weak_dt5e4,all_admissible,10,0.1,0.026490863957086504,0.026555641258122153,-6.477730103564977e-05,0.00012742392834027172,-0.5083605715142374,weak,0.0005
weak_dt5e4,all_admissible,20,0.05,0.027204963425473242,0.027180637464368187,2.4325961105055305e-05,0.00016221785381494676,0.1499585929228581,weak,0.0005
weak_dt5e4,all_admissible,25,0.04,0.02740704682157422,0.027305636705617396,0.0001014101159568237,0.00016624279367257751,0.6100121016767522,weak,0.0005
weak_dt5e4,all_admissible,40,0.025,0.02757986881033367,0.027493135567491205,8.673324284246345e-05,0.00017532673478682775,0.49469490747043615,weak,0.0005
weak_dt5e4,all_admissible,80,0.0125,0.027805757740501213,0.027649384619052714,0.0001563731214484984,0.00020651323819873438,0.7572062828147389,weak,0.0005
weak_dt5e4,all_admissible,160,0.00625,0.02706173872878414,0.02772750914483347,-0.00066577041604933,0.00027976167400027454,-2.3797770671356386,weak,0.0005
weak_dt5e4,all_admissible,320,0.003125,0.02777637440712455,0.027766571407723848,9.802999400700813e-06,0.0004902602736117894,0.019995500203353774,weak,0.0005
weak_dt5e4,all_admissible,640,0.0015625,0.030356440311276107,0.027786102539169036,0.0025703377721070716,0.001965620353974679,1.307647108410123,weak,0.0005
weak_dt5e4,tau_ge_10,10,0.1,0.026490863957086504,0.026531274230780826,-4.041027369432182e-05,0.00012742392834027172,-0.3171325371982771,weak,0.0005
weak_dt5e4,tau_ge_10,20,0.05,0.027204963425473242,0.027177781666956384,2.7181758516858084e-05,0.00016221785381494676,0.16756329761251937,weak,0.0005
weak_dt5e4,tau_ge_10,25,0.04,0.02740704682157422,0.027307083154191496,9.996366738272353e-05,0.00016624279367257751,0.6013112819771687,weak,0.0005
weak_dt5e4,tau_ge_10,40,0.025,0.02757986881033367,0.027501035385044163,7.883342528950538e-05,0.00017532673478682775,0.4496372181079831,weak,0.0005
weak_dt5e4,tau_ge_10,80,0.0125,0.027805757740501213,0.027662662244088053,0.0001430954964131599,0.00020651323819873438,0.6929119782406127,weak,0.0005
weak_dt5e4,tau_ge_10,160,0.00625,0.02706173872878414,0.027743475673609998,-0.0006817369448258587,0.00027976167400027454,-2.43684896175303,weak,0.0005
weak_dt5e4,tau_ge_10,320,0.003125,0.02777637440712455,0.02778388238837097,-7.507981246421269e-06,0.0004902602736117894,-0.015314276213141497,weak,0.0005
weak_dt5e4,tau_ge_10,640,0.0015625,0.030356440311276107,0.027804085745751456,0.002552354565524651,0.001965620353974679,1.298498237649777,weak,0.0005
weak_dt2p5e4,all_admissible,5,0.2,0.025321690865849254,0.025291596949395534,3.0093916453720337e-05,0.00012244451575966564,0.24577594404300426,weak,0.00025
weak_dt2p5e4,all_admissible,10,0.1,0.026487378597024932,0.02659353218794055,-0.00010615359091561971,0.00014493320164469544,-0.7324311455966855,weak,0.00025
weak_dt2p5e4,all_admissible,20,0.05,0.027228073087490843,0.02724449980721306,-1.6426719722215793e-05,0.00015431369738771916,-0.10645017260485323,weak,0.00025
weak_dt2p5e4,all_admissible,25,0.04,0.027400127891222138,0.02737469333106756,2.5434560154576763e-05,0.00013717246387960464,0.1854203054696204,weak,0.00025
weak_dt2p5e4,all_admissible,40,0.025,0.027647300793392452,0.027569983616849314,7.73171765431381e-05,0.0001528902640260255,0.5057037283288157,weak,0.00025
weak_dt2p5e4,all_admissible,80,0.0125,0.027766300998675733,0.02773272552166744,3.357547700829147e-05,0.0001862295937252839,0.18029077085256517,weak,0.00025
weak_dt2p5e4,all_admissible,160,0.00625,0.02768138688908955,0.027814096474076507,-0.0001327095849869564,0.0002554492317735006,-0.5195145198347126,weak,0.00025
weak_dt2p5e4,all_admissible,320,0.003125,0.02811643559678445,0.027854781950281036,0.0002616536465034139,0.0004490430636326807,0.5826916563117157,weak,0.00025
weak_dt2p5e4,all_admissible,640,0.0015625,0.02496633279147329,0.027875124688383303,-0.0029087918969100124,0.0015868175219435382,-1.8330979187495462,weak,0.00025
weak_dt2p5e4,tau_ge_10,10,0.1,0.026487378597024932,0.02650902338023134,-2.1644783206407198e-05,0.00014493320164469544,-0.14934316609847276,weak,0.00025
weak_dt2p5e4,tau_ge_10,20,0.05,0.027228073087490843,0.02722879351619456,-7.204287037175516e-07,0.00015431369738771916,-0.004668598549015688,weak,0.00025
weak_dt2p5e4,tau_ge_10,25,0.04,0.027400127891222138,0.027372747543387206,2.7380347834931457e-05,0.00013717246387960464,0.199605278352097,weak,0.00025
weak_dt2p5e4,tau_ge_10,40,0.025,0.027647300793392452,0.02758867858417617,5.8622209216280946e-05,0.0001528902640260255,0.3834266988138766,weak,0.00025
weak_dt2p5e4,tau_ge_10,80,0.0125,0.027766300998675733,0.027768621118166976,-2.3201194912433887e-06,0.0001862295937252839,-0.012458382391500605,weak,0.00025
weak_dt2p5e4,tau_ge_10,160,0.00625,0.02768138688908955,0.02785859238516238,-0.00017720549607282837,0.0002554492317735006,-0.693701424907597,weak,0.00025
weak_dt2p5e4,tau_ge_10,320,0.003125,0.02811643559678445,0.02790357801866008,0.00021285757812437162,0.0004490430636326807,0.4740248661284079,weak,0.00025
weak_dt2p5e4,tau_ge_10,640,0.0015625,0.02496633279147329,0.02792607083540893,-0.00295973804393564,0.0015868175219435382,-1.8652037824176184,weak,0.00025
weak_dt1p25e4,all_admissible,5,0.2,0.02537870303100658,0.025364147411619076,1.4555619387505991e-05,0.0001244389531971208,0.11696996007712133,weak,0.000125
weak_dt1p25e4,all_admissible,10,0.1,0.02652907972588664,0.026577439410189467,-4.83596843028275e-05,0.00012243208549647498,-0.3949919182273494,weak,0.000125
weak_dt1p25e4,all_admissible,20,0.05,0.02709515909602477,0.027184085409474663,-8.89263134498941e-05,0.00014855518570564162,-0.5986079383731469,weak,0.000125
weak_dt1p25e4,all_admissible,25,0.04,0.027460923408609783,0.027305414609331703,0.00015550879927807987,0.00015186068917985002,1.024022741618862,weak,0.000125
weak_dt1p25e4,all_admissible,40,0.025,0.02758432474867799,0.02748740840911726,9.691633956073267e-05,0.00016177268881990343,0.5990896254968393,weak,0.000125
weak_dt1p25e4,all_admissible,80,0.0125,0.027579450507162078,0.02763906990893856,-5.961940177648048e-05,0.00020025111965553576,-0.2977231881601235,weak,0.000125
weak_dt1p25e4,all_admissible,160,0.00625,0.027680430226846905,0.02771490065884921,-3.447043200230371e-05,0.0003197311790723082,-0.10781066801904894,weak,0.000125
weak_dt1p25e4,all_admissible,320,0.003125,0.027482161608075352,0.027752816033804535,-0.0002706544257291832,0.0004704644894008952,-0.5752919334546234,weak,0.000125
