affinity,case,kind,T_left,T_right,delta_beta,dt,seed,bootstrap_seed,tau,inverse_tau,N_windows,mean_Q,std_Q,skew_Q,excess_kurtosis_Q,n_negative,p_negative,dQ,n_symmetric_pairs,full_sample_resolved,admissible,a_fit,a_bootstrap_se,a_ci_low,a_ci_high,ci_contains_reference,a_over_delta_beta,intercept,R2,quadratic_linear,quadratic_coefficient,quadratic_intercept,quadratic_R2,bootstrap_accepted,bootstrap_total
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,5,0.2,4000256,2.2341967997632945,13.454507443592775,0.16690126693002622,0.9460352000778327,1747665,0.43688828914949446,0.6727253721796387,99,1,1,0.025316907040886294,0.0001261091414771783,0.025062183642576792,0.025558914772818853,0,0.9050794267116852,-0.007495868886401511,0.9978992999554921,0.02384930958978816,4.579859663280926e-05,-0.00033958926024049805,0.9984798228287246,1000,1000
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,10,0.1,2000128,4.468393599526589,18.55310620717509,0.16140085429391654,0.6543350794472467,814568,0.4072579354921285,0.9276553103587546,84,1,1,0.026490863957086504,0.00012742392834027172,0.02623739527553892,0.026742605018666717,0,0.9470483864658427,-0.005131760425636052,0.9976019838117043,0.025898092427577995,1.4116027298642273e-05,-0.0012772412316955823,0.9976804005120057,1000,1000
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,20,0.05,1000064,8.93678719905318,25.859938410640723,0.13477155215756492,0.3798324913992319,366513,0.3664895446691412,1.2929969205320362,74,1,1,0.027204963425473242,0.00016221785381494676,0.026883415523250423,0.027509626163151522,0,0.9725774424606686,-0.0029595204714155834,0.9978325925789036,0.026650886384056705,9.991403021749547e-06,0.0018725892903501268,0.9978928225133358,1000,1000
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,25,0.04,800000,11.171444186885997,28.841594615392292,0.12229039006402916,0.3098007042505131,280562,0.3507025,1.4420797307696147,69,1,1,0.02740704682157422,0.00016624279367257751,0.027081370243703804,0.027711818530197014,0,0.9798019238712785,-0.005380592660853687,0.997570885180389,0.02745634194061678,-8.157590998146874e-07,-0.00585055379854728,0.997571334912511,1000,1000
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,40,0.025,499968,17.874162995050643,36.32767759095159,0.10194901026734152,0.20835966530369188,155995,0.31200996863799285,1.8163838795475793,65,1,1,0.02757986881033367,0.00017532673478682775,0.027215369961268245,0.027891440556892515,0,0.9859803099694288,-0.0020047750313718932,0.9978692395795156,0.027402787006896773,2.4207408458297334e-06,5.036887279537926e-05,0.9978748859910742,1000,1000
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,80,0.0125,249984,35.748325990101286,51.29078458342509,0.07695995187439114,0.09946904135396917,60756,0.24303955453149,2.5645392291712548,53,1,1,0.027805757740501213,0.00020651323819873438,0.027340988915447957,0.028155474778271402,1,0.9940558392229185,-0.010524969559606889,0.9979230697946011,0.02768560125751197,1.2809156351660072e-06,-0.008725599621070985,0.9979253537949734,1000,1000
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,160,0.00625,124928,71.49735971887642,72.62658411166483,0.05124339530937832,0.03882319099180842,20136,0.1611808401639344,3.631329205583241,43,1,1,0.02706173872878414,0.00027976167400027454,0.026501536528732876,0.027562657689941962,0,0.9674571595540331,0.024531478090158088,0.9951308499540695,0.027717838961954146,-5.51259989971812e-06,0.012075442090734304,0.9951981123788822,1000,1000
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,320,0.003125,62464,142.99471943775285,102.61714120242816,0.04327303411888334,0.01088015132949538,5109,0.08179111168032786,5.130857060121408,34,1,1,0.02777637440712455,0.0004902602736117894,0.02669402872325915,0.02863956835626533,1,0.9930053850547027,-0.0301334731782182,0.9943779201948111,0.027232129976894105,3.905572131048631e-06,-0.017935108623560837,0.9944178765312122,1000,1000
weak,weak_dt5e4,baseline,6.5,5.5,0.02797202797202797,0.0005,2026090401,2026092108,640,0.0015625,31232,285.9894388755057,145.95394996002105,0.05051432206515499,0.010284750842262103,764,0.024462090163934427,7.297697498001052,17,1,1,0.030356440311276107,0.001965620353974679,0.026423074384488373,0.034301875195926826,1,1.085242741128121,-0.19165746552642612,0.9703984997738658,0.03514877431750207,-4.041677502283477e-05,-0.28878381254215874,0.9722876744513529,1000,1000
weak,weak_dt2p5e4,new,6.5,5.5,0.02797202797202797,0.00025,2026091101,2026095102,5,0.2,4000256,2.2395499588254824,13.441648827064537,0.16043484308386916,0.9335969424203414,1745814,0.4364255687635991,0.6720824413532268,99,1,1,0.025321690865849254,0.00012244451575966564,0.025081334426020743,0.025558448884197543,0,0.905250448454111,-0.005720797140554194,0.9977057125519311,0.024595208870778148,2.2672500211328988e-05,-0.00217788393496898,0.9978473386963583,1000,1000
