affinity,case,dt,tau,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
weak,weak_dt5e4,0.0005,5,1,0.6727253721796387,89096,88007,0.012298083321619024,0.0047525341601155
weak,weak_dt5e4,0.0005,5,2,1.3454507443592774,89323,86064,0.037167807979588956,0.004776461547826776
weak,weak_dt5e4,0.0005,5,3,2.018176116538916,89053,85215,0.044054223429809615,0.004792107171244421
weak,weak_dt5e4,0.0005,5,4,2.6909014887185547,88563,82852,0.06665827957210202,0.0048333334000983654
weak,weak_dt5e4,0.0005,5,5,3.3636268608981936,87456,80968,0.07708179485905738,0.004876974421085554
weak,weak_dt5e4,0.0005,5,6,4.036352233077832,86725,78906,0.0944849222679306,0.004919756901498371
weak,weak_dt5e4,0.0005,5,7,4.7090776052574705,84975,75688,0.11573746818003665,0.004998029724987685
weak,weak_dt5e4,0.0005,5,8,5.3818029774371094,82864,72978,0.12704268381718137,0.005076487616922373
weak,weak_dt5e4,0.0005,5,9,6.054528349616748,81593,70092,0.15193480913047855,0.005150040460893052
weak,weak_dt5e4,0.0005,5,10,6.727253721796387,79037,67162,0.1628084858570301,0.005248016201638013
weak,weak_dt5e4,0.0005,5,11,7.399979093976025,76566,63882,0.18111548241937017,0.005358590228805504
weak,weak_dt5e4,0.0005,5,12,8.072704466155663,74014,60858,0.19571098287742758,0.005471987832293434
weak,weak_dt5e4,0.0005,5,13,8.745429838335303,71126,57695,0.20928243745498085,0.005602863621630873
weak,weak_dt5e4,0.0005,5,14,9.418155210514941,68922,54934,0.22684296573537016,0.005719512029350953
weak,weak_dt5e4,0.0005,5,15,10.09088058269458,65852,51534,0.24516801577363262,0.005881346148455789
weak,weak_dt5e4,0.0005,5,16,10.763605954874219,63163,48368,0.2668802486390445,0.0060420923451341025
weak,weak_dt5e4,0.0005,5,17,11.436331327053857,59767,45133,0.28083998291384626,0.006236054679242042
weak,weak_dt5e4,0.0005,5,18,12.109056699233497,56780,42611,0.28707171513906293,0.006409364532787782
weak,weak_dt5e4,0.0005,5,19,12.781782071413135,54199,39719,0.3108327954644822,0.006605103512556051
weak,weak_dt5e4,0.0005,5,20,13.454507443592775,51598,37225,0.32650233347634566,0.006800313451427665
weak,weak_dt5e4,0.0005,5,21,14.127232815772413,48697,34636,0.3407238229628198,0.007028999935497706
weak,weak_dt5e4,0.0005,5,22,14.79995818795205,45746,32014,0.3569310490806621,0.007286711799123041
weak,weak_dt5e4,0.0005,5,23,15.47268356013169,43428,29687,0.3803951548218387,0.007530696954478364
weak,weak_dt5e4,0.0005,5,24,16.145408932311327,40926,27273,0.40586835609280647,0.007816690151136825
weak,weak_dt5e4,0.0005,5,25,16.818134304490968,38512,25173,0.425197889484674,0.008105000616190036
weak,weak_dt5e4,0.0005,5,26,17.490859676670606,35688,23195,0.43087775962225666,0.008434059698228054
weak,weak_dt5e4,0.0005,5,27,18.163585048850244,33567,21658,0.4381685402875061,0.008715703013564268
weak,weak_dt5e4,0.0005,5,28,18.836310421029882,31779,19806,0.47282077218335783,0.009053014512723345
weak,weak_dt5e4,0.0005,5,29,19.50903579320952,29258,18042,0.4834506673214473,0.009465987210124835
