time,n_blocks,log_mean_exp_minus_entropy_medium,ci_low,ci_high,exponential_weight_ess,exponential_weight_ess_fraction,maximum_single_weight_share,bootstrap_replicates
20,1000064,-5.773560490380543,-8.068173357257187,-4.838077497978275,2.2880261946545044,2.287879770349202e-06,0.6155082349477355,2000
40,499968,-27.702139894231884,-29.082695101314822,-27.0672516571619,4.9668768615021754,9.934389523933882e-06,0.31263602313072564,2000
60,333312,-52.45547794392502,-54.27413316261979,-51.74004093090928,3.7799969852020547,1.13407167614789e-05,0.3541955049488398,2000
80,249984,-73.53084072462103,-87.83618947489377,-72.43223180172177,1.000015124830703,4.000316519580065e-06,0.9999924376549826,2000
100,199936,-106.95848270965692,-119.36887498579577,-105.65399179874471,1.1693060021864612,5.848401499412118e-06,0.9214369866142583,2000
120,166656,-135.12480320220678,-154.32388012990847,-134.0261918001091,1.0000052697304456,6.000415644983952e-06,0.9999973651417788,2000
140,142848,-178.96878412258118,-198.54172233592993,-177.8701720093589,1.0000010073219248,7.000455080378618e-06,0.9999994963393027,2000
160,124928,-219.22717694387234,-229.24675432700434,-218.1317045292038,1.0301288848207373,8.245780648219273e-06,0.9851938419605545,2000
180,111104,-246.64777717833212,-265.0109186553283,-245.5491959640873,1.0001860282391906,9.002250398178198e-06,0.9999069945411495,2000
200,99968,-299.52548020861735,-307.3933903477037,-298.427404325478,1.1878584235263516,1.1882386598975188e-05,0.913513534568642,2000
