time,multiplier,blocks_per_stream,n_blocks,negative_count,negative_probability,negative_probability_ci_low,negative_probability_ci_high,fd_bin_width,symmetric_pairs_count_ge_20_each,resolved_by_frozen_gate
20,1,7813,1000064,41,4.099737616792525e-05,2.8998144118776398e-05,5.399654422116984e-05,0.47850864681656713,0,0
40,2,3906,499968,0,0.0,0.0,0.0,0.8610321871972219,0,0
60,3,2604,333312,0,0.0,0.0,0.0,1.214512615566035,0,0
80,4,1953,249984,0,0.0,0.0,0.0,1.5418627061913746,0,0
100,5,1562,199936,0,0.0,0.0,0.0,1.8595238416550965,0,0
120,6,1302,166656,0,0.0,0.0,0.0,2.162242254292821,0,0
140,7,1116,142848,0,0.0,0.0,0.0,2.4509696536988135,0,0
160,8,976,124928,0,0.0,0.0,0.0,2.750304517095394,0,0
180,9,868,111104,0,0.0,0.0,0.0,3.0351023905942625,0,0
200,10,781,99968,0,0.0,0.0,0.0,3.317871297387577,0,0
