mode,n,clone_count,observation_time,selection_time,dt,k,independent_runs,mean_run_scgf,run_scgf_se,pooled_normalizer_scgf,mean_late_half_logz_slope,late_half_slope_se,direct_scgf,direct_ci_low,direct_ci_high,direct_reliability_gate,mean_minus_direct,pooled_minus_direct,minimum_weight_ess_across_runs,minimum_root_ess_across_runs,minimum_unique_roots_across_runs,total_midpoint_failures
guided,2,32768,0.1,0.1,0.0005,0.1,1,-0.4569803985439336,nan,-0.4569803985439336,nan,nan,nan,nan,nan,0,nan,nan,32716.591689355057,31775.030303030304,32256,0
guided,2,32768,0.1,0.1,0.0005,0.5,1,-0.9965926130483282,nan,-0.9965926130483282,nan,nan,nan,nan,nan,0,nan,nan,32249.797369003052,29981.0639414754,31245,0
guided,10,256,20.0,0.5,0.0005,0.0,1,0.0,nan,0.0,0.0,nan,-8.881784197001253e-17,-8.881784197001253e-17,-8.881784197001253e-17,1,8.881784197001253e-17,8.881784197001253e-17,256.0,256.0,256,0
guided,10,256,20.0,0.5,0.0005,0.1,4,-0.10246874388109406,0.004213345838949133,-0.1019470884818642,-0.10501448737482184,0.004657127593704245,-0.09294567733063933,-0.09305956794962618,-0.09281791141733277,1,-0.009523066550454734,-0.00900141115122488,236.7416612626233,29.76203451407811,47,0
guided,10,256,20.0,0.5,0.0005,0.2,4,-0.1474203544113971,0.010658714122085997,-0.14415668196609027,-0.1631758772941982,0.013635549795384049,-0.13949717966527864,-0.13979855722270593,-0.13920028914163846,1,-0.00792317474611845,-0.004659502300811635,198.91338635199162,10.522800256904302,20,0
guided,10,256,20.0,0.5,0.0005,0.3,4,-0.15685297069523368,0.008843900824225575,-0.15455170397705356,-0.16894902234314627,0.013300632208985527,-0.15784224706193967,-0.1587802341687673,-0.15656547632471382,1,0.0009892763667059823,0.003290543084886105,153.40516106897385,3.698837340557625,9,0
guided,10,256,20.0,0.5,0.0005,0.5,1,-0.14141145042048492,nan,-0.14141145042048492,-0.2299481308585606,nan,-0.12835093941491263,-0.14157122518885484,-0.11070218614922152,0,-0.01306051100557229,-0.01306051100557229,68.16029874353652,1.502223444734791,3,0
guided,10,256,20.0,0.5,0.0005,0.7,1,-0.11593916850733028,nan,-0.11593916850733028,-0.2090948223182935,nan,-0.004766125760392814,-0.07347257336537427,0.039824561492082536,0,-0.11117304274693747,-0.11117304274693747,18.815215506487213,1.0,1,0
guided,10,512,20.0,0.5,0.0005,0.1,4,-0.0917613716226596,0.0014803461626266752,-0.09169633917343221,-0.09859716063739149,0.004628220017238284,-0.09294567733063933,-0.09305956794962618,-0.09281791141733277,1,0.001184305707979727,0.001249338157207111,475.24600481516,59.389216130493885,91,0
guided,10,512,20.0,0.5,0.0005,0.3,4,-0.16985019850172675,0.01100409344663098,-0.16611125204974908,-0.19880737890718025,0.013289491599750108,-0.15784224706193967,-0.1587802341687673,-0.15656547632471382,1,-0.012007951439787085,-0.008269004987809414,312.347140120726,9.09401234996184,18,0
guided,10,1024,20.0,0.25,0.0005,0.3,4,-0.15165493902927712,0.002533586157193879,-0.15145898650729403,-0.1709903894758072,0.010561996662251764,-0.15784224706193967,-0.1587802341687673,-0.15656547632471382,1,0.006187308032662542,0.006383260554645637,849.22607564198,16.403992365695693,35,0
guided,10,1024,20.0,0.5,0.00025,0.3,4,-0.15866022553571782,0.0032380988539493323,-0.15833653822276977,-0.17905550512698126,0.0034522624789906434,-0.15784224706193967,-0.1587802341687673,-0.15656547632471382,1,-0.0008179784737781526,-0.000494291160830107,649.445299618016,17.052234436999935,39,0
guided,10,1024,20.0,0.5,0.0005,0.3,4,-0.16034646863153323,0.005134191460441103,-0.1595089915224056,-0.1725139417056301,0.005909069123964558,-0.15784224706193967,-0.1587802341687673,-0.15656547632471382,1,-0.0025042215695935677,-0.001666744460465941,653.7610464450339,20.866353577967047,40,0
guided,10,1024,20.0,0.5,0.0005,0.7,3,-0.24508755809642588,0.19821923154626658,-0.06668782559487405,-0.6414978040583951,0.4388707788440965,-0.004766125760392814,-0.07347257336537427,0.039824561492082536,0,-0.24032143233603306,-0.06192169983448123,8.654487780561281,1.0,1,0
guided,10,1024,20.0,1.0,0.0005,0.3,4,-0.15582639893599726,0.0018994010989198413,-0.15571718379282443,-0.18168326370540103,0.009388798542589408,-0.15784224706193967,-0.1587802341687673,-0.15656547632471382,1,0.00201584812594241,0.0021250632691152405,356.85421789202235,17.10118076847805,36,0
guided,10,1024,40.0,0.5,0.0005,0.3,4,-0.17607177602561194,0.007187280432692872,-0.17262358168321482,-0.18464253746351147,0.01035285368078123,-0.16852098395029438,-0.1714153723455298,-0.16493497347591743,0,-0.007550792075317558,-0.004102597732920432,613.7111500922888,8.900266521805557,14,0
naive,2,32768,0.1,0.1,0.0005,0.1,1,-0.4540841047778521,nan,-0.4540841047778521,nan,nan,nan,nan,nan,0,nan,nan,32391.70158014577,30236.02793421942,31397,0
naive,2,32768,0.1,0.1,0.0005,0.5,1,-1.0105176328556986,nan,-1.0105176328556986,nan,nan,nan,nan,nan,0,nan,nan,20653.043322540987,18549.889848662842,25609,0
naive,10,16,2.0,0.5,0.0005,0.0,1,0.0,nan,0.0,0.0,nan,nan,nan,nan,0,nan,nan,16.0,16.0,16,0
naive,10,256,20.0,0.1,0.0005,0.5,1,-0.1571254631148467,nan,-0.1571254631148467,-0.2535316505307049,nan,-0.12835093941491263,-0.14157122518885484,-0.11070218614922152,0,-0.02877452369993408,-0.02877452369993408,9.99417287590451,2.0777376196816943,4,0
naive,10,256,20.0,0.1,0.0005,0.7,1,-0.033937134098150246,nan,-0.033937134098150246,-0.12427279136704877,nan,-0.004766125760392814,-0.07347257336537427,0.039824561492082536,0,-0.02917100833775743,-0.02917100833775743,1.5679115357900077,1.0563847964151005,2,0
naive,10,256,20.0,0.1,0.0005,1.0,1,-4.093498468840243,nan,-4.093498468840243,-6.076943867879357,nan,0.2649085931967107,0.07834458745538224,0.3188185120475483,0,-4.358407062036954,-4.358407062036954,1.0738306393589767,1.0,1,0
naive,10,256,20.0,0.5,0.0005,0.1,4,-0.08993315032137912,0.001955299370557009,-0.08981871309215479,-0.09634205529157168,0.00300233073909538,-0.09294567733063933,-0.09305956794962618,-0.09281791141733277,1,0.0030125270092602047,0.0031269642384845336,234.7370229635306,44.461329715061055,65,0
naive,10,256,20.0,0.5,0.0005,0.2,4,-0.13722485692848535,0.0020147057318534744,-0.13710451322485473,-0.1482381027362439,0.007758320348678998,-0.13949717966527864,-0.13979855722270593,-0.13920028914163846,1,0.0022723227367932863,0.0023926664404239073,173.35405995607223,25.580015612802498,42,0
naive,10,256,20.0,0.5,0.0005,0.3,4,-0.1521734049760219,0.0023801382848465283,-0.15200458464169456,-0.1720965556188998,0.005286556235330859,-0.15784224706193967,-0.1587802341687673,-0.15656547632471382,1,0.00566884208591778,0.00583766242024511,51.49961061475948,15.219693450998607,25,0
naive,10,256,20.0,0.5,0.0005,0.5,1,-0.10450504826105286,nan,-0.10450504826105286,-0.1376054294476396,nan,-0.12835093941491263,-0.14157122518885484,-0.11070218614922152,0,0.023845891153859766,0.023845891153859766,3.7302711868292757,2.7007335366356218,10,0
naive,10,256,20.0,0.5,0.0005,0.7,1,-0.08070883081461774,nan,-0.08070883081461774,-0.1788376317421397,nan,-0.004766125760392814,-0.07347257336537427,0.039824561492082536,0,-0.07594270505422493,-0.07594270505422493,1.0766939356918372,1.023712080977225,2,0
naive,10,256,20.0,0.5,0.0005,1.0,1,-0.22358793748570038,nan,-0.22358793748570038,-1.0405619509799118,nan,0.2649085931967107,0.07834458745538224,0.3188185120475483,0,-0.48849653068241106,-0.48849653068241106,1.4386381418867922,1.0,1,0
naive,10,256,100.0,0.5,0.0005,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,256.0,256.0,256,0
