event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,population_mean_potential_rate,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.5,0.067909238961116891,0.067909238961116891,0.13581847792223378,-2.2145168855539161,-1.6804152636885183,0.46201318079190201,-0.50040114876837016,197.31705599321938,0.012699193997456998,199,175.22994652406416,199,175.22994652406416
2,1,-0.04867900705534467,0.019230231905772222,0.019230231905772222,-2.1359630188019527,-1.5236750975847018,0.58284476365562377,-1.1326727176940934,176.21331095153948,0.014693200385548564,187,161.41871921182266,152,116.19858156028369
3,1.5,-0.032000632947134733,-0.012770401041362511,-0.0085136006942416742,-1.9546740226045185,-1.3685424222425155,0.78830570817704448,-0.72215510816460049,189.61725361371086,0.010447840113863566,192,168.04102564102564,127,95.255813953488371
4,2,-0.11570126159160754,-0.12847166263297005,-0.064235831316485026,-1.6443155712309259,-1.4062093053726301,0.73538408867832095,-1.4138782535073977,173.4055985405997,0.011118210537646852,168,144.99115044247787,103,74.472727272727269
5,2.5,-0.025804103586827942,-0.15427576621979799,-0.061710306487919198,-2.2736666812153672,-1.7697761181209488,0.80809155242489483,-0.87478258653724994,183.65246596441713,0.013927858930661587,194,165.49494949494951,84,58.099290780141843
6,3,0.014796681334374284,-0.13947908488542371,-0.046493028295141237,-1.4494820579904637,-1.0751766466793302,0.99247806966762742,-0.64398351752857197,186.59821988616005,0.011246768969761409,187,163.02487562189054,75,49.127436281859069
7,3.5,0.00097363575158748716,-0.13850544913383622,-0.039572985466810352,-2.0833416366255317,-1.7836248596332607,1.0508165391366311,-0.88783834566802478,178.12618760219198,0.011333399159027487,188,162.21782178217822,63,43.229551451187334
8,4,-0.095101955364580881,-0.2336074044984171,-0.058401851124604276,-1.1806130258356453,-1.2203528700857869,0.41849162981625726,-1.3964991618241973,160.37914928173211,0.014945247795284784,170,144.352422907489,55,35.310344827586206
9,4.5,-0.092542622126080332,-0.32615002662449744,-0.072477783694332762,-0.29949407867153466,-0.9005185498596191,0.4851444870759985,-1.4486012264311825,164.02604632831773,0.013780429328699389,169,145.63555555555556,50,29.574007220216608
10,5,-0.046397590047146942,-0.37254761667164438,-0.074509523334328878,-0.46825894075458047,-0.40127467706178516,0.35431225846599868,-1.2482766022429685,172.60408772522379,0.011366860364242153,183,158.29951690821255,43,25.660140955364135
11,5.5,-0.0049893272761725171,-0.37753694394781689,-0.068643080717784896,-1.1527345147093933,-1.4239682045021662,0.077753933678333095,-1.2388682591949149,180.07805387055578,0.012289992130259803,186,159.84390243902439,37,23.092318534179
12,6,-0.034600725867931281,-0.41213766981574818,-0.068689611635958034,-1.7757068429385643,-1.2532807809481297,0.80005478106427552,-1.049495042745475,173.5790399097493,0.012529490053496553,182,159.84390243902439,34,22.755555555555556
13,6.5,-0.069319864485845706,-0.48145753430159388,-0.074070389892552907,-1.1241478976746013,-1.2261160357576788,0.66255060062275206,-1.8393492852125781,161.34846272316298,0.014306741122757942,170,145.63555555555556,32,21.962466487935657
14,7,-0.11381051281519206,-0.59526804711678594,-0.08503829244525514,-2.5676878708495599,-1.3169340818803523,0.48068336524958272,-1.3021099783771934,170.76160220514922,0.011875480404736237,184,158.29951690821255,31,20.416199376947041
15,7.5,-0.083395003794495715,-0.67866305091128165,-0.090488406788170883,-1.3934171203075583,-1.5517369030843744,0.38425577109403863,-1.1918428484125689,168.2040029263697,0.015390430716496305,183,153.12149532710279,28,17.156020942408379
16,8,-0.05991978535755571,-0.73858283626883736,-0.09232285453360467,-0.8231492375231162,-0.65677390488925202,1.1238554010971626,-1.1036400573069363,175.1874384623591,0.014151216753962918,182,156.7846889952153,25,15.914521612433219
17,8.5,-0.086702226930365889,-0.82528506319920325,-0.097092360376376849,-1.5889709890566956,-1.5130548337033283,0.80871526693284512,-1.1507170015797401,173.66949454282076,0.014134169512035097,181,155.29857819905214,25,14.948905109489051
18,9,-0.12991583156200015,-0.9552008947612034,-0.10613343275124482,-2.1819220987899128,-1.9194789953455824,0.67872545472631585,-1.2624965625156945,170.62365411786737,0.014445376052859131,182,153.84037558685446,22,12.245142002989537
19,9.5,-0.24109025722575694,-1.1962911519869603,-0.12592538441968004,-1.5505442394522113,-1.0912199766999566,0.36383351959471744,-1.8017796661767129,158.84064588830483,0.014446409113730328,169,144.99115044247787,22,12.235997012696043
20,10,-0.11071749421698573,-1.3070086462039461,-0.1307008646203946,-0.56728754685642435,-1.264827080288454,0.2712457139896014,-1.357875278683915,169.39148896707295,0.013547967762321894,174,148.2714932126697,21,11.248884311706146
21,10.5,-0.043283893606948176,-1.3502925398108943,-0.12859928950579946,-1.5429895826023214,-1.1336883331674259,0.72768127286853179,-0.73590484249964816,186.2264148792315,0.014075758592560281,186,156.7846889952153,21,10.085564789165897
22,11,-0.019505693583524497,-1.3697982333944188,-0.12452711212676534,-1.7918745456919909,-1.33382168188604,0.6594589761689359,-0.85184134694346414,188.97667643174211,0.0099319780235588885,192,168.90721649484536,20,9.8402402402402398
23,11.5,0.0020978540074096941,-1.3677003793870091,-0.11893046777278339,-1.7685719018741828,-1.1728285326060279,1.3952997879355304,-0.75256840544389147,183.70249383946529,0.013151728043381579,188,163.02487562189054,19,10.54650788542002
24,12,-0.1058858539778047,-1.4735862333648138,-0.12279885278040115,-2.0916788686965089,-1.5836371369475755,0.33954251808628766,-1.243149456209349,172.3097342091005,0.012407860778941772,187,162.21782178217822,18,10.485760000000001
25,12.5,-0.13310845915600122,-1.606694692520815,-0.12853557540166519,-0.49931917367682532,-1.5723978782494299,0.28983352027503828,-1.5812377829938229,169.67157067923299,0.012712441067961707,178,151.7037037037037,17,9.1658741258741259
26,13,-0.089867890180781451,-1.6965625827015964,-0.13050481405396896,-0.73329689197638026,-0.66001809663919297,0.89446419297513058,-1.1117105161689309,179.05000810825933,0.011049991030750272,182,157.53846153846155,17,8.7755757900374931
27,13.5,-0.091142526190666651,-1.7877051088922631,-0.13242260065868616,-0.76099442056804756,-1.0151062238864668,0.6386874986906993,-1.5431449677867783,168.89834806728982,0.014437420672782291,185,159.06796116504853,17,9.1428571428571423
28,14,-0.023632439096301638,-1.8113375479885647,-0.12938125342775461,-1.2253959154801137,-1.1603174410892723,0.70237540204736892,-0.850495122451847,183.97683092855584,0.010474704623284094,195,170.66666666666666,17,9.1684387241186354
29,14.5,-0.10404169797410212,-1.9153792459626668,-0.1320951204112184,-1.2791832379828059,-1.451918826522145,0.59672619115270231,-1.128734339157208,173.59959984544497,0.012211058573210871,183,158.29951690821255,16,8.8347263413318959
30,15,-0.11851885082168945,-2.0338980967843563,-0.13559320645229042,-0.38585525008875893,-1.0071792482945223,0.51910435999998195,-1.585195878734988,168.99799723531547,0.011109887403377807,176,151.7037037037037,15,8.0451755462803831
31,15.5,-0.086102077566018842,-2.1200001743503751,-0.13677420479679839,-1.5979792492628182,-1.3532188479479517,0.34087155325416429,-1.3048077956413469,171.44330799556593,0.013030056262168138,181,154.56603773584905,14,8
32,16,-0.052461493832068662,-2.1724616681824438,-0.13577885426140274,-2.1168381726757977,-1.1759358123585093,0.85849298911012917,-1.1838184350412608,179.79260508132106,0.011988679601288833,191,165.49494949494951,14,7.280159964452344
33,16.5,0.026162129993255512,-2.1462995381891883,-0.13007875989025383,-1.9190911302885365,-1.5377853351318327,0.98263425080553801,-0.59843031055772233,188.03566806686743,0.012617468891263719,195,170.66666666666666,14,7.1655368467089442
34,17,-0.085315297019040059,-2.2316148352082283,-0.13127146089460168,-2.0866204617081361,-1.7239239708901621,0.50740752885627904,-1.282724900569965,174.59295912160832,0.011255517578454576,184,159.06796116504853,14,6.8252447406790253
35,17.5,-0.10692007726636366,-2.338534912474592,-0.13363056642711954,-1.0631050448627537,-0.99830654054444634,0.25765048335503588,-1.3549712273654317,166.30659228659181,0.013560681439433718,174,144.352422907489,13,6.5392137297944526
36,18,0.022604458696248386,-2.3159304537783436,-0.12866280298768576,-1.7968044342155625,-1.0813796022804079,0.98046757604596013,-0.91956433678289218,176.68661873406651,0.014787595225709913,186,157.53846153846155,12,5.8337190671176788
37,18.5,-0.085502716738966811,-2.4014331705173104,-0.12980719840634111,-0.93637018687066964,-1.1379802585245409,0.15369611452489276,-1.2000955979800187,167.54511166818824,0.014966670570361433,177,148.94545454545454,11,5.5063014619391701
38,19,-0.12624392028655151,-2.5276770908038619,-0.13303563635809801,-0.80794992579974634,-1.3252390741264277,0.66643842966274647,-1.4681159705351616,160.24244683972401,0.015992225860007661,170,142.46956521739131,11,5.723668122270742
39,19.5,-0.095456576996347131,-2.6231336678002091,-0.13451967527180558,-2.2405061490167353,-1.7451829161942105,0.70734996603679734,-1.1275727397118982,170.28382502347444,0.011745574024521621,179,152.40930232558139,11,5.3289965848105387
40,20,-0.13835655850571094,-2.76149022630592,-0.13807451131529599,-0.66192088462145748,-0.77905665931652224,0.12534163886949554,-1.5547141629292531,168.34599540965743,0.011987615011250886,183,156.03809523809525,11,5.2554931836407377
