event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,population_mean_potential_rate,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.5,0,0,0,1.0699908654530106,1.0699908654530106,0.55846458259414888,0,256,0.00390625,256,256,256,256
2,1,0,0,0,1.3411291853593523,1.3411291853593523,0.45562359929320628,0,256,0.00390625,256,256,256,256
3,1.5,0,0,0,1.0987355001410755,1.0987355001410755,0.37062220510972993,0,256,0.00390625,256,256,256,256
4,2,0,0,0,1.1340963221675417,1.1340963221675417,0.33205819419532245,0,256,0.00390625,256,256,256,256
5,2.5,0,0,0,1.6495016970890037,1.6495016970890037,0.38745894641817885,0,256,0.00390625,256,256,256,256
6,3,0,0,0,1.3842854917395548,1.3842854917395548,0.30769746963692723,0,256,0.00390625,256,256,256,256
7,3.5,0,0,0,1.3777235864031421,1.3777235864031421,0.25432776899706155,0,256,0.00390625,256,256,256,256
8,4,0,0,0,1.7580585893286904,1.7580585893286904,0.40678870752638552,0,256,0.00390625,256,256,256,256
9,4.5,0,0,0,1.2695041691042936,1.2695041691042936,0.53351450343650131,0,256,0.00390625,256,256,256,256
10,5,0,0,0,1.241546905599219,1.241546905599219,0.69554245497749279,0,256,0.00390625,256,256,256,256
11,5.5,0,0,0,1.5467360184016941,1.5467360184016941,0.25599417639298383,0,256,0.00390625,256,256,256,256
12,6,0,0,0,1.4851965623653347,1.4851965623653347,0.44505647479537908,0,256,0.00390625,256,256,256,256
13,6.5,0,0,0,1.0878273880735474,1.0878273880735474,0.35861545374330089,0,256,0.00390625,256,256,256,256
14,7,0,0,0,1.1322070041639005,1.1322070041639005,0.20888031964878181,0,256,0.00390625,256,256,256,256
15,7.5,0,0,0,1.3474218173729819,1.3474218173729819,0.43900211103524117,0,256,0.00390625,256,256,256,256
16,8,0,0,0,1.4165727374787436,1.4165727374787436,0.34933615768887416,0,256,0.00390625,256,256,256,256
17,8.5,0,0,0,1.150231707943316,1.150231707943316,0.76600872611384085,0,256,0.00390625,256,256,256,256
18,9,0,0,0,1.7012005831758386,1.7012005831758386,0.29056233053582115,0,256,0.00390625,256,256,256,256
19,9.5,0,0,0,1.1305455590810916,1.1305455590810916,0.23305307372383177,0,256,0.00390625,256,256,256,256
20,10,0,0,0,1.2063503995458476,1.2063503995458476,0.39821417315482899,0,256,0.00390625,256,256,256,256
21,10.5,0,0,0,1.3527763907523507,1.3527763907523507,0.40972738065018349,0,256,0.00390625,256,256,256,256
22,11,0,0,0,0.92873705008410445,0.92873705008410445,0.23725103470098111,0,256,0.00390625,256,256,256,256
23,11.5,0,0,0,0.95483069520339969,0.95483069520339969,0.65301600775020419,0,256,0.00390625,256,256,256,256
24,12,0,0,0,1.8129728171576027,1.8129728171576027,0.52457294915200936,0,256,0.00390625,256,256,256,256
25,12.5,0,0,0,1.3975663967882832,1.3975663967882832,0.31291867903846377,0,256,0.00390625,256,256,256,256
26,13,0,0,0,1.2877621106658454,1.2877621106658454,0.22983526071874125,0,256,0.00390625,256,256,256,256
27,13.5,0,0,0,1.3261861396666388,1.3261861396666388,0.4341535221687659,0,256,0.00390625,256,256,256,256
28,14,0,0,0,1.401374127018467,1.401374127018467,0.14556700996464872,0,256,0.00390625,256,256,256,256
29,14.5,0,0,0,1.0257415747897067,1.0257415747897067,0.44936280418023472,0,256,0.00390625,256,256,256,256
30,15,0,0,0,1.3160364578606611,1.3160364578606611,0.50902549735689329,0,256,0.00390625,256,256,256,256
31,15.5,0,0,0,0.9025106139086182,0.9025106139086182,0.58705259359804896,0,256,0.00390625,256,256,256,256
32,16,0,0,0,1.3417251062270423,1.3417251062270423,0.29298724847090962,0,256,0.00390625,256,256,256,256
33,16.5,0,0,0,1.3134387091026376,1.3134387091026376,0.2022076967797154,0,256,0.00390625,256,256,256,256
34,17,0,0,0,0.95347544611314627,0.95347544611314627,0.48454006342002942,0,256,0.00390625,256,256,256,256
35,17.5,0,0,0,1.6098036815451973,1.6098036815451973,0.70066669103148826,0,256,0.00390625,256,256,256,256
36,18,0,0,0,1.2437288611666801,1.2437288611666801,0.094271490964084437,0,256,0.00390625,256,256,256,256
37,18.5,0,0,0,1.3339785826463986,1.3339785826463986,0.4009392298175668,0,256,0.00390625,256,256,256,256
38,19,0,0,0,1.8279258181318065,1.8279258181318065,0.12270708262365639,0,256,0.00390625,256,256,256,256
39,19.5,0,0,0,1.1542272317597482,1.1542272317597482,0.41139141105823585,0,256,0.00390625,256,256,256,256
40,20,0,0,0,1.5210050423662245,1.5210050423662245,0.49012073967645226,0,256,0.00390625,256,256,256,256
