event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,population_mean_potential_rate,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.5,0.017815962521015472,0.017815962521015472,0.035631925042030943,-2.3410117194640474,-1.7974602793048373,0.5315057984347179,-0.56696868390460475,190.1340223101036,0.013144267237699968,193,168.04102564102564,193,168.04102564102564
2,1,-0.086616030576599279,-0.068800068055583807,-0.068800068055583807,-1.307071453545612,-1.1944606845802355,0.64525912779080552,-1.0865658999398413,179.51632207990781,0.011577030263103796,189,163.02487562189054,150,110.70270270270271
3,1.5,-0.055347019012766729,-0.12414708706835054,-0.082764724712233687,-1.3863518165172346,-1.2205565993604617,0.40317586110504738,-0.92390304781612309,185.29839103629274,0.0098692735607503555,179,156.03809523809525,119,78.769230769230774
4,2,0.029766041892352213,-0.094381045175998324,-0.047190522587999162,-2.3652243199937657,-1.6129105909769024,0.15720830899288446,-0.45186015591026213,199.11302455226109,0.010225969129321513,202,178.08695652173913,97,65.536000000000001
5,2.5,0.038783448950010957,-0.055597596225987367,-0.022239038490394946,-1.8167887894430725,-1.4868695389597304,1.4134317843272479,-0.8814265411052612,182.97536871107303,0.012506930282658835,188,163.02487562189054,81,56.594127806563037
6,3,-0.040127751086032504,-0.095725347312019871,-0.031908449104006621,-1.8333558382893731,-1.4154237975607855,1.0660072075366278,-0.92771852464030291,180.07089024360974,0.0099357164592267684,185,159.84390243902439,73,47.421128798842254
7,3.5,-0.12959547388506376,-0.22532082119708363,-0.064377377484881038,-0.98606294138138717,-1.4577183057756318,0.65245887903643141,-1.7437135228539191,163.56293252529213,0.012684226746507014,176,150.3119266055046,62,40.504326328800985
8,4,-0.22421877084011221,-0.44953959203719585,-0.11238489800929896,-1.2076828813460483,-1.3886720068686182,0.52843527259790735,-1.7978310495330885,161.60701824890711,0.012913627149631096,174,148.94545454545454,54,30.796992481203006
9,4.5,-0.1570085067873368,-0.60654809882453264,-0.1347884664054517,-0.19862847449851803,-0.86840066677519212,0.57199919807748267,-1.4110301861194909,166.4732941326794,0.013029299621860096,176,150.3119266055046,48,23.289267945984363
10,5,-0.078761867654786322,-0.68530996647931897,-0.1370619932958638,-1.1238456017897871,-1.2622626938467987,0.61529946735003116,-1.0813176934850615,177.13362578872136,0.014554796545487537,183,154.56603773584905,46,21.099806825499034
